timestamp,open,high,low,close,volume
1776686400000,403.21,404.26,392.8,396.78,1602.22
1776700800000,396.78,399.79,395.96,399.79,1479.45
1776715200000,399.8,404.24,397.6,399.98,2175.69
1776729600000,398.65,402.24,398.56,400.26,545.91
1776744000000,400.43,401.47,397.46,399.89,138.93
1776758400000,399.43,402.32,397.34,400.11,185.59
1776772800000,400.14,403.54,394.76,401.43,724.83
1776787200000,401.45,403.61,399.05,402.05,473.01
1776801600000,402.24,404.96,401.4,404.82,184.48
1776816000000,404.69,406.43,404.1,405.25,185.81
1776830400000,405.25,408.57,403.87,407.79,260.53
1776844800000,407.48,408.2,405.0,406.54,497.88
1776859200000,406.54,417.96,404.95,416.11,2724.91
1776873600000,416.15,422.94,413.2,422.7,499.3
1776888000000,422.74,432.98,420.61,421.51,510.96
1776902400000,421.39,422.16,416.13,417.68,335.79
1776916800000,417.81,420.07,416.71,419.34,128.13
1776931200000,419.28,420.94,416.23,420.75,169.06
1776945600000,420.86,429.76,418.5,427.92,778.53
1776960000000,427.87,429.75,418.0,420.0,423.53
1776974400000,420.21,424.15,419.91,422.16,650.16
1776988800000,422.33,423.82,419.5,421.36,323.59
1777003200000,421.52,431.72,419.87,421.64,350.43
1777017600000,421.9,430.15,419.63,426.73,446.19
1777032000000,426.73,428.42,409.08,420.94,2460.52
1777046400000,420.68,424.99,413.38,422.75,697.99
1777060800000,422.61,422.61,418.7,420.52,247.71
1777075200000,420.55,421.38,417.38,418.13,1530.24
1777089600000,418.16,421.0,417.95,420.89,1130.89
1777104000000,420.89,420.89,418.5,419.93,482.63
1777118400000,419.84,420.09,419.66,419.98,113.46
1777132800000,419.67,419.9,418.77,419.35,52.31
1777147200000,419.36,420.0,418.82,419.15,61.56
1777161600000,418.83,419.8,418.82,419.49,25.52
1777176000000,419.79,419.98,418.32,419.72,64.32
1777190400000,419.42,420.12,418.32,419.8,67.34
1777204800000,419.8,420.66,418.63,420.11,88.39
1777219200000,419.7,423.05,419.39,422.95,116.46
1777233600000,423.37,423.6,418.46,420.0,187.76
1777248000000,420.22,427.95,420.18,425.49,782.25
1777262400000,425.49,425.49,420.51,421.19,183.61
1777276800000,421.48,424.99,421.0,424.31,181.74
1777291200000,424.36,424.36,414.29,416.16,1677.94
1777305600000,416.33,418.75,414.89,418.47,186.2
1777320000000,418.17,418.93,417.49,418.41,34.85
1777334400000,418.4,419.31,416.0,416.9,138.33
1777348800000,417.07,417.75,408.39,409.38,347.82
1777363200000,409.91,410.61,397.07,399.6,747.93
1777377600000,399.17,405.93,395.02,395.75,1283.57
1777392000000,395.58,402.33,395.24,399.83,181.71
1777406400000,399.78,401.04,398.25,400.12,131.68
1777420800000,399.72,402.46,398.18,400.48,144.43
1777435200000,400.67,403.45,400.17,401.85,249.54
1777449600000,401.53,403.25,400.23,402.57,227.29
1777464000000,402.58,404.36,398.17,399.85,1146.55
1777478400000,399.85,405.89,397.01,405.89,266.95
1777492800000,406.0,415.92,402.16,415.04,726.54
1777507200000,414.65,419.14,408.28,409.83,814.92
1777521600000,409.81,412.33,404.32,408.88,398.75
1777536000000,409.0,413.62,408.4,411.76,299.78
1777550400000,412.05,419.03,404.4,413.3,1040.05
1777564800000,413.41,419.14,411.07,417.8,549.16
1777579200000,417.59,418.46,411.81,413.92,220.76
1777593600000,414.24,418.17,414.07,417.33,438.41
1777608000000,417.33,418.51,415.51,416.08,165.4
1777622400000,416.1,416.93,414.06,414.27,263.06
1777636800000,414.27,423.14,413.9,421.98,768.72
1777651200000,422.01,423.47,419.86,421.36,331.98
1777665600000,421.53,422.15,419.86,420.66,101.25
1777680000000,420.53,421.77,419.56,420.79,80.4
1777694400000,420.88,421.9,420.6,421.33,123.87
1777708800000,421.33,421.33,419.53,420.54,64.38
1777723200000,420.51,421.92,420.5,421.4,39.73
1777737600000,421.4,422.19,420.54,421.26,38.93
1777752000000,420.57,422.2,419.78,421.22,86.3
1777766400000,420.84,422.04,419.74,421.18,104.09
1777780800000,421.17,422.18,419.9,422.1,121.74
1777795200000,422.18,424.0,420.8,422.98,122.51
1777809600000,423.26,424.0,418.92,422.45,111.12
1777824000000,422.47,425.9,421.27,423.07,503.2
1777838400000,423.13,425.11,420.95,421.75,1203.07
1777852800000,422.17,428.16,420.69,422.74,507.82
1777867200000,422.79,423.42,420.99,422.71,205.14
1777881600000,422.71,422.78,415.47,419.14,450.43
1777896000000,419.39,424.13,411.18,412.93,635.65
1777910400000,412.82,417.51,410.01,416.54,214.62
1777924800000,416.42,417.3,414.94,415.25,53.94
1777939200000,415.64,417.81,414.54,417.38,245.5
1777953600000,417.39,419.39,416.42,418.4,73.54
1777968000000,419.29,419.94,418.49,419.46,69.37
1777982400000,419.47,429.75,419.03,426.75,1470.47
1777996800000,427.15,433.84,427.03,427.24,897.7
1778011200000,427.67,440.67,427.0,432.24,1006.39
1778025600000,431.9,434.35,428.65,431.04,374.71
1778040000000,431.04,434.17,430.59,432.64,445.74
1778054400000,432.64,439.29,431.24,436.47,667.72
1778068800000,436.42,437.7,418.27,422.46,1937.56
1778083200000,422.35,425.87,420.35,425.87,1027.07
1778097600000,425.82,426.92,422.72,424.86,156.22
1778112000000,424.85,426.13,422.78,425.4,328.81
1778126400000,425.36,427.73,425.06,426.62,219.48
1778140800000,426.83,427.48,423.67,424.21,747.77
1778155200000,424.47,426.85,415.35,419.86,1638.21
1778169600000,419.74,420.03,406.56,412.92,3187.97
1778184000000,412.96,415.31,409.51,412.96,359.9
1778198400000,413.01,417.07,412.17,415.42,504.63
1778212800000,415.42,417.29,415.2,416.36,210.11
1778227200000,416.51,420.77,416.45,420.36,476.13
1778241600000,420.51,426.65,413.77,425.46,2161.55
1778256000000,425.46,435.49,425.4,430.24,2960.09
1778270400000,430.25,431.44,428.83,430.06,379.56
1778284800000,430.0,431.1,429.57,429.84,259.29
1778299200000,429.63,430.79,429.5,429.91,224.52
1778313600000,429.91,431.39,429.58,431.0,158.44
1778328000000,430.99,431.31,429.55,430.67,339.65
1778342400000,430.52,431.2,429.81,430.03,135.3
1778356800000,430.24,431.12,429.65,430.04,100.93
1778371200000,429.82,431.02,429.72,431.02,175.74
1778385600000,431.03,431.2,429.7,429.99,131.8
1778400000000,430.02,432.6,429.7,430.51,183.61
1778414400000,430.51,432.02,429.62,430.09,440.4
1778428800000,430.28,435.75,427.3,430.74,522.51
1778443200000,430.85,431.0,423.62,429.06,1272.98
1778457600000,429.2,429.8,425.3,428.09,743.35
1778472000000,428.25,428.42,426.58,428.32,256.94
1778486400000,428.31,428.32,423.59,426.75,614.66
1778500800000,426.81,434.18,424.3,430.5,2250.08
1778515200000,430.53,430.83,426.69,428.66,701.7
1778529600000,428.72,429.57,427.25,429.07,221.46
1778544000000,429.04,429.62,424.04,427.28,572.7
1778558400000,427.17,427.61,422.35,424.84,388.29
1778572800000,424.93,425.76,421.83,423.77,555.63
1778587200000,423.58,429.51,412.47,413.01,2449.55
1778601600000,412.56,420.33,408.61,419.29,1269.87
1778616000000,419.41,419.42,416.66,417.67,424.84
1778630400000,417.82,421.99,417.4,421.16,434.33
1778644800000,421.07,422.93,420.75,422.33,434.65
1778659200000,422.12,424.54,420.82,421.67,643.67
1778673600000,421.69,422.46,404.74,415.01,2451.34
1778688000000,415.24,418.72,413.98,417.1,841.88
1778702400000,417.1,418.4,415.74,418.01,182.02
1778716800000,418.4,419.35,416.78,416.78,335.73
1778731200000,416.8,418.51,415.93,417.31,323.45
1778745600000,417.31,418.77,415.57,416.37,439.56
1778760000000,416.37,441.22,413.5,436.42,8724.77
1778774400000,436.54,442.86,427.85,440.1,2142.37
1778788800000,440.32,442.2,435.07,440.6,1656.55
1778803200000,440.79,443.09,435.29,438.09,1549.0
1778817600000,437.94,437.98,428.17,432.09,2004.23
1778832000000,432.16,432.76,426.8,430.08,1129.35
1778846400000,430.05,433.94,422.45,427.35,3401.11
1778860800000,427.4,431.21,424.8,425.91,735.87
1778875200000,425.92,425.93,423.53,423.83,219.42
1778889600000,423.83,424.38,420.79,423.71,885.49
1778904000000,423.79,424.19,421.02,422.68,370.76
1778918400000,422.7,422.88,420.95,422.11,509.28
1778932800000,421.96,422.42,421.28,421.67,212.7
1778947200000,421.59,424.43,421.56,424.01,422.05
1778961600000,423.93,424.67,421.86,422.6,515.88
1778976000000,422.6,423.65,421.08,422.73,254.82
1778990400000,422.67,423.18,422.46,423.08,44.26
1779004800000,423.01,424.48,421.67,424.31,494.56
1779019200000,424.49,425.78,424.17,425.31,329.02
1779033600000,425.43,425.92,424.26,425.59,208.2
1779048000000,425.62,427.29,421.55,423.56,634.92
1779062400000,423.62,424.23,419.0,422.0,1474.52
1779076800000,421.86,424.14,419.93,422.86,658.06
1779091200000,423.12,427.7,420.74,422.33,1091.8
1779105600000,422.22,427.71,415.0,417.89,3693.84
1779120000000,418.13,421.73,414.83,420.72,1085.6
1779134400000,420.8,421.26,419.68,420.29,172.24
1779148800000,420.26,421.12,416.36,418.76,514.01
1779163200000,418.72,420.35,415.5,419.83,855.76
1779177600000,419.82,420.21,414.69,414.69,292.2
1779192000000,414.68,417.86,406.03,410.67,2544.08
1779206400000,410.85,416.83,409.47,411.12,873.04
1779220800000,410.98,412.94,409.79,411.85,180.46
1779235200000,411.89,413.42,408.34,410.61,715.58
1779249600000,410.78,416.11,410.59,414.42,404.35
1779264000000,414.44,418.98,414.22,418.14,542.82
1779278400000,418.08,424.62,411.58,420.6,2493.19
1779292800000,420.75,421.14,417.38,418.03,650.82
1779307200000,417.85,419.37,414.03,416.96,569.14
1779321600000,416.9,419.02,416.75,418.34,337.13
1779336000000,418.27,420.98,415.0,416.77,669.23
1779350400000,417.03,420.71,414.97,416.17,611.15
1779364800000,416.11,422.44,411.4,414.85,1567.11
1779379200000,414.84,416.34,410.22,414.99,1462.23
1779393600000,414.97,416.86,414.29,416.28,494.32
1779408000000,416.23,418.19,415.68,417.26,340.98
1779422400000,417.09,418.21,416.82,417.87,251.95
1779436800000,417.96,419.59,415.11,416.21,585.59
1779451200000,416.28,420.0,410.91,413.25,2870.71
1779465600000,413.25,415.28,411.66,414.2,1319.34
1779480000000,414.18,414.5,412.55,413.36,310.48
1779494400000,413.33,413.84,411.66,413.33,183.16
1779508800000,413.48,413.96,411.47,412.43,254.21
1779523200000,412.43,412.67,411.43,411.61,128.77
1779537600000,411.7,416.45,411.43,415.89,1124.62
1779552000000,415.83,422.67,415.3,421.49,782.25
1779566400000,421.49,425.41,420.36,424.37,621.45
1779580800000,424.52,425.25,421.79,422.4,572.64
1779595200000,422.56,423.6,421.48,422.22,207.27
1779609600000,422.26,423.68,422.11,422.46,148.6
1779624000000,422.57,425.52,418.73,422.63,1056.61
1779638400000,422.63,424.07,421.85,423.28,105.69
1779652800000,423.33,423.52,418.79,422.05,357.37
1779667200000,421.93,425.09,421.31,424.89,318.06
1779681600000,424.88,426.42,423.92,425.25,498.37
1779696000000,425.31,426.4,424.49,426.18,459.69
1779710400000,426.18,426.72,424.86,426.15,590.65
1779724800000,426.3,427.87,425.34,427.24,140.74
1779739200000,427.27,427.54,424.01,424.97,221.3
1779753600000,424.83,424.83,418.0,418.99,1644.76
1779768000000,418.99,420.05,417.63,418.09,744.71
1779782400000,418.24,418.34,415.7,417.23,740.8
1779796800000,417.36,435.61,416.72,422.9,4438.78
1779811200000,422.82,424.6,421.55,422.36,1286.51
1779825600000,422.35,424.43,421.36,424.18,453.24
1779840000000,424.16,424.68,422.1,423.68,565.61
1779854400000,423.61,424.07,421.43,422.67,534.21
1779868800000,422.68,429.0,422.52,427.39,1722.93
1779883200000,427.31,434.88,416.53,417.9,7666.04
1779897600000,417.84,424.76,417.36,422.16,815.5
1779912000000,422.27,424.53,421.15,421.36,830.26
1779926400000,421.42,423.57,416.18,417.78,1361.41
1779940800000,417.72,421.33,416.73,421.33,731.34
1779955200000,421.37,421.67,415.93,416.36,901.07
1779969600000,416.31,425.95,413.56,425.87,5738.1
1779984000000,425.84,430.0,424.97,426.52,1682.17
1779998400000,426.84,434.78,426.44,431.6,1552.89
1780012800000,431.58,432.07,429.9,431.41,349.36
1780027200000,431.41,434.26,430.75,431.6,586.17
1780041600000,431.48,434.75,430.65,434.48,1134.9
1780056000000,434.58,449.1,432.19,438.8,7968.07
1780070400000,438.8,449.4,434.1,447.2,3164.22
1780084800000,447.2,447.49,444.0,446.36,1086.03
1780099200000,446.36,447.59,445.15,446.79,956.04
1780113600000,446.79,449.57,446.57,449.18,903.17
1780128000000,449.25,450.85,448.94,449.24,897.67
1780142400000,449.24,455.23,448.85,454.15,954.31
1780156800000,454.15,454.5,450.3,452.4,925.29
1780171200000,452.33,455.7,451.19,452.41,688.0
1780185600000,452.54,455.4,452.16,454.48,506.05
1780200000000,454.29,461.59,453.1,461.34,1836.79
1780214400000,461.34,465.16,459.61,462.81,1192.29
1780228800000,462.82,468.0,461.06,464.6,2729.06
1780243200000,464.82,468.0,460.35,461.12,2355.52
1780257600000,461.15,467.57,460.7,465.78,1882.33
1780272000000,465.58,465.58,451.21,459.19,6912.5
1780286400000,459.13,460.26,457.36,457.6,1366.61
1780300800000,457.7,461.0,454.97,458.43,3320.17
1780315200000,458.62,460.7,443.72,459.23,12194.55
1780329600000,459.36,466.28,457.08,460.62,4849.65
1780344000000,460.51,478.0,459.96,472.65,5135.87
1780358400000,472.51,479.34,467.27,473.89,5365.89
1780372800000,473.89,483.85,472.83,480.84,5646.52
1780387200000,480.95,496.8,480.23,486.71,11131.44
1780401600000,486.77,492.67,476.26,484.32,14254.65
1780416000000,484.39,486.77,470.82,482.26,8634.26
1780430400000,482.14,499.46,481.33,495.12,7408.17
1780444800000,495.23,508.3,492.07,498.65,9196.4
1780459200000,498.59,500.27,494.94,497.31,4270.27
1780473600000,497.38,499.73,490.63,493.47,6896.85
1780488000000,493.41,496.68,469.0,486.03,18177.08
1780502400000,485.99,490.41,476.38,480.09,9469.02
1780516800000,480.05,482.81,403.89,414.5,86392.54
1780531200000,414.49,427.19,414.27,419.55,21690.0
1780545600000,419.55,432.95,418.76,427.34,32348.07
1780560000000,427.16,429.48,404.0,408.26,45217.56
1780574400000,408.21,418.84,402.67,408.08,111454.61
1780588800000,408.08,426.95,407.67,419.5,60882.73
1780603200000,419.57,420.94,411.93,413.77,12511.96
1780617600000,413.81,414.16,405.21,411.5,23239.36
1780632000000,411.46,413.33,408.0,411.08,17282.0
1780646400000,411.12,415.57,410.45,411.56,10421.92
1780660800000,411.59,412.59,394.49,395.26,54960.34
1780675200000,395.33,397.64,385.9,385.9,41942.85
1780689600000,385.9,388.88,383.82,385.03,14679.78
1780704000000,385.0,388.83,352.19,372.26,46178.54
1780718400000,372.28,374.39,367.97,372.47,9592.1
1780732800000,372.37,374.23,369.46,371.62,4061.03
