timestamp,open,high,low,close,volume
1692792000000,2.076,2.101,2.062,2.099,2563751.2
1692806400000,2.098,2.24,2.095,2.217,7706933.2
1692820800000,2.218,2.219,2.127,2.133,4286076.1
1692835200000,2.133,2.139,2.116,2.125,3180616.2
1692849600000,2.124,2.152,2.114,2.132,3242084.5
1692864000000,2.132,2.132,2.11,2.112,1520024.7
1692878400000,2.112,2.114,2.051,2.052,3929069.7
1692892800000,2.052,2.084,2.047,2.073,3153737.6
1692907200000,2.073,2.081,2.036,2.071,2540798.7
1692921600000,2.071,2.077,1.999,2.024,3343577.2
1692936000000,2.025,2.078,2.011,2.064,7321924.5
1692950400000,2.063,2.068,2.038,2.04,2714849.6
1692964800000,2.039,2.07,2.018,2.036,5115543.1
1692979200000,2.036,2.045,2.014,2.036,1773923.2
1692993600000,2.036,2.1,2.033,2.061,1530327.3
1693008000000,2.061,2.073,2.046,2.073,1936351.6
1693022400000,2.073,2.073,2.051,2.055,825092.4
1693036800000,2.055,2.075,2.052,2.072,989496.0
1693051200000,2.072,2.086,2.063,2.075,1087463.2
1693065600000,2.075,2.077,2.062,2.072,1102628.5
1693080000000,2.072,2.077,2.061,2.07,738010.0
1693094400000,2.07,2.09,2.066,2.078,1074717.4
1693108800000,2.078,2.089,2.073,2.076,1427539.5
1693123200000,2.076,2.09,2.066,2.08,1237775.7
1693137600000,2.08,2.14,2.076,2.127,5054501.5
1693152000000,2.127,2.155,2.097,2.108,3329185.3
1693166400000,2.108,2.114,2.089,2.108,1264430.0
1693180800000,2.107,2.112,2.071,2.095,2918967.0
1693195200000,2.095,2.129,2.084,2.102,3421292.8
1693209600000,2.103,2.119,2.088,2.116,3128328.8
1693224000000,2.116,2.144,2.107,2.112,2282336.4
1693238400000,2.113,2.124,2.078,2.088,1881712.1
1693252800000,2.087,2.092,2.073,2.075,1236709.6
1693267200000,2.075,2.088,2.064,2.078,2896894.6
1693281600000,2.078,2.082,2.055,2.059,2809705.3
1693296000000,2.058,2.059,2.026,2.036,1904100.9
1693310400000,2.036,2.139,2.035,2.089,10803992.2
1693324800000,2.089,2.117,2.079,2.088,5534472.7
1693339200000,2.088,2.095,2.052,2.057,2813954.2
1693353600000,2.057,2.084,2.035,2.054,4909040.1
1693368000000,2.055,2.07,2.04,2.068,2101533.0
1693382400000,2.067,2.074,2.034,2.037,2606823.7
1693396800000,2.036,2.052,2.01,2.031,5542845.0
1693411200000,2.031,2.031,1.985,1.989,3361757.9
1693425600000,1.989,2.014,1.987,1.989,1532540.5
1693440000000,1.989,1.989,1.932,1.955,5369906.4
1693454400000,1.956,1.989,1.952,1.971,4072067.6
1693468800000,1.971,2.02,1.949,2.006,6158759.6
1693483200000,2.006,2.027,1.966,1.973,7585873.2
1693497600000,1.972,1.996,1.883,1.931,12732509.7
1693512000000,1.93,1.945,1.909,1.925,3175668.5
1693526400000,1.925,1.952,1.922,1.949,2621823.1
1693540800000,1.948,1.953,1.923,1.936,1816987.9
1693555200000,1.935,1.945,1.923,1.933,1999722.2
1693569600000,1.932,1.946,1.896,1.91,3761729.8
1693584000000,1.91,1.935,1.895,1.924,5582729.2
1693598400000,1.924,1.958,1.92,1.933,3270310.4
1693612800000,1.933,1.945,1.923,1.935,1697370.5
1693627200000,1.935,1.944,1.91,1.921,1595634.4
1693641600000,1.921,1.951,1.904,1.949,2100017.1
1693656000000,1.948,1.983,1.937,1.957,3910913.0
1693670400000,1.958,1.971,1.946,1.959,2387626.8
1693684800000,1.959,1.973,1.95,1.968,1194430.8
1693699200000,1.969,1.984,1.959,1.982,1508073.7
1693713600000,1.981,1.983,1.964,1.968,1128518.7
1693728000000,1.968,2.016,1.966,1.992,8746891.4
1693742400000,1.992,2.036,1.96,1.963,6756034.2
1693756800000,1.963,2.017,1.945,2.014,5017094.4
1693771200000,2.015,2.026,1.987,2.0,3033757.8
1693785600000,1.999,2.195,1.995,2.143,14872648.1
1693800000000,2.143,2.296,2.081,2.203,26591191.5
1693814400000,2.203,2.299,2.191,2.199,18629989.2
1693828800000,2.198,2.236,2.132,2.188,18615022.3
1693843200000,2.189,2.199,2.141,2.178,7924348.2
1693857600000,2.178,2.197,2.14,2.182,5044564.3
1693872000000,2.182,2.224,2.124,2.155,9496895.7
1693886400000,2.155,2.204,2.141,2.19,6058071.0
1693900800000,2.189,2.242,2.189,2.235,6733969.9
1693915200000,2.234,2.264,2.183,2.247,8716650.8
1693929600000,2.247,2.306,2.227,2.274,11936713.3
1693944000000,2.275,2.284,2.254,2.256,2527659.5
1693958400000,2.257,2.272,2.236,2.245,2659108.5
1693972800000,2.245,2.403,2.209,2.325,32316464.4
1693987200000,2.325,2.547,2.318,2.495,41005870.0
1694001600000,2.495,2.502,2.299,2.318,32007673.8
1694016000000,2.318,2.386,2.294,2.322,16338470.9
1694030400000,2.323,2.34,2.265,2.286,5099555.9
1694044800000,2.285,2.326,2.282,2.319,6772993.5
1694059200000,2.319,2.329,2.293,2.304,3384127.1
1694073600000,2.304,2.356,2.267,2.322,13326802.2
1694088000000,2.322,2.37,2.301,2.322,10972577.2
1694102400000,2.322,2.346,2.283,2.284,4742054.0
1694116800000,2.284,2.328,2.271,2.291,4849797.6
1694131200000,2.291,2.319,2.235,2.246,5332293.7
1694145600000,2.245,2.272,2.221,2.245,4250861.9
1694160000000,2.244,2.245,2.172,2.18,7399022.0
1694174400000,2.179,2.202,2.171,2.178,3046231.5
1694188800000,2.178,2.197,2.173,2.184,2265208.8
1694203200000,2.183,2.201,2.143,2.172,2973098.2
1694217600000,2.172,2.263,2.129,2.178,9842581.6
1694232000000,2.178,2.185,2.157,2.168,2549797.1
1694246400000,2.168,2.189,2.164,2.166,2064463.8
1694260800000,2.165,2.183,2.145,2.173,2422113.5
1694275200000,2.174,2.184,2.16,2.178,1328248.0
1694289600000,2.178,2.193,2.165,2.173,1306566.7
1694304000000,2.172,2.182,2.134,2.151,2761220.7
1694318400000,2.151,2.158,2.05,2.145,6609026.1
1694332800000,2.146,2.193,2.133,2.163,4261942.8
1694347200000,2.163,2.169,2.117,2.15,3562045.7
1694361600000,2.149,2.151,2.108,2.138,3266171.3
1694376000000,2.138,2.159,2.133,2.137,1558969.5
1694390400000,2.137,2.156,2.123,2.143,2357194.2
1694404800000,2.142,2.158,2.117,2.118,1306435.1
1694419200000,2.119,2.122,2.01,2.065,6196936.0
1694433600000,2.064,2.093,2.043,2.071,4629698.0
1694448000000,2.071,2.084,2.017,2.037,2875513.6
1694462400000,2.037,2.051,2.026,2.041,1786263.9
1694476800000,2.042,2.12,2.024,2.105,3352822.6
1694491200000,2.106,2.111,2.067,2.087,2765540.0
1694505600000,2.087,2.189,2.08,2.123,4446281.2
1694520000000,2.124,2.127,2.075,2.09,3780641.7
1694534400000,2.089,2.103,2.038,2.072,5401014.0
1694548800000,2.073,2.077,2.027,2.035,1359900.6
1694563200000,2.035,2.061,2.026,2.036,1382600.7
1694577600000,2.037,2.133,2.034,2.083,5381955.9
1694592000000,2.084,2.135,2.055,2.056,3426764.0
1694606400000,2.056,2.096,2.044,2.082,2897924.4
1694620800000,2.083,2.135,2.074,2.121,4858390.1
1694635200000,2.122,2.152,2.081,2.084,3120289.8
1694649600000,2.084,2.142,2.081,2.096,2733608.6
1694664000000,2.096,2.099,2.074,2.093,1201646.3
1694678400000,2.094,2.094,2.062,2.084,1503371.6
1694692800000,2.085,2.103,2.074,2.079,2835574.9
1694707200000,2.08,2.109,2.066,2.093,1783372.7
1694721600000,2.093,2.129,2.081,2.116,1927911.7
1694736000000,2.115,2.149,2.108,2.141,1782496.5
1694750400000,2.141,2.16,2.115,2.123,1893452.0
1694764800000,2.123,2.132,2.105,2.11,1374076.8
1694779200000,2.11,2.129,2.106,2.123,1403008.5
1694793600000,2.123,2.144,2.116,2.135,1111779.6
1694808000000,2.136,2.189,2.136,2.187,1598803.7
1694822400000,2.186,2.257,2.185,2.199,2536900.3
1694836800000,2.2,2.217,2.186,2.206,1609796.4
1694851200000,2.206,2.212,2.184,2.203,1156242.1
1694865600000,2.203,2.208,2.173,2.183,1183366.1
1694880000000,2.183,2.198,2.176,2.182,826028.1
1694894400000,2.182,2.196,2.18,2.191,722508.3
1694908800000,2.19,2.191,2.118,2.153,2561415.8
1694923200000,2.154,2.17,2.145,2.149,655244.6
1694937600000,2.149,2.182,2.144,2.166,715876.8
1694952000000,2.167,2.17,2.144,2.151,851081.0
1694966400000,2.152,2.153,2.123,2.133,1117715.9
1694980800000,2.133,2.139,2.101,2.129,1582481.7
1694995200000,2.129,2.163,2.101,2.154,2026748.1
1695009600000,2.154,2.163,2.14,2.152,1069081.0
1695024000000,2.152,2.18,2.147,2.168,1957837.7
1695038400000,2.168,2.206,2.152,2.165,3904597.0
1695052800000,2.164,2.189,2.132,2.154,2408856.4
1695067200000,2.154,2.181,2.148,2.164,905619.2
1695081600000,2.163,2.17,2.133,2.153,1339064.4
1695096000000,2.153,2.167,2.145,2.16,790185.0
1695110400000,2.16,2.194,2.15,2.162,2676536.2
1695124800000,2.162,2.17,2.138,2.153,1854607.5
1695139200000,2.153,2.16,2.14,2.154,946245.7
1695153600000,2.155,2.158,2.133,2.153,681780.0
1695168000000,2.153,2.173,2.141,2.146,1214889.9
1695182400000,2.146,2.154,2.133,2.147,1648589.1
1695196800000,2.147,2.155,2.116,2.134,1890243.7
1695211200000,2.133,2.135,2.105,2.117,1833308.4
1695225600000,2.118,2.198,2.111,2.181,7405936.1
1695240000000,2.181,2.187,2.08,2.103,5686724.3
1695254400000,2.103,2.141,2.097,2.119,1984507.9
1695268800000,2.119,2.143,2.101,2.113,1742232.9
1695283200000,2.112,2.117,2.036,2.057,3253854.6
1695297600000,2.057,2.064,2.036,2.05,2270081.1
1695312000000,2.05,2.057,2.042,2.046,1085677.9
1695326400000,2.046,2.064,2.025,2.051,1266714.8
1695340800000,2.052,2.08,2.032,2.077,1827105.2
1695355200000,2.078,2.091,2.073,2.087,815880.1
1695369600000,2.088,2.109,2.086,2.106,1067576.4
1695384000000,2.106,2.125,2.089,2.108,1864928.2
1695398400000,2.109,2.116,2.097,2.103,2291808.2
1695412800000,2.104,2.128,2.099,2.124,1138764.5
1695427200000,2.124,2.138,2.108,2.124,2069301.4
1695441600000,2.124,2.14,2.117,2.129,1034783.0
1695456000000,2.129,2.13,2.11,2.112,1017243.6
1695470400000,2.112,2.115,2.039,2.041,2577494.5
1695484800000,2.041,2.051,1.949,2.009,11117700.0
1695499200000,2.009,2.01,1.99,2.001,1758805.4
1695513600000,2.002,2.003,1.983,1.992,1836259.1
1695528000000,1.993,1.994,1.945,1.98,4215114.4
1695542400000,1.979,1.985,1.967,1.978,1911580.6
1695556800000,1.979,1.98,1.963,1.971,1961457.7
1695571200000,1.971,1.982,1.948,1.968,2844253.6
1695585600000,1.968,1.976,1.933,1.951,2439673.6
1695600000000,1.952,1.978,1.923,1.953,3178068.3
1695614400000,1.954,1.994,1.951,1.985,2571000.1
1695628800000,1.985,1.998,1.973,1.978,2482342.6
1695643200000,1.977,1.991,1.97,1.984,2002415.5
1695657600000,1.985,2.002,1.974,1.986,1936093.9
1695672000000,1.986,1.999,1.978,1.985,977075.9
1695686400000,1.985,1.997,1.98,1.987,1103436.9
1695700800000,1.987,1.989,1.968,1.971,922602.4
1695715200000,1.971,1.987,1.958,1.986,1483051.5
1695729600000,1.986,1.994,1.97,1.977,1934209.1
1695744000000,1.976,1.99,1.975,1.986,973896.8
1695758400000,1.986,1.992,1.961,1.989,1181336.0
1695772800000,1.988,2.021,1.985,2.009,1923163.9
1695787200000,2.009,2.023,2.003,2.007,1848725.8
1695801600000,2.007,2.063,2.0,2.049,3358396.4
1695816000000,2.048,2.063,2.005,2.019,4455413.7
1695830400000,2.018,2.072,2.018,2.052,5737947.6
1695844800000,2.052,2.055,2.007,2.025,4111466.5
1695859200000,2.025,2.044,2.0,2.003,1825483.6
1695873600000,2.004,2.031,1.987,2.031,1710423.3
1695888000000,2.031,2.031,2.001,2.018,1967063.7
1695902400000,2.018,2.102,2.007,2.092,5769248.5
1695916800000,2.092,2.104,2.057,2.073,3735123.6
1695931200000,2.073,2.08,2.052,2.07,1168574.1
1695945600000,2.071,2.081,2.04,2.075,1605661.0
1695960000000,2.074,2.106,2.066,2.099,2179999.6
1695974400000,2.098,2.123,2.053,2.062,5008593.4
1695988800000,2.061,2.074,2.04,2.064,2307851.9
1696003200000,2.064,2.067,2.043,2.055,1318009.9
1696017600000,2.054,2.068,2.048,2.056,985448.7
1696032000000,2.057,2.07,2.034,2.049,1616987.2
1696046400000,2.049,2.059,2.039,2.046,832553.1
1696060800000,2.046,2.052,2.041,2.046,969186.9
1696075200000,2.046,2.105,2.043,2.082,1993893.2
1696089600000,2.082,2.103,2.081,2.09,1522447.0
1696104000000,2.09,2.1,2.072,2.082,1039725.5
1696118400000,2.083,2.099,2.076,2.096,851916.3
1696132800000,2.096,2.14,2.091,2.111,2028599.5
1696147200000,2.111,2.146,2.103,2.132,1935522.0
1696161600000,2.131,2.142,2.107,2.13,2290709.3
1696176000000,2.131,2.145,2.115,2.116,1428390.5
1696190400000,2.116,2.19,2.098,2.171,3932704.2
1696204800000,2.171,2.176,2.152,2.169,1750605.3
1696219200000,2.168,2.169,2.131,2.158,1556705.8
1696233600000,2.158,2.166,2.144,2.148,1684503.4
1696248000000,2.148,2.165,2.082,2.096,3829831.8
1696262400000,2.095,2.118,2.045,2.084,3118836.5
1696276800000,2.085,2.085,2.042,2.062,1620125.4
1696291200000,2.063,2.086,2.058,2.083,1070807.5
1696305600000,2.084,2.115,2.056,2.072,4181556.4
1696320000000,2.072,2.084,2.038,2.049,1821821.3
1696334400000,2.049,2.077,2.024,2.061,3786281.8
1696348800000,2.062,2.076,2.041,2.043,1525500.7
1696363200000,2.043,2.051,2.025,2.035,1635145.5
1696377600000,2.035,2.035,1.954,1.997,3970978.7
1696392000000,1.998,2.017,1.988,2.014,1065839.5
1696406400000,2.013,2.033,2.009,2.027,1290668.1
1696420800000,2.027,2.034,2.005,2.024,1974676.1
1696435200000,2.023,2.048,2.02,2.033,2178033.4
1696449600000,2.033,2.049,2.027,2.043,862467.0
1696464000000,2.043,2.048,2.018,2.019,1016538.0
1696478400000,2.02,2.045,2.016,2.032,5778067.3
1696492800000,2.031,2.041,2.019,2.019,1119028.1
1696507200000,2.02,2.026,1.977,1.994,2798987.3
1696521600000,1.993,2.006,1.97,1.986,2155870.0
1696536000000,1.985,1.99,1.972,1.974,928233.5
1696550400000,1.975,1.999,1.962,1.996,1293125.5
1696564800000,1.997,2.008,1.985,2.003,887872.1
1696579200000,2.004,2.043,2.003,2.013,3048615.8
1696593600000,2.012,2.023,1.985,2.015,3467369.1
1696608000000,2.014,2.029,2.003,2.02,1233974.5
1696622400000,2.02,2.038,2.018,2.034,795961.7
1696636800000,2.034,2.038,2.0,2.006,1413532.3
1696651200000,2.007,2.017,1.996,2.0,769728.2
1696665600000,2.001,2.018,1.993,2.004,1196622.5
1696680000000,2.003,2.019,1.998,2.013,887425.2
1696694400000,2.014,2.018,1.992,1.994,678031.5
1696708800000,1.994,2.008,1.991,2.005,386064.3
1696723200000,2.005,2.015,1.997,2.013,601871.1
1696737600000,2.014,2.015,1.995,2.008,660208.5
1696752000000,2.008,2.01,1.974,1.982,1327422.2
1696766400000,1.981,2.013,1.98,2.009,1052461.7
1696780800000,2.01,2.02,1.997,2.012,1035549.3
1696795200000,2.013,2.029,2.011,2.025,809886.2
1696809600000,2.024,2.025,1.998,2.015,1154607.9
1696824000000,2.016,2.021,1.99,1.992,1006803.5
1696838400000,1.991,1.998,1.85,1.924,4506367.1
1696852800000,1.923,1.934,1.902,1.905,1644113.1
1696867200000,1.905,1.939,1.865,1.931,4081485.6
1696881600000,1.931,1.937,1.911,1.924,816130.2
1696896000000,1.924,1.936,1.911,1.924,1056019.8
1696910400000,1.925,1.955,1.919,1.945,901911.6
1696924800000,1.945,1.966,1.945,1.955,1162799.3
1696939200000,1.955,1.967,1.914,1.917,2861465.8
1696953600000,1.916,1.927,1.911,1.917,1407621.0
1696968000000,1.916,1.925,1.892,1.922,1163837.1
1696982400000,1.923,1.933,1.874,1.905,2051112.9
1696996800000,1.905,1.919,1.899,1.909,1094831.5
1697011200000,1.91,1.945,1.902,1.937,1552076.2
1697025600000,1.937,1.943,1.899,1.916,2625891.7
1697040000000,1.916,1.925,1.9,1.921,1481469.4
1697054400000,1.921,1.926,1.905,1.925,873448.3
1697068800000,1.926,1.93,1.897,1.901,1100344.3
1697083200000,1.901,1.913,1.893,1.899,896635.2
1697097600000,1.899,1.921,1.855,1.879,5663203.6
1697112000000,1.879,1.884,1.853,1.87,2188599.6
1697126400000,1.87,1.875,1.838,1.856,2345485.4
1697140800000,1.857,1.857,1.837,1.847,1347434.5
1697155200000,1.846,1.854,1.833,1.839,1476420.3
1697169600000,1.84,1.858,1.826,1.852,1895242.6
1697184000000,1.852,1.856,1.838,1.85,1084843.4
1697198400000,1.85,1.869,1.838,1.84,2076048.4
1697212800000,1.841,1.85,1.837,1.841,931522.1
1697227200000,1.84,1.887,1.839,1.873,2148747.8
1697241600000,1.872,1.876,1.862,1.872,643362.3
1697256000000,1.871,1.873,1.854,1.854,651875.9
1697270400000,1.855,1.87,1.846,1.864,950962.1
1697284800000,1.865,1.875,1.859,1.873,678212.0
1697299200000,1.872,1.875,1.859,1.861,576268.9
1697313600000,1.861,1.867,1.847,1.85,627227.4
1697328000000,1.85,1.864,1.84,1.855,1229221.9
1697342400000,1.854,1.872,1.847,1.863,1013141.2
1697356800000,1.863,1.876,1.859,1.868,1078692.4
1697371200000,1.868,1.871,1.846,1.851,1283237.6
1697385600000,1.85,1.865,1.85,1.859,625136.9
1697400000000,1.858,1.878,1.857,1.871,1023688.9
1697414400000,1.872,1.899,1.865,1.895,1244107.6
1697428800000,1.894,1.922,1.887,1.908,2019339.9
1697443200000,1.909,1.917,1.897,1.912,1150021.0
1697457600000,1.912,1.971,1.884,1.89,5906642.1
1697472000000,1.89,1.927,1.888,1.915,1289047.1
1697486400000,1.914,1.936,1.906,1.922,914434.2
1697500800000,1.921,1.935,1.916,1.926,973540.3
1697515200000,1.926,1.938,1.913,1.933,1109891.0
1697529600000,1.934,1.957,1.93,1.942,1521800.3
1697544000000,1.943,1.946,1.868,1.918,3699723.6
1697558400000,1.918,1.94,1.907,1.92,1770333.4
1697572800000,1.92,1.932,1.917,1.93,882518.7
1697587200000,1.929,1.942,1.924,1.937,1195128.8
1697601600000,1.938,1.964,1.931,1.937,1834159.5
1697616000000,1.936,1.958,1.923,1.95,1397501.4
1697630400000,1.95,1.97,1.942,1.955,2759861.9
1697644800000,1.954,1.965,1.927,1.936,2078685.0
1697659200000,1.937,1.937,1.903,1.906,1808042.4
1697673600000,1.905,1.914,1.852,1.869,3971381.4
1697688000000,1.87,1.891,1.859,1.891,1075085.1
1697702400000,1.89,1.89,1.866,1.885,1914614.7
1697716800000,1.885,1.934,1.876,1.916,4296412.9
1697731200000,1.915,1.927,1.891,1.902,1525260.4
1697745600000,1.903,1.907,1.884,1.901,1275964.7
1697760000000,1.901,1.945,1.891,1.929,2014717.4
1697774400000,1.93,1.939,1.919,1.925,1240869.8
1697788800000,1.926,1.994,1.925,1.964,3801992.9
1697803200000,1.964,1.965,1.939,1.957,2129067.1
1697817600000,1.957,1.968,1.942,1.966,944517.1
1697832000000,1.967,1.978,1.961,1.97,773516.6
1697846400000,1.97,1.978,1.947,1.969,1085512.9
1697860800000,1.969,1.985,1.959,1.982,1116169.8
1697875200000,1.983,2.009,1.971,2.006,1311681.6
1697889600000,2.006,2.05,1.994,2.042,2669945.5
1697904000000,2.042,2.106,2.036,2.081,4732422.2
1697918400000,2.082,2.087,2.058,2.068,1391490.5
1697932800000,2.069,2.083,2.052,2.075,1408854.7
1697947200000,2.075,2.136,2.06,2.099,4038931.9
1697961600000,2.099,2.117,2.071,2.098,2895824.4
1697976000000,2.098,2.132,2.074,2.084,3864149.3
1697990400000,2.084,2.114,2.081,2.089,1458104.1
1698004800000,2.089,2.127,2.079,2.121,1476924.9
1698019200000,2.122,2.175,2.113,2.168,3512836.6
1698033600000,2.168,2.192,2.118,2.135,3327628.2
1698048000000,2.135,2.184,2.126,2.174,3639309.5
1698062400000,2.175,2.214,2.147,2.175,3296569.4
1698076800000,2.175,2.197,2.127,2.154,3833099.9
1698091200000,2.154,2.25,2.137,2.236,5080347.3
1698105600000,2.237,2.31,2.225,2.247,5147860.1
1698120000000,2.248,2.293,2.231,2.282,2999471.4
1698134400000,2.283,2.357,2.278,2.334,4438120.5
1698148800000,2.334,2.365,2.166,2.207,6651913.1
1698163200000,2.207,2.268,2.185,2.26,2874386.1
1698177600000,2.259,2.298,2.231,2.29,2596745.0
1698192000000,2.289,2.343,2.273,2.299,3751970.1
1698206400000,2.299,2.322,2.254,2.276,3070717.9
1698220800000,2.277,2.307,2.251,2.291,2688944.6
1698235200000,2.29,2.396,2.29,2.388,4696580.5
1698249600000,2.387,2.399,2.318,2.335,5323707.5
1698264000000,2.334,2.362,2.316,2.36,2182395.2
1698278400000,2.36,2.432,2.347,2.419,3086052.1
1698292800000,2.418,2.457,2.388,2.456,3414964.7
1698307200000,2.456,2.47,2.34,2.364,4922317.7
