timestamp,open,high,low,close,volume
1708444800000,2.088,2.341,1.9341,2.076,62331782.5
1708459200000,2.0761,2.1057,1.84,1.9599,45160568.0
1708473600000,1.9599,2.1857,1.92,2.0099,50868647.4
1708488000000,2.0099,2.0709,1.903,1.9204,36207467.3
1708502400000,1.92,1.9742,1.812,1.8366,60382467.4
1708516800000,1.8366,1.851,1.675,1.7678,91516816.7
1708531200000,1.7677,1.9607,1.7554,1.8283,84153747.1
1708545600000,1.8282,1.925,1.7682,1.8938,27273859.7
1708560000000,1.894,1.9058,1.8034,1.8894,23589675.6
1708574400000,1.89,1.9343,1.822,1.883,26919802.2
1708588800000,1.8829,1.9664,1.85,1.8959,42366389.1
1708603200000,1.8956,1.9104,1.8144,1.8494,27531307.6
1708617600000,1.8494,1.9056,1.8088,1.8763,20170021.1
1708632000000,1.8763,2.048,1.85,1.9314,68324348.2
1708646400000,1.9308,2.15,1.92,2.0779,62706879.9
1708660800000,2.0781,2.182,2.0217,2.0415,63161030.3
1708675200000,2.0409,2.0851,2.0041,2.0565,32515068.6
1708689600000,2.0566,2.0571,1.8569,1.889,60617366.6
1708704000000,1.8887,1.9811,1.8463,1.9699,28084196.3
1708718400000,1.97,1.9797,1.8863,1.9279,12633203.5
1708732800000,1.9277,1.9374,1.8618,1.9082,15862311.9
1708747200000,1.9082,1.9279,1.8803,1.923,12176583.2
1708761600000,1.9231,1.9405,1.8861,1.9357,9198174.9
1708776000000,1.9357,1.9499,1.906,1.9356,12592470.2
1708790400000,1.936,1.9665,1.917,1.9485,11824400.2
1708804800000,1.9487,1.9529,1.8747,1.8961,13344817.8
1708819200000,1.8963,1.9294,1.877,1.9032,9850864.5
1708833600000,1.9032,1.9253,1.8859,1.9149,9747463.0
1708848000000,1.9149,1.9189,1.8804,1.8907,9520748.2
1708862400000,1.8902,1.9534,1.8877,1.9133,15065634.2
1708876800000,1.9132,1.9441,1.901,1.9332,7730996.0
1708891200000,1.9331,1.9598,1.913,1.9503,7252494.8
1708905600000,1.9504,1.9633,1.9051,1.9353,9264295.8
1708920000000,1.9351,1.9563,1.9142,1.9163,12527015.3
1708934400000,1.9163,1.9341,1.8574,1.8747,15960923.7
1708948800000,1.8748,1.91,1.8642,1.9014,13671959.0
1708963200000,1.9014,1.9497,1.901,1.944,14762278.0
1708977600000,1.9441,2.0116,1.9296,1.974,17742543.0
1708992000000,1.9737,1.9995,1.925,1.9363,18815784.2
1709006400000,1.9365,2.0632,1.9361,2.0288,32310304.0
1709020800000,2.0292,2.0668,1.9715,1.9882,14118708.3
1709035200000,1.9884,2.0043,1.9061,1.9161,24463757.8
1709049600000,1.9157,1.9277,1.872,1.9026,15883275.7
1709064000000,1.9027,1.9314,1.8977,1.9142,6727481.2
1709078400000,1.9143,1.9388,1.9041,1.906,8568319.0
1709092800000,1.9061,1.9349,1.9021,1.9196,8959537.5
1709107200000,1.9197,1.9771,1.8811,1.9137,25289612.0
1709121600000,1.9136,1.9423,1.9036,1.9097,20529281.7
1709136000000,1.9096,1.9561,1.5898,1.834,61034386.5
1709150400000,1.834,1.86,1.8117,1.8404,12830645.7
1709164800000,1.8407,1.9208,1.8313,1.8751,14504504.2
1709179200000,1.8752,1.8872,1.833,1.8679,13482759.1
1709193600000,1.8677,1.8921,1.8306,1.8432,14980119.8
1709208000000,1.8432,1.8743,1.828,1.8552,11879233.0
1709222400000,1.8552,1.8614,1.7586,1.7991,21633750.0
1709236800000,1.7992,1.8095,1.7,1.7502,16998523.5
1709251200000,1.7502,1.793,1.7493,1.7783,10610025.5
1709265600000,1.7783,1.8068,1.7588,1.7712,8050668.5
1709280000000,1.7713,1.8043,1.7682,1.7821,8260210.6
1709294400000,1.7821,1.8397,1.772,1.796,15277976.2
1709308800000,1.7962,1.837,1.7958,1.8164,7792676.8
1709323200000,1.8165,1.8465,1.8066,1.8173,6389723.5
1709337600000,1.8176,1.8524,1.791,1.8274,8722096.0
1709352000000,1.8273,1.8528,1.8222,1.8345,8055556.8
1709366400000,1.8352,1.8386,1.799,1.8175,9232007.7
1709380800000,1.8176,1.8443,1.8012,1.8086,8938564.0
1709395200000,1.8086,1.8296,1.7999,1.8282,6464321.4
1709409600000,1.8282,1.844,1.8054,1.844,4886652.6
1709424000000,1.8439,1.9403,1.8317,1.9038,22813605.8
1709438400000,1.9037,1.9383,1.6941,1.8361,27407976.6
1709452800000,1.836,1.8768,1.8183,1.8578,13360562.6
1709467200000,1.8576,1.911,1.8539,1.8745,11226167.6
1709481600000,1.8746,1.8948,1.8192,1.8387,11303359.0
1709496000000,1.8386,1.8723,1.8308,1.8464,6373929.5
1709510400000,1.8464,1.8773,1.8049,1.8177,12042827.9
1709524800000,1.8177,1.84,1.8081,1.8333,8134823.8
1709539200000,1.8331,1.8533,1.8015,1.8255,13189514.4
1709553600000,1.8255,1.8317,1.7715,1.8007,15703431.2
1709568000000,1.8008,1.8125,1.7392,1.7884,21807899.1
1709582400000,1.7884,1.8029,1.7616,1.7964,7459094.5
1709596800000,1.7964,1.8062,1.7438,1.7904,11059940.2
1709611200000,1.7903,2.2282,1.7856,2.1736,132283289.3
1709625600000,2.1741,2.3635,2.1532,2.2542,68381191.6
1709640000000,2.2544,2.2879,2.025,2.0973,60950351.7
1709654400000,2.0972,2.325,1.7733,2.0093,100022627.8
1709668800000,2.0093,2.2815,2.0007,2.2559,64573989.8
1709683200000,2.2553,2.4654,2.1801,2.2632,80032810.6
1709697600000,2.2627,2.4216,2.2305,2.393,52257710.7
1709712000000,2.3924,2.4344,2.2661,2.3077,30706656.6
1709726400000,2.3077,2.568,2.2579,2.5278,76683691.0
1709740800000,2.5277,2.5414,2.3899,2.4961,28100181.3
1709755200000,2.4959,2.5651,2.4152,2.5494,18756970.8
1709769600000,2.5493,2.581,2.3353,2.3561,26545445.2
1709784000000,2.356,2.3886,2.31,2.3719,18230873.7
1709798400000,2.372,2.4184,2.3252,2.3621,16647636.7
1709812800000,2.3621,2.4604,2.3589,2.4052,25371798.3
1709827200000,2.4053,2.4067,2.3557,2.3962,11573691.4
1709841600000,2.3963,2.4624,2.3832,2.425,9355219.0
1709856000000,2.425,2.4926,2.3,2.3282,19616773.9
1709870400000,2.3284,2.3498,2.2714,2.2895,14847434.6
1709884800000,2.2896,2.3315,2.2737,2.3123,9787937.0
1709899200000,2.3122,2.39,2.1579,2.2692,28377552.5
1709913600000,2.2692,2.3103,2.1731,2.2856,21401495.2
1709928000000,2.2857,2.3073,2.2641,2.295,6974962.0
1709942400000,2.2952,2.3672,2.2749,2.3536,9396447.0
1709956800000,2.3532,2.4155,2.3275,2.4013,12133525.7
1709971200000,2.401,2.4096,2.2683,2.3157,15642600.9
1709985600000,2.3154,2.5012,2.2897,2.4654,30614598.5
1710000000000,2.4651,2.4723,2.3635,2.3669,14334709.8
1710014400000,2.3669,2.4144,2.3668,2.4127,6233020.2
1710028800000,2.4128,2.5313,2.3519,2.5063,16523982.9
1710043200000,2.5067,2.512,2.4131,2.482,13322214.3
1710057600000,2.4822,2.4874,2.37,2.3815,16484385.7
1710072000000,2.3816,2.4156,2.3,2.3284,18618897.9
1710086400000,2.3284,2.3807,2.3271,2.3616,6209093.1
1710100800000,2.361,2.448,2.3082,2.4295,9803687.6
1710115200000,2.4295,2.5574,2.2701,2.4773,38235404.7
1710129600000,2.4775,2.5113,2.4244,2.4617,19507487.1
1710144000000,2.4616,2.5166,2.4304,2.4345,14500108.4
1710158400000,2.4351,2.5169,2.383,2.4942,22743619.4
1710172800000,2.4943,2.5059,2.4085,2.4717,13802258.6
1710187200000,2.472,2.6,2.4631,2.5916,11750515.5
1710201600000,2.5915,2.6762,2.5001,2.5059,22488585.4
1710216000000,2.5062,2.55,2.4403,2.4523,13772957.2
1710230400000,2.4521,2.4643,2.3667,2.4062,15773402.7
1710244800000,2.4062,2.4886,2.3746,2.4558,21442935.2
1710259200000,2.4556,2.4673,2.2927,2.4664,22283327.9
1710273600000,2.4661,2.4838,2.421,2.4812,5810324.9
1710288000000,2.4815,2.4998,2.4586,2.4877,7291178.1
1710302400000,2.4873,2.5355,2.4504,2.4838,10138294.9
1710316800000,2.4838,2.5065,2.4603,2.4707,10479482.5
1710331200000,2.4707,2.6257,2.3678,2.5877,37612060.3
1710345600000,2.5876,2.61,2.5001,2.5777,22095684.3
1710360000000,2.5774,2.6743,2.5615,2.6313,14068819.7
1710374400000,2.6312,2.6571,2.5047,2.5183,18012291.2
1710388800000,2.5183,2.5208,2.4412,2.458,14722257.6
1710403200000,2.458,2.4873,2.4088,2.4489,11802962.3
1710417600000,2.4491,2.462,2.3219,2.3629,25180863.0
1710432000000,2.3629,2.3978,2.25,2.3093,21503833.7
1710446400000,2.3093,2.4048,2.3067,2.3894,8796349.2
1710460800000,2.3895,2.4256,2.052,2.2045,32225715.4
1710475200000,2.2045,2.24,2.1629,2.2176,17469482.7
1710489600000,2.2177,2.222,2.0,2.1352,29326554.5
1710504000000,2.1353,2.1697,2.112,2.1362,12358388.1
1710518400000,2.1363,2.2182,2.1084,2.1504,13003409.3
1710532800000,2.1504,2.2077,2.0903,2.1994,7890514.6
1710547200000,2.1994,2.25,2.1903,2.2396,9465865.7
1710561600000,2.2392,2.2614,2.1659,2.2576,10757869.6
1710576000000,2.2577,2.2581,2.1605,2.1791,8645820.8
1710590400000,2.1788,2.1834,2.0749,2.1479,15260012.6
1710604800000,2.1478,2.1492,2.0,2.0477,17896893.5
1710619200000,2.0478,2.0824,1.9843,2.0414,11375635.3
1710633600000,2.0414,2.0965,2.0104,2.0929,8580772.0
1710648000000,2.0929,2.0937,1.916,1.9644,14427145.5
1710662400000,1.9644,2.0731,1.9602,2.0463,10059743.2
1710676800000,2.0463,2.11,1.991,2.0962,10575860.3
1710691200000,2.0962,2.1461,2.0762,2.1162,8015182.8
1710705600000,2.1161,2.1455,2.0963,2.1161,3851470.1
1710720000000,2.1161,2.123,2.0324,2.0826,7853104.0
1710734400000,2.0824,2.1089,2.0553,2.0699,5093081.3
1710748800000,2.0699,2.0714,1.9931,2.0338,10177643.7
1710763200000,2.0339,2.0448,1.9242,1.9608,14608557.1
1710777600000,1.9604,1.9936,1.9,1.919,12145916.8
1710792000000,1.9189,1.9684,1.9169,1.9372,4944032.7
1710806400000,1.937,1.9712,1.82,1.8643,16535353.4
1710820800000,1.8637,1.88,1.7501,1.8498,16611313.6
1710835200000,1.8499,1.8623,1.75,1.8598,19591686.2
1710849600000,1.86,2.0771,1.8336,2.06,37600101.2
1710864000000,2.06,2.085,1.992,2.0394,13694077.3
1710878400000,2.0397,2.0455,1.8689,1.9172,11083160.2
1710892800000,1.9173,1.999,1.902,1.9326,11650430.7
1710907200000,1.9327,1.9867,1.8587,1.9723,14957611.2
1710921600000,1.9724,2.0474,1.9476,2.0262,12562009.9
1710936000000,2.0259,2.085,1.9963,2.0108,17513648.4
1710950400000,2.0113,2.1114,1.9281,2.0933,17623006.8
1710964800000,2.093,2.1547,2.0861,2.1381,7759925.0
1710979200000,2.1381,2.1765,2.1125,2.1263,7900059.4
1710993600000,2.1268,2.1505,2.05,2.1342,9524685.6
1711008000000,2.1342,2.1853,2.1328,2.1436,7881869.1
