timestamp,open,high,low,close,volume
1778068800000,27.37,28.72,26.8,28.32,68668.15
1778083200000,28.23,28.92,27.83,28.74,29910.49
1778097600000,28.73,28.8,27.78,28.24,10880.71
1778112000000,28.25,28.92,28.16,28.74,14808.21
1778126400000,28.74,29.11,28.56,28.69,14409.59
1778140800000,28.71,28.97,28.31,28.71,13001.71
1778155200000,28.74,28.77,26.57,26.61,28575.27
1778169600000,26.63,26.86,25.75,26.47,15495.99
1778184000000,26.43,27.09,25.09,25.76,13350.89
1778198400000,25.75,26.26,25.41,26.01,8367.76
1778212800000,26.02,26.29,25.9,26.09,9050.98
1778227200000,26.12,26.86,26.12,26.6,8783.86
1778241600000,26.61,27.67,25.91,25.96,29324.18
1778256000000,25.96,27.43,25.9,27.04,13240.54
1778270400000,27.05,27.17,26.62,27.02,7033.87
1778284800000,26.99,27.02,26.79,26.86,4842.47
1778299200000,26.85,26.91,26.82,26.88,3327.87
1778313600000,26.88,26.91,26.82,26.86,2413.77
1778328000000,26.85,26.91,26.44,26.83,9734.1
1778342400000,26.83,26.88,26.76,26.87,1294.42
1778356800000,26.87,26.9,26.78,26.9,1616.47
1778371200000,26.9,26.92,26.83,26.89,1359.19
1778385600000,26.89,27.02,26.7,26.75,2489.87
1778400000000,26.75,27.15,26.54,26.75,4750.87
1778414400000,26.75,27.26,26.69,27.06,3787.18
1778428800000,27.07,27.3,26.75,26.75,3922.01
1778443200000,26.75,27.33,26.06,26.99,10132.98
1778457600000,26.98,27.3,26.47,26.52,8754.84
1778472000000,26.52,26.8,26.41,26.52,9174.14
1778486400000,26.51,26.52,26.16,26.3,10699.48
1778500800000,26.28,27.53,25.1,27.15,39918.61
1778515200000,27.16,28.02,26.2,26.34,17457.45
1778529600000,26.35,26.64,26.26,26.57,5718.19
1778544000000,26.56,26.94,26.09,26.46,10220.85
1778558400000,26.46,26.46,26.08,26.15,3883.86
1778572800000,26.18,26.47,26.08,26.26,4327.85
1778587200000,26.28,27.07,24.62,24.88,21225.42
1778601600000,24.86,25.82,24.83,25.54,11491.41
1778616000000,25.53,25.69,25.22,25.52,5125.76
1778630400000,25.58,26.0,25.49,25.99,2352.23
1778644800000,25.94,26.14,25.94,25.99,1588.4
1778659200000,26.05,26.07,25.68,25.78,5435.25
1778673600000,25.73,26.3,24.51,25.7,19062.21
1778688000000,25.71,26.24,25.47,25.47,9261.23
1778702400000,25.5,26.94,24.68,25.53,22264.16
1778716800000,25.5,25.66,25.18,25.34,6266.91
1778731200000,25.4,25.62,25.33,25.44,4734.05
1778745600000,25.46,25.49,24.86,25.2,12037.32
1778760000000,25.15,25.96,23.42,24.37,36639.08
1778774400000,24.38,26.12,24.37,24.86,15668.54
1778788800000,24.89,25.05,24.73,24.84,3410.94
1778803200000,24.85,25.0,24.35,24.59,3378.71
1778817600000,24.64,24.67,24.06,24.45,5389.86
1778832000000,24.49,24.51,24.03,24.19,12678.5
1778846400000,24.17,25.54,23.75,24.61,38740.33
1778860800000,24.64,25.12,24.16,24.42,10901.92
1778875200000,24.41,24.51,24.15,24.25,2015.6
1778889600000,24.21,24.43,24.19,24.32,1065.92
1778904000000,24.31,24.42,24.06,24.16,2175.73
1778918400000,24.12,24.24,24.0,24.24,1454.5
1778932800000,24.24,24.24,24.1,24.11,591.53
1778947200000,24.11,24.2,24.08,24.17,398.45
1778961600000,24.14,24.2,24.12,24.2,217.44
1778976000000,24.17,24.42,24.07,24.4,3565.64
1778990400000,24.4,24.41,24.21,24.29,869.53
1779004800000,24.29,24.31,24.17,24.3,877.38
1779019200000,24.27,24.41,24.2,24.33,1106.9
1779033600000,24.32,25.0,24.25,24.82,5068.48
1779048000000,24.79,24.97,24.46,24.58,3846.05
1779062400000,24.54,24.6,23.95,24.34,6914.83
1779076800000,24.32,24.38,24.18,24.3,2598.99
1779091200000,24.3,24.56,24.17,24.43,3428.34
1779105600000,24.48,24.8,21.13,21.3,55897.33
1779120000000,21.31,21.62,20.85,21.35,89684.97
1779134400000,21.34,21.63,21.18,21.45,10899.6
1779148800000,21.44,21.71,21.14,21.47,7526.64
1779163200000,21.47,21.56,21.18,21.48,4213.56
1779177600000,21.48,21.56,20.76,20.76,10951.03
1779192000000,20.79,21.0,19.4,20.0,67925.71
1779206400000,20.01,20.68,19.82,20.01,13395.68
1779220800000,20.0,20.18,19.96,20.16,7485.16
1779235200000,20.15,20.33,19.76,20.23,7256.04
1779249600000,20.23,20.34,20.15,20.28,3393.94
1779264000000,20.26,20.75,20.25,20.69,19134.82
1779278400000,20.69,22.28,20.07,22.22,126820.29
1779292800000,22.22,22.76,21.82,22.6,31398.47
1779307200000,22.61,22.74,22.47,22.56,9105.87
1779321600000,22.58,22.89,22.44,22.79,10315.2
1779336000000,22.79,22.87,22.37,22.63,9176.95
1779350400000,22.63,23.6,22.5,23.17,45562.04
1779364800000,23.15,24.98,22.86,24.17,122762.38
1779379200000,24.15,24.78,24.01,24.29,25854.46
1779393600000,24.31,24.53,24.25,24.41,4220.48
1779408000000,24.42,24.7,24.23,24.65,7567.19
1779422400000,24.7,24.76,24.4,24.48,3797.32
1779436800000,24.53,24.66,24.36,24.44,7028.37
1779451200000,24.44,26.73,24.42,25.61,102424.37
1779465600000,25.6,26.03,25.21,25.3,22641.95
1779480000000,25.29,25.41,25.14,25.29,3148.8
1779494400000,25.32,25.4,25.1,25.27,5910.84
1779508800000,25.25,25.27,25.06,25.13,1766.1
1779523200000,25.13,25.5,25.02,25.49,8167.72
1779537600000,25.49,25.95,25.42,25.68,10267.06
1779552000000,25.71,25.8,25.59,25.75,4749.18
1779566400000,25.78,25.96,25.73,25.82,995.84
1779580800000,25.78,25.93,25.74,25.85,737.64
1779595200000,25.84,25.84,25.53,25.55,2008.87
1779609600000,25.55,25.87,25.55,25.66,1991.34
1779624000000,25.66,25.68,25.32,25.35,3744.22
1779638400000,25.34,25.55,25.33,25.47,963.77
1779652800000,25.48,25.51,25.3,25.39,987.05
1779667200000,25.4,27.32,25.31,26.24,102192.39
1779681600000,26.23,26.41,26.01,26.36,10392.81
1779696000000,26.37,26.68,26.04,26.53,10516.11
1779710400000,26.52,26.54,26.36,26.46,3851.07
1779724800000,26.46,26.54,26.41,26.54,1495.97
1779739200000,26.53,27.0,25.95,26.12,9211.8
1779753600000,26.21,26.34,25.59,25.84,14895.51
1779768000000,25.86,26.29,25.65,25.75,11235.48
1779782400000,25.76,26.15,25.4,25.94,11891.85
1779796800000,25.94,26.58,25.32,26.06,69977.55
1779811200000,26.06,28.64,26.04,27.74,107106.19
1779825600000,27.74,27.88,27.52,27.83,11038.12
1779840000000,27.83,28.07,27.66,27.84,15992.55
1779854400000,27.83,27.98,27.52,27.71,14550.61
1779868800000,27.72,28.27,27.72,28.21,19649.76
1779883200000,28.21,28.26,26.07,26.83,111864.57
1779897600000,26.82,27.61,26.33,26.71,38443.09
1779912000000,26.72,26.75,26.39,26.41,8441.16
1779926400000,26.4,26.68,25.7,25.86,20911.65
1779940800000,25.85,26.33,25.61,26.3,14211.79
1779955200000,26.31,26.38,25.9,26.1,19641.39
1779969600000,26.1,27.92,25.82,27.82,91017.87
1779984000000,27.8,28.59,27.68,28.15,38901.87
1779998400000,28.16,28.23,27.9,28.07,4843.85
1780012800000,28.06,28.25,27.99,28.22,3035.29
1780027200000,28.22,28.41,28.1,28.21,5872.38
1780041600000,28.22,28.33,27.84,27.9,27407.0
1780056000000,27.9,28.02,26.46,27.47,73291.78
1780070400000,27.47,28.12,26.73,28.01,25731.34
