timestamp,open,high,low,close,volume
1733833800000,1.4101,1.6669,1.4101,1.6261,1222341.0
1733834700000,1.6257,1.7178,1.6086,1.6421,2001268.2
1733835600000,1.6421,1.6919,1.603,1.6281,2683866.7
1733836500000,1.6281,1.6497,1.6202,1.6348,871030.6
1733837400000,1.6351,1.6563,1.6269,1.6497,764040.8
1733838300000,1.649,1.692,1.648,1.6682,1245463.0
1733839200000,1.669,1.74,1.659,1.6975,2432935.4
1733840100000,1.6976,1.7115,1.68,1.6946,1475053.0
1733841000000,1.6935,1.7112,1.641,1.6776,1873834.3
1733841900000,1.6772,1.698,1.6544,1.663,1270079.8
1733842800000,1.6632,1.6735,1.638,1.6498,1275703.6
1733843700000,1.6499,1.6533,1.5723,1.58,2207402.6
1733844600000,1.58,1.6077,1.5645,1.5824,1804011.6
1733845500000,1.5813,1.5947,1.5464,1.5574,1662212.2
1733846400000,1.5574,1.6059,1.5405,1.576,1679772.9
1733847300000,1.5758,1.6071,1.5725,1.5801,1258326.9
1733848200000,1.5801,1.5916,1.5329,1.5387,1613043.4
1733849100000,1.5388,1.595,1.5324,1.5887,1352517.0
1733850000000,1.5887,1.5898,1.5571,1.5689,1196820.0
1733850900000,1.5695,1.5707,1.5324,1.5353,1048748.4
1733851800000,1.5349,1.5518,1.5181,1.5333,1167213.6
1733852700000,1.5332,1.5519,1.4952,1.5094,1214287.4
1733853600000,1.5096,1.5226,1.497,1.5082,870594.5
1733854500000,1.5082,1.531,1.5081,1.5244,566656.7
1733855400000,1.5249,1.549,1.5238,1.5418,395664.0
1733856300000,1.5425,1.5504,1.528,1.5352,308621.1
1733857200000,1.5348,1.5543,1.5303,1.5494,396463.1
1733858100000,1.5495,1.5668,1.5424,1.5629,372236.9
1733859000000,1.563,1.5905,1.5542,1.5786,627018.0
1733859900000,1.5771,1.5977,1.5622,1.5916,525675.1
1733860800000,1.5921,1.5998,1.573,1.5913,427961.6
1733861700000,1.5911,1.6,1.5812,1.6,324045.3
1733862600000,1.5999,1.6,1.5834,1.5925,374633.7
1733863500000,1.5919,1.6097,1.584,1.5944,332516.3
1733864400000,1.5953,1.6079,1.5881,1.6021,219607.4
1733865300000,1.6015,1.6052,1.5866,1.5893,246053.1
1733866200000,1.5895,1.5939,1.5658,1.5705,318234.8
1733867100000,1.5719,1.5876,1.5711,1.5788,487656.2
1733868000000,1.5795,1.5891,1.5745,1.5827,209465.0
1733868900000,1.5843,1.5941,1.5775,1.5932,170327.2
1733869800000,1.5928,1.5987,1.5759,1.578,113431.7
1733870700000,1.5789,1.5807,1.5693,1.5722,142309.6
1733871600000,1.5704,1.5919,1.563,1.5774,335628.8
1733872500000,1.5776,1.5919,1.5768,1.5772,176917.6
1733873400000,1.5783,1.5894,1.56,1.5605,239701.1
1733874300000,1.5605,1.5689,1.5534,1.5622,259024.8
1733875200000,1.5624,1.5751,1.5583,1.5701,173705.5
1733876100000,1.5701,1.5706,1.5534,1.5534,195927.0
1733877000000,1.5542,1.5585,1.5356,1.5382,320843.0
1733877900000,1.5386,1.562,1.5321,1.558,273680.3
1733878800000,1.5578,1.558,1.5371,1.5438,196737.1
1733879700000,1.544,1.5646,1.5157,1.5179,646542.0
1733880600000,1.5179,1.5382,1.5167,1.5189,187613.8
1733881500000,1.5188,1.534,1.5005,1.5008,330657.1
1733882400000,1.5015,1.5171,1.497,1.4999,405457.8
1733883300000,1.4993,1.5253,1.4972,1.5232,286868.7
1733884200000,1.5227,1.5536,1.515,1.5526,466005.9
1733885100000,1.5521,1.5547,1.534,1.54,230665.2
1733886000000,1.5405,1.5592,1.538,1.5487,195261.1
1733886900000,1.5487,1.5554,1.5388,1.5511,202919.9
1733887800000,1.5518,1.5609,1.5464,1.5551,137395.5
1733888700000,1.5546,1.5605,1.5502,1.5537,139243.6
1733889600000,1.555,1.5641,1.5502,1.5608,244294.8
1733890500000,1.561,1.5636,1.5532,1.5554,115322.1
1733891400000,1.5559,1.5727,1.5531,1.5683,337657.1
1733892300000,1.5674,1.5827,1.5603,1.5678,420936.6
1733893200000,1.5683,1.5866,1.5663,1.5846,357136.9
1733894100000,1.5852,1.5925,1.5678,1.5706,621603.0
1733895000000,1.5708,1.5766,1.5582,1.5723,308272.9
1733895900000,1.5723,1.5777,1.5641,1.5773,235638.8
1733896800000,1.5772,1.5988,1.5671,1.595,355867.4
1733897700000,1.5955,1.6368,1.594,1.6346,1050240.0
1733898600000,1.6346,1.6399,1.6086,1.6259,582236.3
1733899500000,1.6255,1.6467,1.6145,1.6394,767721.7
1733900400000,1.6394,1.6412,1.62,1.6243,487583.4
1733901300000,1.6238,1.6318,1.6022,1.6164,656753.7
1733902200000,1.6165,1.6218,1.5925,1.6031,535026.1
1733903100000,1.6038,1.6094,1.5741,1.5954,971781.1
1733904000000,1.5964,1.6138,1.5954,1.6027,744715.1
1733904900000,1.6019,1.6155,1.5984,1.6085,366735.7
1733905800000,1.6085,1.6523,1.6062,1.6502,465724.3
1733906700000,1.6497,1.7,1.6411,1.6518,1164021.0
1733907600000,1.6521,1.6624,1.647,1.658,535088.7
1733908500000,1.6588,1.6844,1.6566,1.6786,875742.7
1733909400000,1.679,1.6883,1.6708,1.6806,566924.6
1733910300000,1.6807,1.698,1.6717,1.6918,496273.2
1733911200000,1.6919,1.7253,1.6728,1.7173,776304.0
1733912100000,1.7167,1.7424,1.7011,1.7161,1361609.8
1733913000000,1.7161,1.7195,1.6706,1.691,964817.7
1733913900000,1.6905,1.6983,1.6717,1.6926,697432.4
1733914800000,1.6923,1.713,1.69,1.702,443885.0
1733915700000,1.7015,1.7182,1.6948,1.7011,410862.8
1733916600000,1.7011,1.7051,1.6698,1.6755,571008.6
1733917500000,1.6746,1.6874,1.6652,1.684,305991.6
1733918400000,1.6832,1.6969,1.6793,1.6816,422665.9
1733919300000,1.6818,1.7012,1.6756,1.7,562223.4
1733920200000,1.7,1.7205,1.665,1.6912,1003059.1
1733921100000,1.6913,1.7031,1.6876,1.6957,225404.2
1733922000000,1.6965,1.7078,1.6876,1.6887,242812.4
1733922900000,1.689,1.6913,1.6602,1.679,682072.6
1733923800000,1.6788,1.6978,1.6602,1.6825,854283.6
1733924700000,1.6829,1.6841,1.6663,1.6817,366622.1
1733925600000,1.6817,1.6952,1.6718,1.6768,630635.5
1733926500000,1.6765,1.6941,1.6636,1.6911,357300.0
1733927400000,1.6911,1.7179,1.6783,1.7156,375664.5
1733928300000,1.7154,1.7441,1.7138,1.7416,594965.1
1733929200000,1.7417,1.7555,1.7312,1.7507,724101.3
1733930100000,1.7507,1.794,1.7377,1.7767,1044984.9
1733931000000,1.7771,1.7824,1.7432,1.7485,508378.1
1733931900000,1.7488,1.7592,1.7368,1.7507,533002.5
1733932800000,1.7501,1.759,1.7425,1.7453,230298.3
1733933700000,1.7454,1.7786,1.7395,1.775,307671.9
1733934600000,1.7758,1.779,1.7344,1.745,580927.2
1733935500000,1.745,1.7639,1.7318,1.7562,215352.9
1733936400000,1.756,1.7873,1.7558,1.7829,609319.1
1733937300000,1.7829,1.7908,1.77,1.7839,299762.7
1733938200000,1.7841,1.801,1.7803,1.7832,415470.6
1733939100000,1.7832,1.7928,1.7708,1.7876,562242.0
1733940000000,1.7877,1.8027,1.7743,1.7996,516957.5
1733940900000,1.7998,1.808,1.7936,1.7979,253854.6
1733941800000,1.797,1.8181,1.7912,1.8049,362271.3
1733942700000,1.8049,1.823,1.801,1.8148,267680.1
1733943600000,1.8134,1.8187,1.8016,1.8156,271156.9
1733944500000,1.8157,1.8229,1.8103,1.8209,313968.0
1733945400000,1.821,1.8229,1.7948,1.7952,362992.8
1733946300000,1.7957,1.8075,1.7898,1.7992,299842.5
1733947200000,1.7992,1.8158,1.7958,1.8081,156139.5
1733948100000,1.8082,1.825,1.8074,1.82,287535.5
1733949000000,1.8198,1.8317,1.8143,1.8262,377335.6
1733949900000,1.8264,1.8449,1.8248,1.8391,350569.5
1733950800000,1.8387,1.8751,1.8344,1.852,898509.0
1733951700000,1.853,1.8739,1.8386,1.8706,314956.5
1733952600000,1.8714,1.8839,1.863,1.8672,583817.2
1733953500000,1.8671,1.888,1.8637,1.8832,484450.2
1733954400000,1.8827,1.9179,1.882,1.9154,1001595.3
1733955300000,1.9157,1.9346,1.9019,1.9062,1157468.8
1733956200000,1.9054,1.9175,1.8699,1.8962,789722.1
1733957100000,1.8962,1.95,1.8825,1.9404,911776.6
1733958000000,1.9388,1.9606,1.93,1.9371,1077866.2
1733958900000,1.9375,1.9573,1.9218,1.9531,933325.6
1733959800000,1.9537,1.9598,1.9334,1.9432,501095.8
1733960700000,1.9436,1.9449,1.907,1.9109,972539.8
1733961600000,1.9116,1.9328,1.8959,1.909,720109.0
1733962500000,1.9083,1.9301,1.9011,1.9182,646811.0
1733963400000,1.9184,1.9317,1.9116,1.9221,546335.6
1733964300000,1.922,1.9222,1.91,1.9133,600232.2
1733965200000,1.9132,1.9161,1.8566,1.8682,1046791.3
1733966100000,1.8678,1.8688,1.819,1.8378,1256231.5
1733967000000,1.8378,1.9307,1.8185,1.8556,2907254.3
1733967900000,1.8558,1.8609,1.8319,1.8523,761076.2
1733968800000,1.8521,1.8921,1.8495,1.8794,1349796.2
1733969700000,1.8798,1.8917,1.8697,1.8857,606964.6
1733970600000,1.8853,1.8899,1.8507,1.86,563916.0
1733971500000,1.8603,1.904,1.8574,1.9023,644323.2
1733972400000,1.9016,1.9325,1.8868,1.9188,1034723.2
1733973300000,1.92,1.9695,1.9153,1.949,1483059.3
1733974200000,1.949,1.9697,1.941,1.957,779335.2
1733975100000,1.9561,1.9732,1.9239,1.9387,930212.5
1733976000000,1.9388,1.9418,1.9122,1.9371,598193.0
1733976900000,1.9371,1.95,1.9286,1.934,379891.6
1733977800000,1.9345,1.9438,1.9167,1.918,304553.0
1733978700000,1.9185,1.9235,1.8935,1.9008,732600.2
1733979600000,1.9018,1.9133,1.8964,1.9071,375329.7
1733980500000,1.9074,1.9149,1.8904,1.9017,479477.5
1733981400000,1.9019,1.9176,1.8954,1.8983,419295.0
1733982300000,1.8988,1.9013,1.8838,1.8846,270689.5
1733983200000,1.8847,1.8992,1.8733,1.8742,482266.8
1733984100000,1.8752,1.8826,1.8427,1.8698,758061.8
1733985000000,1.8698,1.9051,1.8656,1.8946,562664.1
1733985900000,1.8948,1.9041,1.8917,1.8968,424536.6
1733986800000,1.8973,1.9045,1.8841,1.8862,239524.8
1733987700000,1.8865,1.9007,1.8786,1.8936,471254.0
1733988600000,1.8936,1.8952,1.8791,1.8829,219891.3
1733989500000,1.8831,1.8931,1.8489,1.8519,580331.5
1733990400000,1.8522,1.8649,1.8493,1.8624,336073.7
1733991300000,1.8617,1.8621,1.8335,1.8458,612552.7
1733992200000,1.846,1.8555,1.8408,1.8551,321719.1
1733993100000,1.8546,1.8602,1.8506,1.8573,228526.6
1733994000000,1.8569,1.8731,1.8553,1.8701,329636.1
1733994900000,1.8703,1.8828,1.8695,1.8822,320163.1
1733995800000,1.8822,1.8822,1.8566,1.8601,319459.3
1733996700000,1.8601,1.8765,1.8601,1.8666,236505.6
1733997600000,1.8668,1.8688,1.834,1.8596,724154.3
1733998500000,1.8594,1.8615,1.8396,1.8522,327189.8
1733999400000,1.8517,1.87,1.8458,1.8677,323367.2
1734000300000,1.8671,1.8691,1.8508,1.8669,225710.9
1734001200000,1.8667,1.875,1.8504,1.8576,322260.5
1734002100000,1.8571,1.8884,1.8569,1.8877,473466.2
1734003000000,1.8882,1.9075,1.8733,1.8894,718794.8
1734003900000,1.8888,1.9068,1.8794,1.9036,470981.7
1734004800000,1.9039,1.9406,1.9,1.9334,1119093.2
1734005700000,1.9335,1.945,1.9086,1.9295,691681.6
1734006600000,1.9292,1.9322,1.907,1.9136,525670.1
1734007500000,1.9145,1.928,1.9021,1.917,354307.7
1734008400000,1.9173,1.9463,1.9082,1.943,554713.3
1734009300000,1.9418,1.97,1.9401,1.9681,754400.1
1734010200000,1.9677,1.9795,1.9129,1.9209,1264293.3
1734011100000,1.9201,1.9261,1.8908,1.9144,724531.9
1734012000000,1.9147,1.9277,1.8952,1.898,562533.8
1734012900000,1.898,1.9324,1.8899,1.9309,536351.4
1734013800000,1.9307,1.9387,1.8714,1.8905,1082624.4
1734014700000,1.8893,1.9258,1.8768,1.9134,537717.3
1734015600000,1.9141,1.9182,1.8983,1.9058,448654.8
