timestamp,open,high,low,close,volume
1609286400000,20.88,36.0,9.3,10.81,1303073.594
1609372800000,10.81,11.242,7.89,8.117,187307.345
1609459200000,8.299,12.18,6.678,10.009,268541.974
1609545600000,10.009,12.177,9.499,9.746,255374.069
1609632000000,9.822,9.887,7.929,7.982,62394.82
1609718400000,7.974,8.269,6.813,7.28,62404.641
1609804800000,7.271,7.814,6.966,7.313,67060.102
1609891200000,7.296,7.3,6.773,6.78,52471.11
1609977600000,6.78,6.931,6.127,6.228,92405.38
1610064000000,6.269,9.013,5.99,6.201,149588.506
1610150400000,6.201,6.5,5.911,6.09,53146.947
1610236800000,6.09,6.219,5.0,5.424,50178.55
1610323200000,5.424,5.425,4.241,4.92,40830.701
1610409600000,4.862,5.499,4.241,4.57,43022.695
1610496000000,4.613,7.26,4.375,6.099,343633.77
1610582400000,6.053,6.9,5.555,5.714,329461.99
1610668800000,5.779,5.914,4.85,5.403,273076.361
1610755200000,5.422,5.8,5.207,5.549,207630.895
1610841600000,5.529,5.541,5.014,5.186,161171.162
1610928000000,5.186,5.534,5.013,5.354,128605.309
1611014400000,5.353,5.408,4.995,5.017,83494.464
1611100800000,5.017,5.555,5.0,5.176,133078.634
1611187200000,5.175,5.219,4.68,4.761,50708.981
1611273600000,4.761,4.985,4.491,4.939,33562.497
1611360000000,4.867,4.954,4.619,4.896,24460.872
1611446400000,4.896,5.2,4.706,4.797,51936.207
1611532800000,4.798,5.064,4.614,4.619,38403.755
1611619200000,4.619,4.78,4.452,4.64,43324.838
1611705600000,4.649,4.858,4.271,4.332,75518.749
1611792000000,4.333,5.126,4.275,4.432,151919.251
1611878400000,4.405,4.56,4.161,4.233,86574.883
1611964800000,4.233,4.436,4.17,4.263,78088.003
1612051200000,4.263,4.861,4.099,4.219,118469.578
1612137600000,4.216,4.389,4.099,4.287,58628.267
1612224000000,4.287,4.5,4.22,4.359,56588.595
1612310400000,4.359,4.888,4.251,4.615,88940.174
1612396800000,4.615,5.3,4.615,5.177,171110.157
1612483200000,5.177,5.39,5.0,5.249,105074.548
1612569600000,5.283,5.821,4.907,5.423,206636.788
1612656000000,5.422,5.965,4.961,5.184,130487.001
1612742400000,5.15,5.9,5.101,5.539,147393.089
1612828800000,5.518,6.05,5.416,5.953,238433.45
1612915200000,5.954,6.37,5.352,5.78,272405.611
1613001600000,5.78,6.8,5.657,6.087,355858.57
1613088000000,6.097,7.8,6.082,7.281,335958.017
1613174400000,7.282,10.85,7.278,9.383,1217652.716
1613260800000,9.383,9.543,7.801,8.532,296731.062
1613347200000,8.531,8.7,7.1,7.858,216206.086
1613433600000,7.931,9.145,7.5,7.803,378912.522
1613520000000,7.805,8.455,7.463,8.091,106854.393
1613606400000,8.091,11.6,7.978,9.306,441375.786
1613692800000,9.306,10.4,8.999,9.719,178106.396
1613779200000,9.719,9.85,8.0,8.667,157755.792
1613865600000,8.659,9.259,8.533,9.014,77865.011
1613952000000,9.014,9.015,6.623,8.18,132932.027
1614038400000,8.099,8.181,5.816,7.133,81777.739
1614124800000,7.199,7.895,6.784,7.418,109895.398
1614211200000,7.418,7.815,7.015,7.172,88845.876
1614297600000,7.173,7.26,6.437,6.716,59911.177
1614384000000,6.716,7.1,6.481,6.66,64361.535
1614470400000,6.724,8.358,6.03,6.538,519256.101
1614556800000,6.538,7.291,6.37,7.189,153315.286
1614643200000,7.189,7.3,6.55,6.819,102375.319
1614729600000,6.86,7.421,6.819,7.159,84835.284
1614816000000,7.161,7.419,6.359,6.613,127506.767
1614902400000,6.613,6.872,6.201,6.58,95202.308
1614988800000,6.582,7.11,6.337,6.8,112607.168
1615075200000,6.799,7.8,6.743,7.114,245196.817
1615161600000,7.12,7.3,6.805,7.221,120679.363
1615248000000,7.271,8.055,7.149,8.055,229263.435
1615334400000,8.055,13.064,7.341,8.031,1489790.906
1615420800000,8.074,10.99,7.169,9.633,1485511.98
1615507200000,9.633,10.4,8.592,9.558,421477.54
1615593600000,9.558,13.5,9.25,11.941,1127510.003
1615680000000,11.916,14.0,11.41,12.001,459924.408
1615766400000,12.001,12.086,10.201,10.67,275723.219
1615852800000,10.67,11.741,10.017,10.788,281443.546
1615939200000,10.839,14.14,10.457,11.22,803687.212
1616025600000,11.294,13.98,10.908,12.3,505006.536
1616112000000,12.298,12.777,11.508,11.642,218000.345
1616198400000,11.642,11.78,11.14,11.141,156654.272
1616284800000,11.142,12.425,10.376,10.641,307247.104
1616371200000,10.641,11.268,9.534,10.289,241052.531
1616457600000,10.367,10.8,9.592,9.645,139100.22
1616544000000,9.699,10.24,9.067,9.168,93424.052
1616630400000,9.168,10.785,8.283,9.31,519241.083
1616716800000,9.357,10.639,9.357,10.005,216466.373
1616803200000,10.004,12.902,9.834,10.724,514129.731
1616889600000,10.7,10.721,10.0,10.391,202071.077
1616976000000,10.423,10.742,10.236,10.617,127821.613
1617062400000,10.644,10.699,10.195,10.526,112219.718
1617148800000,10.563,11.284,10.174,10.363,146329.652
1617235200000,10.362,10.732,10.209,10.458,83152.438
1617321600000,10.458,10.585,9.927,10.107,94428.802
1617408000000,10.061,10.187,9.568,9.639,88645.192
1617494400000,9.639,9.899,9.518,9.805,82864.661
1617580800000,9.803,10.0,9.51,9.8,93866.376
1617667200000,9.81,11.533,9.602,10.501,322873.542
1617753600000,10.49,13.5,9.7,10.639,923367.261
1617840000000,10.607,10.884,9.9,10.02,566196.394
1617926400000,10.033,10.51,9.9,10.114,226714.429
1618012800000,10.114,10.365,9.67,9.862,139675.684
1618099200000,9.866,11.7,9.665,10.191,1165513.214
1618185600000,10.195,11.88,10.06,10.884,692058.057
1618272000000,10.916,11.77,10.5,11.191,345528.724
1618358400000,11.218,11.259,10.517,10.908,213932.055
1618444800000,10.923,11.34,10.819,11.21,160289.423
1618531200000,11.21,11.245,10.083,10.444,241773.806
1618617600000,10.449,11.65,10.341,10.935,295918.161
1618704000000,10.939,11.6,9.401,9.634,482444.865
1618790400000,9.609,10.148,8.8,8.96,259758.734
1618876800000,8.962,9.365,8.282,9.143,175034.104
1618963200000,9.157,9.923,9.019,9.093,236929.324
1619049600000,9.108,11.602,8.81,9.584,715060.928
1619136000000,9.588,10.9,7.714,8.907,1117698.582
1619222400000,8.892,9.0,8.376,8.65,259422.805
1619308800000,8.646,10.7,8.6,9.212,907040.88
1619395200000,9.222,9.883,9.133,9.552,334090.277
1619481600000,9.543,9.757,9.354,9.629,255097.53
1619568000000,9.606,9.792,9.19,9.382,171291.518
1619654400000,9.43,9.91,9.082,9.747,252660.116
1619740800000,9.744,10.18,9.512,10.104,196424.545
1619827200000,10.092,10.68,9.88,9.904,259360.381
1619913600000,9.906,10.2,9.54,9.909,164581.381
1620000000000,9.896,10.432,9.753,9.944,248352.124
1620086400000,9.943,9.954,9.2,9.235,146036.7
1620172800000,9.225,9.87,9.2,9.85,102773.659
1620259200000,9.85,10.823,9.257,9.442,671713.655
1620345600000,9.463,10.7,9.257,10.018,416862.8
1620432000000,10.005,11.476,9.84,9.93,537667.118
1620518400000,9.948,10.582,9.336,9.883,308985.787
1620604800000,9.881,10.256,9.292,9.608,168102.843
1620691200000,9.599,10.153,9.167,9.911,183290.88
1620777600000,9.911,27.8,9.877,15.987,9131111.217
1620864000000,15.986,25.408,13.868,19.705,8901217.876
1620950400000,19.694,26.765,18.251,24.333,2381665.269
1621036800000,24.271,48.799,23.957,43.899,8244695.616
1621123200000,43.898,61.427,36.852,40.861,10621383.107
1621209600000,40.845,51.61,34.0,46.209,3053759.855
1621296000000,46.231,50.745,45.622,48.396,1489138.982
1621382400000,48.396,48.543,28.392,34.428,1329812.148
1621468800000,34.497,48.39,31.308,45.115,1351360.195
1621555200000,45.09,58.7,40.724,52.11,3082976.317
1621641600000,52.086,56.65,24.433,26.132,5189384.749
1621728000000,26.132,27.719,13.504,17.698,3573631.283
1621814400000,17.698,19.9,14.121,17.864,2151953.693
1621900800000,17.864,21.77,14.38,16.172,1554015.122
1621987200000,16.172,18.376,15.216,16.811,1262704.279
1622073600000,16.811,20.975,14.326,18.58,2391837.992
1622160000000,18.526,18.638,14.799,15.55,1178243.294
1622246400000,15.56,15.862,12.813,13.564,430527.156
1622332800000,13.564,14.877,12.874,13.559,424109.176
1622419200000,13.554,14.323,13.0,13.878,391904.906
1622505600000,13.878,14.152,12.714,13.034,353406.995
1622592000000,13.073,13.554,12.701,13.015,451640.501
1622678400000,13.015,14.5,12.939,13.419,676020.885
1622764800000,13.401,13.488,11.6,12.238,549349.618
1622851200000,12.238,12.897,11.828,12.241,357512.721
1622937600000,12.241,12.446,11.8,12.117,275460.355
1623024000000,12.119,14.306,11.047,11.219,733622.28
