timestamp,open,high,low,close,volume
1726790400000,0.08,1.2,0.08,0.9112,478320150.9
1726876800000,0.9112,0.9975,0.8383,0.9036,226638459.2
1726963200000,0.9035,0.9058,0.7277,0.7628,136541392.9
1727049600000,0.7628,0.8423,0.7281,0.8141,222630621.1
1727136000000,0.8141,0.8197,0.7593,0.7822,88074484.1
1727222400000,0.7827,0.81,0.732,0.7419,87543583.9
1727308800000,0.742,0.7565,0.6556,0.6749,95250712.0
1727395200000,0.6754,0.7216,0.669,0.71,67568580.5
1727481600000,0.7101,0.729,0.6285,0.647,52183864.2
1727568000000,0.6468,0.6552,0.609,0.6249,51193831.5
1727654400000,0.6251,0.648,0.5441,0.5512,79403550.6
1727740800000,0.5512,0.5649,0.449,0.4556,114295253.2
1727827200000,0.4556,0.4762,0.4338,0.4529,76738718.4
1727913600000,0.453,0.4913,0.4451,0.4768,87271100.9
1728000000000,0.4767,0.5044,0.4586,0.4955,53996788.1
1728086400000,0.4955,0.585,0.4953,0.5237,115770571.8
1728172800000,0.5234,0.527,0.4965,0.514,57333685.4
1728259200000,0.5139,0.543,0.4826,0.484,77225507.7
1728345600000,0.4841,0.493,0.4428,0.4575,51412732.8
1728432000000,0.4576,0.4859,0.4271,0.429,46977661.9
1728518400000,0.4289,0.4382,0.3923,0.4034,37692167.2
1728604800000,0.4035,0.4409,0.402,0.4276,27556734.1
1728691200000,0.4275,0.473,0.4144,0.4518,49153201.0
1728777600000,0.4519,0.4734,0.4338,0.4629,44164943.3
1728864000000,0.463,0.4888,0.4526,0.483,43856318.8
1728950400000,0.483,0.4872,0.4204,0.4362,53139671.3
1729036800000,0.4361,0.4379,0.407,0.4154,26477534.4
1729123200000,0.4154,0.4252,0.3954,0.4115,22701799.5
1729209600000,0.4116,0.44,0.4088,0.4388,26340626.2
1729296000000,0.4387,0.4485,0.428,0.4384,21009873.0
1729382400000,0.4385,0.462,0.4235,0.4518,26668692.7
1729468800000,0.452,0.457,0.4242,0.4302,25223247.0
1729555200000,0.4304,0.4991,0.424,0.4916,85906184.4
1729641600000,0.4915,0.4915,0.3668,0.373,87915365.4
1729728000000,0.373,0.39,0.3632,0.3792,49332501.2
1729814400000,0.3792,0.3834,0.3032,0.3205,47423164.2
1729900800000,0.3204,0.3347,0.3123,0.3236,27812141.6
1729987200000,0.3236,0.3616,0.3203,0.3499,40597423.4
1730073600000,0.3499,0.3672,0.3314,0.3612,38738012.2
1730160000000,0.3612,0.3783,0.3568,0.3758,46353712.4
1730246400000,0.3757,0.3812,0.3567,0.3693,21544766.6
1730332800000,0.3691,0.3726,0.3317,0.3421,19027440.7
1730419200000,0.3421,0.3572,0.3296,0.337,15095971.4
1730505600000,0.3371,0.3495,0.3111,0.3158,15124067.3
1730592000000,0.3157,0.3158,0.2627,0.2831,36792435.7
1730678400000,0.2831,0.3076,0.2781,0.2878,40252999.3
1730764800000,0.2877,0.3078,0.2872,0.2987,24692735.8
1730851200000,0.299,0.3549,0.2989,0.345,40839215.7
1730937600000,0.3451,0.3593,0.3272,0.3365,23287502.2
1731024000000,0.3367,0.3576,0.3204,0.3554,29025197.6
1731110400000,0.3556,0.47,0.3422,0.4293,185604780.4
1731196800000,0.4293,0.4643,0.3979,0.4313,107668467.0
1731283200000,0.4313,0.4468,0.4028,0.4397,52686153.2
1731369600000,0.4396,0.4641,0.3706,0.3985,61648302.3
1731456000000,0.398,0.4025,0.356,0.3832,45429509.3
1731542400000,0.3834,0.4294,0.3723,0.3852,55965472.5
1731628800000,0.3851,0.4954,0.3643,0.4184,90025781.3
1731715200000,0.4187,0.4493,0.4145,0.4389,33252254.4
1731801600000,0.439,0.5462,0.4035,0.5134,82235407.6
1731888000000,0.5133,0.8349,0.469,0.6979,248074327.0
1731974400000,0.698,0.7219,0.5741,0.6117,146911660.6
1732060800000,0.6113,0.6864,0.55,0.5843,85219579.7
1732147200000,0.5845,0.6079,0.558,0.59,33907760.1
1732233600000,0.5901,0.6032,0.5285,0.5533,34259208.4
1732320000000,0.5531,0.5878,0.5396,0.5825,27138495.7
1732406400000,0.5824,0.6044,0.4991,0.5508,34987613.9
1732492800000,0.5508,0.5671,0.5119,0.5355,20694847.7
1732579200000,0.5354,0.5499,0.503,0.5412,18039283.7
1732665600000,0.5413,0.5793,0.5289,0.572,24717644.6
1732752000000,0.572,0.5931,0.5434,0.584,16916643.7
