timestamp,open,high,low,close,volume
1627516800000,1.209,2.485,1.209,1.282,67884006.8
1627603200000,1.282,1.282,1.142,1.207,19956953.1
1627689600000,1.207,1.25,1.158,1.188,8417773.8
1627776000000,1.188,1.198,1.086,1.112,5512269.9
1627862400000,1.115,1.145,1.06,1.087,4973397.7
1627948800000,1.088,1.11,0.956,1.016,6947540.3
1628035200000,1.015,1.22,0.989,1.137,11526606.8
1628121600000,1.138,1.159,1.005,1.057,12046486.9
1628208000000,1.057,1.099,1.022,1.058,6739493.6
1628294400000,1.058,1.1,1.039,1.072,6626552.9
1628380800000,1.071,1.086,1.004,1.018,4439447.5
1628467200000,1.02,1.169,1.0,1.081,8897951.3
1628553600000,1.083,1.449,1.061,1.238,25006370.6
1628640000000,1.24,1.36,1.177,1.236,16559441.7
1628726400000,1.236,1.888,1.221,1.543,74232442.9
1628812800000,1.544,1.69,1.442,1.457,15267665.7
1628899200000,1.457,1.647,1.424,1.51,11865648.8
1628985600000,1.513,1.587,1.445,1.546,8666083.8
1629072000000,1.546,1.969,1.546,1.897,28383231.3
1629158400000,1.897,1.956,1.553,1.562,15303270.9
1629244800000,1.56,1.668,1.506,1.559,7853331.0
1629331200000,1.552,1.74,1.522,1.664,8009693.4
1629417600000,1.663,1.706,1.579,1.615,7109892.3
1629504000000,1.615,1.675,1.556,1.558,5762013.8
1629590400000,1.557,1.561,1.468,1.513,3608503.6
1629676800000,1.513,1.639,1.45,1.541,11276202.4
1629763200000,1.541,1.562,1.38,1.421,6365687.1
1629849600000,1.421,1.645,1.338,1.586,12628035.0
1629936000000,1.586,1.65,1.442,1.482,11472248.2
1630022400000,1.48,1.709,1.424,1.619,16660689.5
1630108800000,1.619,1.749,1.541,1.719,14006049.0
1630195200000,1.722,1.743,1.558,1.607,13350831.8
1630281600000,1.609,1.952,1.547,1.697,34142514.1
1630368000000,1.698,2.177,1.67,1.765,44277327.3
1630454400000,1.766,1.888,1.693,1.782,19135170.0
1630540800000,1.781,1.806,1.682,1.747,8850408.1
1630627200000,1.747,1.874,1.683,1.796,9991187.4
1630713600000,1.796,1.808,1.706,1.714,5434244.0
1630800000000,1.715,1.78,1.656,1.701,6258167.6
1630886400000,1.702,1.775,1.622,1.658,7307731.5
1630972800000,1.658,1.701,1.101,1.354,12986800.5
1631059200000,1.354,1.39,1.185,1.291,7914429.0
1631145600000,1.291,1.502,1.263,1.393,17185582.1
1631232000000,1.393,1.498,1.223,1.278,7947711.2
1631318400000,1.276,1.699,1.242,1.554,21322985.4
1631404800000,1.556,1.65,1.49,1.535,14260910.9
1631491200000,1.535,1.588,1.28,1.412,11525919.3
1631577600000,1.412,1.5,1.384,1.459,5716522.5
1631664000000,1.459,1.48,1.387,1.436,5683085.2
1631750400000,1.434,1.439,1.327,1.36,5996899.9
1631836800000,1.36,1.367,1.263,1.299,8087247.4
1631923200000,1.299,1.396,1.285,1.342,10657817.8
1632009600000,1.338,1.372,1.287,1.304,5144208.4
1632096000000,1.306,1.34,1.116,1.19,9267859.9
1632182400000,1.191,1.259,1.124,1.154,4726986.8
1632268800000,1.152,1.289,1.132,1.244,5242794.7
1632355200000,1.244,1.28,1.187,1.228,4478793.0
1632441600000,1.228,1.348,1.058,1.157,10456441.4
1632528000000,1.158,1.179,1.082,1.121,3245197.1
1632614400000,1.122,1.124,0.954,1.041,11520848.2
1632700800000,1.042,1.138,1.03,1.036,6865808.6
1632787200000,1.036,1.069,0.988,1.01,3870280.9
1632873600000,1.011,1.057,0.9,0.985,5876419.4
1632960000000,0.985,1.246,0.98,1.115,14263019.2
1633046400000,1.116,1.229,1.101,1.157,10874023.0
1633132800000,1.157,1.195,1.133,1.137,4638322.1
1633219200000,1.138,1.157,1.11,1.156,3871962.5
1633305600000,1.155,1.166,1.062,1.095,6023780.9
1633392000000,1.098,1.13,1.081,1.117,4188183.4
1633478400000,1.117,1.178,1.042,1.069,4841318.6
1633564800000,1.069,1.37,1.022,1.236,19305318.5
1633651200000,1.237,1.286,1.15,1.19,7938664.7
1633737600000,1.19,1.273,1.159,1.261,8928387.1
1633824000000,1.261,1.35,1.182,1.183,13318525.2
