timestamp,open,high,low,close,volume
1599696000000,10.0,10.0,9.419,9.683,22810.7
1599782400000,9.75,10.042,9.23,9.728,10102.57
1599868800000,9.739,10.167,9.5,9.997,11107.27
1599955200000,9.96,10.193,8.856,9.212,43596.56
1600041600000,9.198,9.544,8.968,9.321,11598.09
1600128000000,9.3,9.692,9.001,9.178,2729.58
1600214400000,9.0,9.277,7.979,9.136,5422.18
1600300800000,9.107,9.632,9.014,9.301,2077.03
1600387200000,9.347,9.401,8.58,8.863,5493.03
1600473600000,9.012,9.215,8.954,8.998,3043.32
1600560000000,8.9,8.951,8.35,8.634,6324.04
1600646400000,8.64,8.837,7.111,7.402,8321.76
1600732800000,7.391,7.833,7.22,7.703,790.93
1600819200000,7.86,7.86,6.241,6.474,1112.98
1600905600000,6.486,7.257,6.486,7.16,6483.03
1600992000000,7.157,7.305,6.727,7.233,3693.11
1601078400000,7.321,7.576,6.984,7.299,31478.1
1601164800000,7.309,7.523,7.093,7.409,14062.97
1601251200000,7.499,7.706,7.276,7.276,22920.25
1601337600000,7.339,7.561,7.315,7.561,15820.08
1601424000000,7.502,7.502,7.253,7.404,15624.93
1601510400000,7.404,7.661,6.848,7.159,27637.51
1601596800000,7.145,7.218,6.379,6.732,2857.93
1601683200000,6.782,6.905,6.665,6.759,2058.78
1601769600000,6.764,7.101,6.675,6.968,2183.23
1601856000000,6.972,7.129,6.863,7.059,29818.32
1601942400000,7.092,9.603,1.8,7.918,124345.93
1602028800000,7.818,8.063,7.233,7.48,85869.21
1602115200000,7.41,7.599,6.48,7.26,43985.23
1602201600000,7.294,7.623,7.069,7.522,8155.48
1602288000000,7.518,8.011,7.489,7.545,13389.55
1602374400000,7.522,7.788,7.3,7.535,16173.65
1602460800000,7.526,7.78,7.263,7.52,16732.04
1602547200000,7.437,7.603,7.293,7.564,16322.42
1602633600000,7.456,7.553,7.065,7.253,9135.94
1602720000000,7.226,7.374,7.09,7.141,5748.23
1602806400000,7.15,7.256,6.414,6.745,25600.02
1602892800000,6.74,6.772,6.552,6.6,2126.59
1602979200000,6.647,6.867,6.645,6.748,3930.47
1603065600000,6.821,7.195,6.662,7.026,9075.99
1603152000000,7.0,7.061,6.506,6.627,6058.94
1603238400000,6.695,7.522,6.658,7.221,19334.62
1603324800000,7.303,7.836,7.193,7.584,16622.08
1603411200000,7.552,7.69,7.127,7.403,6288.34
1603497600000,7.328,7.571,7.252,7.509,4351.85
1603584000000,7.456,8.017,7.21,7.88,7453.94
1603670400000,7.774,8.104,7.0,7.25,22593.07
1603756800000,7.331,7.704,7.271,7.505,20495.22
1603843200000,7.667,8.08,7.2,7.489,32930.2
1603929600000,7.441,7.589,7.05,7.226,1569.98
1604016000000,7.087,7.182,5.675,6.379,73511.46
1604102400000,6.35,6.714,6.28,6.476,7656.73
1604188800000,6.573,6.587,6.026,6.4,6183.26
1604275200000,6.509,6.59,5.689,5.846,12829.14
1604361600000,5.811,5.91,4.371,5.34,66898.23
