timestamp,open,high,low,close,volume
1594857600000,10.0,11.35,8.8,10.14,79377.15
1594944000000,10.03,10.55,9.26,10.12,86460.07
1595030400000,10.22,12.25,10.07,10.86,103297.81
1595116800000,11.0,11.54,10.25,10.6,77139.55
1595203200000,10.63,14.0,10.43,13.54,71328.61
1595289600000,13.84,14.83,11.75,13.12,90695.8
1595376000000,13.09,13.94,11.7,12.21,76808.18
1595462400000,12.24,12.43,10.04,10.5,169288.62
1595548800000,10.5,12.71,10.5,12.51,102289.48
1595635200000,12.56,12.76,10.66,11.03,61667.75
1595721600000,11.14,13.51,10.05,11.72,138703.71
1595808000000,11.85,16.88,11.83,12.38,323268.63
1595894400000,13.0,13.32,11.08,11.93,132051.37
1595980800000,11.92,12.17,10.91,11.76,77187.89
1596067200000,11.84,12.09,10.31,10.59,72884.9
1596153600000,10.56,10.58,9.4,9.54,134075.11
1596240000000,9.54,10.04,7.76,7.95,110798.69
1596326400000,8.06,15.97,6.47,6.99,1057283.96
1596412800000,6.96,7.24,5.45,5.48,446047.87
1596499200000,5.49,5.66,4.64,4.69,1001649.87
1596585600000,4.68,5.23,4.68,4.96,550132.77
1596672000000,5.0,5.08,4.13,4.19,471332.74
1596758400000,4.18,5.24,4.15,4.16,730573.73
1596844800000,4.18,4.3,1.7,2.16,5888698.94
1596931200000,2.17,2.49,1.37,1.54,11827568.56
1597017600000,1.54,1.92,1.21,1.36,12142464.61
1597104000000,1.36,1.78,1.33,1.46,11595619.83
1597190400000,1.46,1.58,0.64,0.68,20445696.01
1597276800000,0.68,0.728,0.442,0.508,40764547.84
1597363200000,0.507,0.585,0.473,0.527,15421711.39
1597449600000,0.525,0.562,0.264,0.338,32334244.34
1597536000000,0.337,0.364,0.284,0.343,19350030.7
1597622400000,0.343,0.53,0.297,0.448,25428974.22
1597708800000,0.449,0.594,0.383,0.43,52127870.85
1597795200000,0.43,0.536,0.339,0.403,48524152.27
1597881600000,0.401,0.428,0.364,0.407,20587263.8
1597968000000,0.408,0.729,0.402,0.594,58031196.75
1598054400000,0.593,0.62,0.332,0.371,52306256.62
1598140800000,0.37,0.463,0.357,0.419,36134984.43
1598227200000,0.42,0.459,0.353,0.414,28589607.22
1598313600000,0.415,0.57,0.395,0.507,45471515.06
1598400000000,0.508,0.513,0.358,0.401,39782551.45
1598486400000,0.399,0.501,0.374,0.451,45713151.16
1598572800000,0.453,0.478,0.368,0.394,30316878.39
1598659200000,0.395,0.404,0.28,0.312,52461837.0
1598745600000,0.313,0.313,0.245,0.302,58136294.79
1598832000000,0.301,0.355,0.278,0.351,39005104.03
1598918400000,0.351,0.38,0.299,0.324,28690257.68
1599004800000,0.325,0.463,0.307,0.402,36135615.22
1599091200000,0.404,0.81,0.384,0.685,57756497.36
1599177600000,0.685,0.8,0.523,0.588,52192149.3
1599264000000,0.586,1.08,0.541,0.7,68703167.92
1599350400000,0.699,0.858,0.397,0.427,58147783.59
1599436800000,0.427,0.526,0.403,0.437,45088459.46
1599523200000,0.437,0.545,0.421,0.503,22772755.73
1599609600000,0.505,0.529,0.422,0.447,19643673.89
1599696000000,0.447,0.447,0.381,0.42,27984834.09
1599782400000,0.423,0.45,0.411,0.423,16360657.94
1599868800000,0.424,0.441,0.41,0.411,10739117.85
1599955200000,0.411,0.487,0.377,0.46,22077832.24
1600041600000,0.459,0.484,0.432,0.458,15390274.68
1600128000000,0.459,0.56,0.445,0.548,16323530.01
1600214400000,0.547,0.604,0.52,0.575,14852430.22
1600300800000,0.578,0.599,0.464,0.547,13385866.17
1600387200000,0.549,0.666,0.539,0.63,9329031.0
1600473600000,0.634,0.668,0.602,0.652,6004307.06
1600560000000,0.652,0.73,0.598,0.704,8464135.01
1600646400000,0.706,0.863,0.39,0.846,18298910.97
1600732800000,0.839,0.873,0.775,0.839,5838930.11
1600819200000,0.84,1.199,0.83,1.099,14498447.15
1600905600000,1.099,1.148,0.49,0.572,28827532.31
1600992000000,0.571,0.649,0.394,0.445,37655940.53
1601078400000,0.448,0.537,0.402,0.483,29182973.81
1601164800000,0.482,0.543,0.412,0.435,24272125.01
1601251200000,0.435,0.493,0.406,0.484,26877838.59
1601337600000,0.485,0.578,0.472,0.501,27316480.33
1601424000000,0.5,0.569,0.486,0.526,16551418.19
1601510400000,0.525,0.58,0.461,0.556,27645653.39
1601596800000,0.557,0.654,0.525,0.614,24463078.53
1601683200000,0.608,0.623,0.566,0.598,10160857.21
1601769600000,0.595,0.615,0.565,0.573,8141858.34
1601856000000,0.575,0.59,0.538,0.557,10399210.15
1601942400000,0.554,0.68,0.548,0.658,15638969.0
1602028800000,0.657,0.718,0.626,0.63,11066173.02
1602115200000,0.63,0.707,0.527,0.537,15768911.54
1602201600000,0.539,0.566,0.405,0.43,23971175.85
1602288000000,0.43,0.431,0.375,0.411,28762700.31
1602374400000,0.412,0.437,0.366,0.382,21789366.87
1602460800000,0.383,0.393,0.307,0.328,42436142.59
1602547200000,0.327,0.378,0.321,0.356,36659335.51
1602633600000,0.355,0.38,0.337,0.364,25602677.47
1602720000000,0.364,0.393,0.357,0.374,22777436.15
1602806400000,0.373,0.413,0.365,0.386,19464022.9
1602892800000,0.386,0.399,0.378,0.382,6802839.57
1602979200000,0.381,0.383,0.352,0.36,9623983.44
1603065600000,0.358,0.384,0.34,0.36,11446032.17
1603152000000,0.362,0.437,0.36,0.43,27009942.03
1603238400000,0.431,0.434,0.338,0.361,25235822.76
1603324800000,0.362,0.367,0.241,0.272,42985856.22
1603411200000,0.271,0.293,0.253,0.258,32225674.67
1603497600000,0.259,0.266,0.213,0.226,36438715.78
1603584000000,0.228,0.265,0.218,0.249,38907770.32
1603670400000,0.249,0.296,0.233,0.279,42329690.98
1603756800000,0.279,0.291,0.235,0.264,36070238.34
1603843200000,0.264,0.309,0.254,0.293,40132689.13
1603929600000,0.293,0.318,0.275,0.304,38633364.78
1604016000000,0.304,0.342,0.295,0.318,40573245.85
1604102400000,0.318,0.33,0.297,0.311,22463669.61
1604188800000,0.311,0.322,0.284,0.286,14917208.73
1604275200000,0.285,0.34,0.28,0.333,29883101.64
1604361600000,0.333,0.394,0.322,0.372,38295264.41
1604448000000,0.372,0.412,0.349,0.364,35814707.45
1604534400000,0.363,0.396,0.302,0.321,40494410.46
1604620800000,0.321,0.323,0.227,0.237,39469778.91
1604707200000,0.236,0.236,0.158,0.201,93794522.02
1604793600000,0.2,0.21,0.153,0.169,47384847.87
1604880000000,0.169,0.192,0.157,0.175,50578872.61
1604966400000,0.175,0.181,0.147,0.154,56465413.15
1605052800000,0.154,0.162,0.143,0.162,42710515.72
1605139200000,0.162,0.177,0.153,0.174,50321673.83
1605225600000,0.174,0.177,0.155,0.158,32427247.24
1605312000000,0.158,0.177,0.156,0.171,23390863.53
1605398400000,0.171,0.191,0.166,0.186,30885967.37
1605484800000,0.186,0.188,0.159,0.165,27697898.37
1605571200000,0.165,0.168,0.136,0.137,43546095.11
1605657600000,0.138,0.139,0.108,0.123,75056469.03
1605744000000,0.123,0.132,0.116,0.12,35910127.86
1605830400000,0.12,0.123,0.107,0.112,39192625.34
1605916800000,0.112,0.119,0.091,0.093,69079462.68
1606003200000,0.093,0.11,0.086,0.102,74344991.97
1606089600000,0.102,0.109,0.092,0.094,51611919.31
1606176000000,0.094,0.0969,0.078,0.088,95870468.24
1606262400000,0.0882,0.1101,0.085,0.1062,58176695.38
1606348800000,0.1063,0.16,0.1006,0.1281,135091826.84
1606435200000,0.1276,0.1439,0.1183,0.1297,59207049.1
1606521600000,0.1297,0.1355,0.105,0.1123,60238397.04
1606608000000,0.1125,0.119,0.1036,0.106,47887347.34
1606694400000,0.105,0.105,0.084,0.0865,69618775.02
1606780800000,0.0866,0.0998,0.0792,0.0969,78340901.25
1606867200000,0.097,0.0994,0.0876,0.0895,46973948.6
1606953600000,0.0892,0.0938,0.0871,0.0894,28338592.24
1607040000000,0.0895,0.1087,0.0885,0.1063,42559696.39
1607126400000,0.1066,0.1082,0.0991,0.1002,26640590.57
1607212800000,0.1002,0.1075,0.0947,0.0955,30398253.46
