timestamp,open,high,low,close,volume
1638316800000,2.5,35.993,2.5,10.41,15330884.2
1638403200000,10.404,11.542,7.867,8.428,5792399.16
1638489600000,8.45,8.486,5.645,5.802,3012962.94
1638576000000,5.821,6.084,4.064,4.6,2618855.69
1638662400000,4.592,7.689,4.517,5.836,14650968.26
1638748800000,5.833,6.453,4.802,5.263,3712918.09
1638835200000,5.269,5.65,5.0,5.0,1000930.74
1638921600000,5.007,5.1,4.521,4.809,782015.64
1639008000000,4.809,5.896,4.651,5.11,3618021.76
1639094400000,5.11,5.525,4.682,4.696,1764312.8
1639180800000,4.704,4.873,4.527,4.762,691186.93
1639267200000,4.773,5.172,4.649,4.76,545888.14
1639353600000,4.76,5.049,4.048,4.138,543808.19
1639440000000,4.139,4.293,3.871,4.015,363600.5
1639526400000,4.015,4.463,3.816,4.115,880812.92
1639612800000,4.115,4.286,3.957,3.961,347088.94
1639699200000,3.96,4.075,3.649,3.726,343042.17
1639785600000,3.725,3.825,3.695,3.753,185580.94
1639872000000,3.745,3.794,3.596,3.628,175752.08
1639958400000,3.628,4.0,3.36,3.801,957948.55
1640044800000,3.803,3.95,3.634,3.833,521636.58
1640131200000,3.826,3.926,3.653,3.759,312389.84
1640217600000,3.75,3.904,3.65,3.838,423793.28
1640304000000,3.843,3.904,3.761,3.793,253179.32
1640390400000,3.795,4.8,3.794,4.292,1509354.46
1640476800000,4.292,4.595,4.222,4.307,550249.35
1640563200000,4.304,4.528,4.243,4.312,438692.49
1640649600000,4.312,4.38,3.824,3.891,721194.39
1640736000000,3.891,3.915,3.619,3.653,276123.03
1640822400000,3.653,3.713,3.552,3.579,183042.62
1640908800000,3.57,3.866,3.465,3.496,333646.6
1640995200000,3.5,3.644,3.496,3.609,141255.96
1641081600000,3.607,3.634,3.53,3.564,159776.7
1641168000000,3.553,3.639,3.444,3.467,204374.1
1641254400000,3.467,3.486,3.334,3.363,179115.85
1641340800000,3.363,3.452,3.0,3.067,219002.96
1641427200000,3.065,3.384,2.961,3.064,852807.2
1641513600000,3.063,3.09,2.836,2.889,290163.53
1641600000000,2.891,2.952,2.751,2.815,194714.38
1641686400000,2.814,2.893,2.77,2.823,86126.47
1641772800000,2.821,2.831,2.58,2.704,193216.85
