timestamp,open,high,low,close,volume
1661472000000,1.306,1.35,1.16,1.164,2170791.1
1661558400000,1.164,1.167,1.11,1.139,782192.8
1661644800000,1.14,1.169,1.11,1.121,608500.6
1661731200000,1.12,1.176,1.119,1.171,471228.4
1661817600000,1.17,1.178,1.087,1.113,873830.7
1661904000000,1.115,1.16,1.102,1.109,627970.5
1661990400000,1.11,1.127,1.066,1.088,619373.9
1662076800000,1.088,1.12,1.054,1.069,668988.0
1662163200000,1.07,1.074,1.043,1.06,385389.8
1662249600000,1.06,1.06,1.006,1.048,827630.7
1662336000000,1.05,1.062,1.008,1.022,560456.8
1662422400000,1.022,1.112,1.01,1.047,1795575.4
1662508800000,1.047,1.092,1.018,1.066,1055037.9
1662595200000,1.066,1.122,1.04,1.08,1770896.9
1662681600000,1.081,1.535,1.078,1.208,7444392.7
1662768000000,1.209,1.24,1.15,1.19,1385507.0
1662854400000,1.192,1.225,1.132,1.16,1153935.9
1662940800000,1.161,1.227,1.136,1.163,1165048.1
1663027200000,1.164,1.178,1.05,1.051,1291275.7
1663113600000,1.051,1.091,1.045,1.082,633953.3
1663200000000,1.08,1.094,1.023,1.042,698934.4
1663286400000,1.042,1.059,1.015,1.036,772427.6
1663372800000,1.039,1.086,1.032,1.072,615774.7
1663459200000,1.074,1.074,0.99,0.997,645610.1
1663545600000,0.997,1.044,0.968,1.037,799609.2
1663632000000,1.041,1.049,0.972,0.979,802136.9
1663718400000,0.979,1.028,0.938,0.953,1054212.5
1663804800000,0.953,1.004,0.945,0.989,568659.6
1663891200000,0.988,1.013,0.949,0.995,613111.8
1663977600000,0.995,1.008,0.962,0.966,412177.1
1664064000000,0.967,0.985,0.951,0.957,534164.3
1664150400000,0.957,0.976,0.94,0.969,528721.8
1664236800000,0.968,1.009,0.945,0.957,817208.1
1664323200000,0.958,0.967,0.923,0.954,696237.5
1664409600000,0.953,0.966,0.936,0.963,548769.7
1664496000000,0.963,0.975,0.934,0.949,501541.3
1664582400000,0.949,0.953,0.934,0.94,217909.1
1664668800000,0.939,0.94,0.898,0.908,479742.3
1664755200000,0.907,0.939,0.899,0.931,283325.6
1664841600000,0.93,0.982,0.921,0.956,546014.4
1664928000000,0.956,0.958,0.91,0.927,425837.8
1665014400000,0.927,1.017,0.927,0.943,1158435.9
1665100800000,0.945,0.953,0.926,0.935,419781.4
1665187200000,0.935,0.944,0.921,0.929,145297.7
1665273600000,0.928,0.929,0.913,0.921,146780.2
1665360000000,0.922,0.926,0.892,0.899,286881.4
1665446400000,0.899,0.899,0.861,0.868,397223.7
1665532800000,0.873,0.885,0.866,0.879,129978.6
1665619200000,0.876,0.913,0.831,0.887,1037820.2
1665705600000,0.887,0.924,0.885,0.898,552358.7
1665792000000,0.898,0.94,0.895,0.93,349035.1
1665878400000,0.931,0.966,0.919,0.942,527666.1
1665964800000,0.945,0.949,0.922,0.931,328856.1
1666051200000,0.933,0.936,0.874,0.898,568791.0
1666137600000,0.898,0.899,0.857,0.859,266163.0
1666224000000,0.859,0.881,0.848,0.869,410868.1
1666310400000,0.87,0.881,0.83,0.873,618560.5
1666396800000,0.873,0.885,0.862,0.879,246525.7
1666483200000,0.879,0.88,0.862,0.877,160301.2
1666569600000,0.878,0.88,0.842,0.854,267299.4
1666656000000,0.852,0.927,0.84,0.883,668547.7
1666742400000,0.884,0.918,0.882,0.907,380742.0
1666828800000,0.907,0.925,0.87,0.902,555795.0
1666915200000,0.901,0.974,0.892,0.943,840324.3
1667001600000,0.943,0.963,0.933,0.94,440926.4
1667088000000,0.94,0.949,0.916,0.923,459882.9
1667174400000,0.924,0.931,0.895,0.91,360780.2
1667260800000,0.909,0.918,0.9,0.914,173649.2
1667347200000,0.915,0.917,0.87,0.883,365098.5
1667433600000,0.883,0.938,0.881,0.925,702645.1
1667520000000,0.926,0.988,0.921,0.977,853458.3
1667606400000,0.977,1.006,0.967,0.976,572217.6
1667692800000,0.978,0.981,0.92,0.929,419121.2
1667779200000,0.928,0.948,0.916,0.933,471889.1
1667865600000,0.935,0.94,0.717,0.787,4444290.5
1667952000000,0.786,0.887,0.65,0.66,2842051.0
1668038400000,0.66,0.797,0.657,0.758,1022453.4
1668124800000,0.756,0.778,0.663,0.693,1444110.3
1668211200000,0.692,0.696,0.656,0.674,412951.0
1668297600000,0.673,0.727,0.64,0.654,808596.0
1668384000000,0.655,0.657,0.535,0.616,1475055.3
1668470400000,0.614,0.662,0.614,0.642,465859.1
1668556800000,0.64,1.62,0.638,0.844,30825758.9
1668643200000,0.84,0.96,0.751,0.854,10585383.7
1668729600000,0.854,0.92,0.7,0.734,3536845.0
1668816000000,0.731,0.767,0.709,0.72,2241802.2
1668902400000,0.72,0.723,0.662,0.665,2399820.5
1668988800000,0.668,0.671,0.572,0.612,2352718.9
1669075200000,0.612,0.85,0.58,0.704,7187472.0
1669161600000,0.703,0.749,0.66,0.694,2884785.0
1669248000000,0.695,0.72,0.644,0.667,1880896.9
1669334400000,0.666,0.767,0.647,0.691,2355306.0
1669420800000,0.692,0.947,0.687,0.811,13401397.9
1669507200000,0.813,0.82,0.733,0.765,2318734.1
1669593600000,0.765,0.87,0.729,0.785,4410832.1
1669680000000,0.784,0.85,0.763,0.777,2221835.6
1669766400000,0.778,0.829,0.773,0.806,2006652.0
1669852800000,0.808,0.846,0.789,0.805,1363720.8
1669939200000,0.806,0.868,0.806,0.847,1435042.2
1670025600000,0.848,0.862,0.811,0.816,890900.6
1670112000000,0.817,0.86,0.814,0.83,779701.0
1670198400000,0.83,0.859,0.798,0.808,1174409.6
1670284800000,0.809,0.821,0.78,0.801,730977.6
1670371200000,0.802,0.84,0.765,0.783,2171019.5
1670457600000,0.786,0.827,0.765,0.792,1030595.2
1670544000000,0.791,0.833,0.784,0.79,1394342.6
1670630400000,0.791,0.85,0.778,0.795,1491787.6
1670716800000,0.794,0.819,0.771,0.781,828767.1
1670803200000,0.782,0.782,0.724,0.727,943446.7
1670889600000,0.727,0.735,0.674,0.728,1006785.6
1670976000000,0.727,0.734,0.703,0.709,457267.1
1671062400000,0.709,0.712,0.678,0.681,800799.5
1671148800000,0.681,0.683,0.595,0.61,1019772.0
1671235200000,0.609,0.643,0.593,0.624,670091.9
1671321600000,0.624,0.64,0.606,0.615,401060.8
1671408000000,0.615,0.619,0.591,0.595,420177.1
1671494400000,0.595,0.738,0.589,0.656,4685645.7
1671580800000,0.656,0.67,0.617,0.624,1452346.8
1671667200000,0.625,0.659,0.609,0.63,769931.0
1671753600000,0.63,0.646,0.622,0.633,412860.9
1671840000000,0.634,0.66,0.63,0.635,325495.3
1671926400000,0.635,0.641,0.615,0.621,190147.2
1672012800000,0.621,0.655,0.617,0.643,353511.6
1672099200000,0.644,0.659,0.63,0.639,658350.9
1672185600000,0.64,0.64,0.607,0.615,367581.7
1672272000000,0.616,0.7,0.59,0.611,1178767.8
1672358400000,0.612,0.638,0.601,0.605,518708.5
1672444800000,0.606,0.616,0.596,0.605,157676.4
1672531200000,0.604,0.627,0.596,0.617,300716.3
1672617600000,0.617,0.638,0.604,0.615,342866.4
1672704000000,0.615,0.625,0.612,0.618,305495.2
1672790400000,0.618,0.688,0.616,0.65,1345380.9
1672876800000,0.65,0.654,0.628,0.635,543303.8
1672963200000,0.635,0.655,0.613,0.639,953076.9
1673049600000,0.639,0.647,0.632,0.635,247984.8
1673136000000,0.635,0.65,0.629,0.65,370997.7
1673222400000,0.65,0.7,0.648,0.67,1480576.9
1673308800000,0.67,0.8,0.667,0.722,3750602.5
1673395200000,0.721,0.73,0.688,0.713,896433.5
1673481600000,0.713,0.765,0.703,0.745,1199095.2
1673568000000,0.746,0.8,0.721,0.762,1156901.4
1673654400000,0.763,0.8,0.752,0.783,1136580.6
1673740800000,0.784,0.786,0.754,0.775,494911.4
1673827200000,0.774,0.797,0.757,0.775,793503.3
1673913600000,0.778,0.808,0.757,0.787,645387.4
1674000000000,0.788,0.796,0.713,0.717,990511.8
1674086400000,0.718,0.78,0.715,0.755,525165.7
1674172800000,0.755,0.8,0.738,0.791,749464.3
1674259200000,0.791,0.815,0.78,0.789,761500.9
1674345600000,0.789,0.832,0.761,0.791,1069876.9
1674432000000,0.79,0.82,0.785,0.817,1079554.7
1674518400000,0.817,0.834,0.759,0.768,1073714.6
1674604800000,0.766,0.81,0.743,0.798,881313.0
1674691200000,0.798,0.822,0.785,0.79,946828.0
1674777600000,0.789,0.82,0.769,0.801,950525.3
1674864000000,0.8,0.835,0.775,0.781,1007748.1
1674950400000,0.78,0.826,0.775,0.808,998922.4
1675036800000,0.808,0.814,0.724,0.748,1310217.9
1675123200000,0.747,0.771,0.74,0.753,815261.8
1675209600000,0.753,0.786,0.728,0.779,1137402.6
1675296000000,0.779,0.823,0.775,0.784,1251206.8
1675382400000,0.784,0.804,0.755,0.783,1123607.9
1675468800000,0.782,0.846,0.781,0.803,1142679.0
1675555200000,0.802,0.816,0.759,0.778,1109659.4
1675641600000,0.779,0.81,0.756,0.758,1168744.9
1675728000000,0.756,0.81,0.756,0.805,1259479.7
1675814400000,0.805,0.898,0.798,0.857,3393825.8
1675900800000,0.857,0.999,0.75,0.754,7896454.0
1675987200000,0.753,0.783,0.723,0.744,2626595.5
1676073600000,0.744,0.78,0.73,0.763,1235648.6
1676160000000,0.762,0.844,0.757,0.772,2288927.3
1676246400000,0.772,0.777,0.711,0.739,1876894.7
1676332800000,0.739,0.765,0.715,0.756,1536909.4
1676419200000,0.757,0.83,0.748,0.803,2333745.3
1676505600000,0.803,0.858,0.769,0.772,3423504.0
1676592000000,0.772,0.833,0.756,0.822,2834617.1
1676678400000,0.823,0.831,0.801,0.824,1661861.1
1676764800000,0.825,0.85,0.797,0.803,1965704.6
1676851200000,0.803,0.894,0.788,0.85,2909767.0
1676937600000,0.85,0.899,0.795,0.813,2421148.0
1677024000000,0.814,0.838,0.776,0.827,1693740.8
1677110400000,0.826,0.861,0.804,0.816,1431941.1
1677196800000,0.814,0.825,0.765,0.788,1169775.7
1677283200000,0.788,0.857,0.774,0.819,2429506.0
1677369600000,0.82,0.893,0.808,0.864,2315289.0
1677456000000,0.864,0.925,0.84,0.858,3748179.0
1677542400000,0.86,0.861,0.821,0.826,1127998.8
1677628800000,0.825,0.888,0.821,0.871,2422481.3
1677715200000,0.871,0.919,0.826,0.846,1685394.6
1677801600000,0.846,0.849,0.773,0.785,1176071.1
1677888000000,0.785,0.786,0.732,0.742,819639.1
1677974400000,0.743,0.786,0.735,0.764,1041244.3
1678060800000,0.765,0.765,0.73,0.746,983118.5
1678147200000,0.745,0.752,0.703,0.724,1263661.8
1678233600000,0.726,0.734,0.677,0.679,955396.5
1678320000000,0.68,0.707,0.622,0.65,1459392.0
1678406400000,0.649,0.65,0.592,0.618,1606833.7
1678492800000,0.618,0.636,0.585,0.619,1693954.4
1678579200000,0.617,0.655,0.611,0.655,765167.8
1678665600000,0.654,0.707,0.638,0.684,1600001.3
1678752000000,0.683,0.73,0.65,0.699,1813611.9
