timestamp,open,high,low,close,volume
1599696000000,10.0,10.491,8.986,9.401,4737.2
1599782400000,9.456,10.541,8.289,9.764,8355.38
1599868800000,9.815,9.815,8.809,9.31,8136.42
1599955200000,9.224,9.375,6.848,7.757,15787.82
1600041600000,7.828,8.5,7.39,7.749,22784.84
1600128000000,7.758,7.758,5.81,6.058,19241.86
1600214400000,6.01,7.112,5.238,5.339,53262.29
1600300800000,5.34,6.141,5.33,6.001,35750.05
1600387200000,6.071,6.733,5.802,6.141,31753.77
1600473600000,6.236,6.27,5.474,5.508,18533.47
1600560000000,5.3,5.501,4.865,5.091,33524.89
1600646400000,5.093,5.313,4.08,4.154,29962.05
1600732800000,4.132,4.415,4.103,4.222,14010.47
1600819200000,4.257,4.732,4.11,4.209,15917.17
1600905600000,4.15,4.871,4.025,4.835,22367.97
1600992000000,4.828,5.305,4.479,5.126,12896.6
1601078400000,5.211,5.98,5.12,5.229,54055.79
1601164800000,5.24,5.359,4.665,4.93,20970.39
1601251200000,4.996,5.184,4.79,4.84,21401.06
1601337600000,4.823,4.86,4.471,4.852,6920.4
1601424000000,4.78,4.93,4.564,4.715,18759.83
1601510400000,4.775,5.019,4.262,4.569,14113.88
1601596800000,4.558,4.749,3.8,4.655,23682.41
1601683200000,4.628,5.737,4.627,5.176,100961.68
1601769600000,5.166,5.292,4.633,4.828,33135.32
1601856000000,4.991,5.04,4.657,4.864,10038.2
1601942400000,4.894,4.91,4.393,4.488,8750.26
1602028800000,4.382,4.532,4.25,4.462,4842.46
1602115200000,4.418,4.677,4.25,4.529,25314.4
1602201600000,4.555,4.876,4.496,4.853,5402.32
1602288000000,4.787,5.299,4.787,4.872,16751.76
1602374400000,4.828,5.0,4.7,4.865,5082.74
1602460800000,4.899,5.409,4.6,5.132,93454.83
1602547200000,5.115,5.193,4.909,4.993,13017.94
1602633600000,4.993,5.152,4.757,4.955,3863.13
1602720000000,4.946,4.989,4.8,4.863,4100.26
1602806400000,4.897,4.898,4.45,4.476,86671.56
1602892800000,4.48,4.67,4.468,4.507,4507.27
1602979200000,4.533,4.681,4.5,4.585,2699.95
1603065600000,4.615,4.71,4.48,4.611,7500.38
1603152000000,4.6,6.38,4.28,4.346,274083.59
1603238400000,4.32,5.389,4.288,4.826,79485.64
1603324800000,4.896,5.325,4.884,5.013,51061.21
1603411200000,5.047,5.084,4.52,4.836,27812.03
1603497600000,4.839,5.2,4.745,5.017,19662.95
1603584000000,5.008,5.172,4.763,4.993,9706.99
1603670400000,5.015,5.3,4.56,4.832,32441.07
1603756800000,4.812,5.048,4.8,4.967,10625.41
1603843200000,5.038,5.204,4.722,4.887,10170.86
1603929600000,4.967,5.142,4.564,4.664,17591.67
1604016000000,4.635,4.7,3.845,4.037,56078.4
1604102400000,3.982,4.41,3.96,4.055,43239.42
1604188800000,4.071,4.141,3.94,4.04,16777.39
1604275200000,4.073,4.095,3.604,3.634,68477.79
1604361600000,3.597,3.635,3.219,3.618,35551.62
1604448000000,3.62,3.62,3.389,3.548,10214.8
1604534400000,3.592,3.815,3.491,3.781,15559.51
1604620800000,3.773,4.157,3.77,4.154,16862.05
1604707200000,4.156,4.341,3.619,3.768,32091.81
1604793600000,3.734,4.004,3.669,3.872,8273.12
1604880000000,3.922,3.98,3.687,3.736,3860.85
1604966400000,3.675,3.883,3.675,3.764,15141.53
1605052800000,3.8,3.883,3.753,3.777,4322.45
1605139200000,3.756,3.818,3.712,3.772,6835.34
1605225600000,3.799,3.932,3.714,3.88,8086.25
1605312000000,3.89,3.903,3.779,3.784,3349.46
1605398400000,3.819,4.04,3.757,3.763,17387.11
1605484800000,3.873,4.026,3.83,3.904,21458.41
1605571200000,3.931,4.289,3.931,4.235,39883.61
1605657600000,4.228,4.341,3.711,4.32,28604.55
1605744000000,4.32,4.325,3.86,3.975,8465.39
1605830400000,4.022,4.26,4.022,4.154,15837.77
1605916800000,4.15,5.672,4.09,5.593,230734.81
1606003200000,5.66,5.755,4.221,4.819,137206.26
1606089600000,4.832,6.202,4.62,6.166,277872.88
1606176000000,6.143,10.989,5.82,7.593,988528.7
1606262400000,7.66,8.89,5.49,6.34,447454.98
1606348800000,6.28,6.779,3.3,3.991,894278.84
1606435200000,4.001,4.194,3.569,3.94,364017.04
1606521600000,3.953,4.66,3.741,4.331,304037.0
1606608000000,4.37,4.693,4.021,4.479,115177.51
1606694400000,4.484,5.588,4.216,5.224,317685.92
1606780800000,5.269,6.108,3.7,4.123,695953.77
1606867200000,4.141,4.565,3.928,4.48,160061.82
1606953600000,4.515,4.777,4.343,4.66,63088.99
1607040000000,4.656,4.685,3.689,3.822,168747.19
1607126400000,3.815,4.259,3.736,4.235,51347.23
1607212800000,4.263,4.425,4.058,4.378,25485.43
1607299200000,4.378,4.378,3.957,4.12,38115.52
1607385600000,4.084,4.086,2.971,3.098,175641.49
1607472000000,3.09,3.447,2.788,3.4,136473.1
1607558400000,3.402,3.427,3.045,3.17,55456.8
1607644800000,3.195,3.218,2.92,3.056,66912.02
1607731200000,3.064,3.415,3.021,3.335,48796.71
1607817600000,3.34,3.73,3.301,3.572,56407.12
1607904000000,3.553,3.569,3.337,3.52,31341.7
1607990400000,3.521,3.65,3.368,3.535,42212.07
1608076800000,3.547,4.341,3.413,4.341,76868.88
1608163200000,4.4,4.746,3.85,4.056,156820.5
1608249600000,4.09,4.317,3.823,4.2,40457.14
1608336000000,4.201,4.548,4.108,4.242,68092.52
1608422400000,4.232,4.778,3.947,4.296,405481.01
1608508800000,4.258,4.448,3.62,3.697,120969.94
1608595200000,3.684,3.777,3.26,3.513,385820.6
1608681600000,3.505,3.552,1.87,2.193,197793.58
1608768000000,2.18,2.983,2.021,2.966,227404.59
1608854400000,2.991,3.441,2.8,3.19,148985.3
1608940800000,3.197,3.219,2.842,2.945,98821.12
1609027200000,2.985,3.897,2.695,3.222,542108.5
1609113600000,3.242,3.729,3.16,3.464,546752.5
1609200000000,3.463,3.675,2.429,2.812,497732.79
1609286400000,2.823,2.85,2.383,2.551,159653.12
1609372800000,2.556,2.582,2.265,2.494,132525.67
1609459200000,2.501,2.676,2.408,2.51,189361.74
1609545600000,2.512,2.85,2.428,2.628,169707.71
1609632000000,2.67,3.488,2.448,3.312,475102.55
1609718400000,3.33,4.142,2.462,3.594,1247139.32
1609804800000,3.591,3.67,2.507,2.904,1106913.12
1609891200000,2.91,3.547,2.75,3.367,714342.9
1609977600000,3.423,4.157,3.288,3.594,1004148.85
1610064000000,3.595,3.66,3.068,3.476,473166.48
1610150400000,3.504,4.698,3.279,4.273,639591.1
1610236800000,4.28,4.95,3.055,3.585,1111964.98
1610323200000,3.571,3.585,1.988,2.459,1447870.97
1610409600000,2.449,2.792,2.22,2.38,420002.09
1610496000000,2.378,2.88,2.176,2.861,249993.5
1610582400000,2.888,3.03,2.53,2.72,509794.87
1610668800000,2.73,3.03,2.296,2.631,801900.58
1610755200000,2.631,2.971,2.557,2.702,635453.29
1610841600000,2.7,2.85,2.49,2.705,380179.11
1610928000000,2.744,3.225,2.6,3.061,573338.47
1611014400000,3.051,3.235,2.785,2.8,513025.42
1611100800000,2.791,2.908,2.44,2.754,521003.41
1611187200000,2.77,2.775,2.06,2.065,386397.45
1611273600000,2.071,2.34,1.809,2.27,471640.59
1611360000000,2.272,2.45,2.167,2.41,298649.3
1611446400000,2.41,2.684,2.357,2.541,1442020.53
1611532800000,2.538,3.123,2.405,2.421,713895.19
1611619200000,2.404,2.513,2.174,2.397,228403.56
1611705600000,2.396,2.396,1.984,2.129,309758.62
1611792000000,2.165,2.463,2.062,2.404,529577.86
1611878400000,2.379,5.131,2.351,2.622,7224525.23
