timestamp,open,high,low,close,volume
1661472000000,17.29,17.5,15.16,15.37,193349.63
1661558400000,15.44,16.38,14.73,15.17,165189.04
1661644800000,15.18,15.88,14.8,14.91,107254.47
1661731200000,14.91,15.59,14.66,15.54,116153.28
1661817600000,15.58,16.84,15.13,15.74,367770.72
1661904000000,15.74,16.29,15.29,15.33,137432.41
1661990400000,15.32,17.5,15.18,16.02,340940.54
1662076800000,16.03,16.51,15.55,16.37,102591.17
1662163200000,16.37,16.6,15.56,15.91,67413.12
1662249600000,15.89,16.31,15.7,16.16,44853.14
1662336000000,16.16,16.45,15.7,16.15,41107.03
1662422400000,16.15,16.49,15.28,15.52,75737.85
1662508800000,15.48,16.48,14.82,15.89,66360.01
1662595200000,15.89,17.0,15.69,16.1,87886.87
1662681600000,16.1,17.6,16.1,17.08,100287.84
1662768000000,17.08,17.45,16.64,17.0,53188.55
1662854400000,17.0,17.85,16.69,17.41,73677.87
1662940800000,17.43,17.65,16.63,17.08,57528.92
1663027200000,17.11,17.18,15.77,15.82,41940.15
1663113600000,15.83,16.92,15.61,16.22,53004.85
1663200000000,16.22,16.53,15.36,15.51,26217.42
1663286400000,15.52,15.74,15.16,15.45,18059.36
1663372800000,15.48,16.17,15.47,16.05,21671.41
1663459200000,16.03,16.07,14.89,15.05,24640.0
1663545600000,14.97,16.78,14.5,15.63,99161.92
1663632000000,15.65,16.29,14.84,15.05,79309.12
1663718400000,15.02,15.45,14.16,14.44,43695.06
1663804800000,14.42,15.12,14.38,14.95,21478.53
1663891200000,14.92,15.23,14.37,14.79,28121.68
1663977600000,14.79,14.97,14.61,14.63,18100.3
1664064000000,14.67,14.9,14.5,14.68,12640.0
1664150400000,14.67,14.9,14.3,14.52,28801.35
1664236800000,14.58,15.0,14.17,14.4,30067.37
1664323200000,14.4,15.53,14.15,14.83,74692.62
1664409600000,14.84,15.04,14.5,15.02,30481.55
1664496000000,15.02,15.22,14.55,14.69,27506.47
1664582400000,14.68,16.31,14.63,15.33,125225.93
1664668800000,15.37,16.21,15.16,15.31,83837.53
1664755200000,15.29,15.97,15.06,15.82,28346.03
1664841600000,15.82,16.21,15.59,15.66,28237.27
1664928000000,15.66,16.01,15.12,15.55,50531.66
1665014400000,15.54,16.67,15.49,16.25,82733.49
1665100800000,16.25,17.96,16.13,16.68,261371.48
1665187200000,16.68,16.94,15.91,16.03,49353.29
1665273600000,16.03,16.5,15.86,16.4,14732.23
1665360000000,16.37,17.54,16.18,16.5,71566.99
1665446400000,16.48,16.95,15.59,16.56,51908.29
1665532800000,16.57,16.64,16.02,16.37,22947.82
1665619200000,16.39,16.44,15.2,16.18,36615.61
1665705600000,16.16,16.58,15.65,15.78,17809.71
1665792000000,15.75,16.19,15.61,16.1,9623.34
1665878400000,16.1,16.7,16.03,16.41,21935.4
1665964800000,16.39,16.8,16.16,16.75,15771.86
1666051200000,16.74,16.74,15.84,16.08,16019.21
1666137600000,16.1,16.11,15.5,15.59,13611.84
1666224000000,15.57,15.76,15.3,15.39,10076.18
1666310400000,15.39,15.62,15.01,15.51,8878.09
1666396800000,15.55,17.27,15.39,15.89,139175.61
1666483200000,15.89,16.25,15.6,16.18,21302.1
1666569600000,16.22,16.46,16.03,16.13,17639.23
1666656000000,16.11,16.95,16.05,16.42,26208.14
1666742400000,16.42,17.54,16.36,17.09,38577.09
1666828800000,17.1,17.77,16.83,16.94,30579.58
1666915200000,16.94,17.69,16.64,17.13,19765.24
1667001600000,17.12,17.6,16.87,17.0,14006.26
1667088000000,16.99,17.18,16.7,17.01,8766.04
1667174400000,17.02,17.9,16.8,17.47,32008.2
1667260800000,17.44,17.72,16.92,16.93,17103.98
1667347200000,16.97,17.23,16.28,16.31,19306.27
1667433600000,16.31,17.19,16.31,16.91,15409.07
1667520000000,16.9,18.0,16.6,17.98,25626.88
1667606400000,17.97,18.1,17.52,17.57,13697.93
1667692800000,17.63,17.73,16.46,16.61,32078.44
1667779200000,16.6,17.09,16.37,16.72,16429.31
1667865600000,16.73,16.84,13.37,14.24,56899.49
1667952000000,14.28,14.31,10.0,10.1,81871.28
1668038400000,10.1,12.54,10.01,12.16,62955.29
1668124800000,12.14,12.35,10.56,11.01,50436.42
1668211200000,11.03,11.06,10.24,10.93,36751.44
1668297600000,10.93,11.27,10.13,10.19,55603.05
1668384000000,10.21,10.94,9.21,10.08,154851.96
