timestamp,open,high,low,close,volume
1712102400000,0.05,1.86,0.05,1.31,382732824.6
1712188800000,1.309,1.397,1.02,1.075,212565495.7
1712275200000,1.075,1.087,0.912,0.971,144274193.3
1712361600000,0.97,1.171,0.928,1.057,146043454.9
1712448000000,1.057,1.09,0.984,1.008,76156187.4
1712534400000,1.008,1.049,0.969,0.992,96478599.7
1712620800000,0.991,1.003,0.834,0.846,132787853.5
1712707200000,0.846,0.88,0.783,0.838,102692290.4
1712793600000,0.838,0.84,0.751,0.779,89006571.4
1712880000000,0.779,0.815,0.508,0.604,162990238.9
1712966400000,0.604,0.642,0.452,0.542,113344821.3
1713052800000,0.542,0.723,0.526,0.711,124990267.0
1713139200000,0.711,0.712,0.606,0.656,86406130.2
1713225600000,0.656,0.657,0.565,0.611,55151748.1
1713312000000,0.61,0.628,0.539,0.566,44700474.2
1713398400000,0.566,0.605,0.537,0.593,50871219.2
1713484800000,0.593,0.625,0.532,0.589,80899304.2
1713571200000,0.589,0.667,0.572,0.657,52233055.9
1713657600000,0.656,0.677,0.6,0.613,46588536.1
1713744000000,0.613,0.682,0.61,0.642,53965081.1
1713830400000,0.641,0.659,0.586,0.593,55901403.1
1713916800000,0.593,0.61,0.537,0.546,42321920.1
1714003200000,0.545,0.674,0.525,0.656,109390635.3
1714089600000,0.656,0.66,0.582,0.586,58154521.6
1714176000000,0.587,0.624,0.548,0.619,41159599.6
1714262400000,0.618,0.674,0.589,0.629,48063880.5
1714348800000,0.63,0.699,0.576,0.68,109568250.9
1714435200000,0.681,0.701,0.577,0.607,97519583.6
1714521600000,0.607,0.699,0.588,0.688,123819351.4
1714608000000,0.687,0.777,0.63,0.726,144265071.3
1714694400000,0.727,0.761,0.701,0.738,105134061.6
1714780800000,0.739,0.776,0.719,0.728,91357871.6
1714867200000,0.728,0.743,0.661,0.675,81292191.9
1714953600000,0.675,0.708,0.637,0.647,70561918.8
1715040000000,0.647,0.667,0.623,0.634,44911437.7
1715126400000,0.634,0.66,0.602,0.605,50385590.3
1715212800000,0.605,0.642,0.595,0.63,29992613.8
1715299200000,0.63,0.651,0.586,0.597,34894236.7
1715385600000,0.596,0.616,0.582,0.595,23278890.3
1715472000000,0.595,0.608,0.585,0.591,15188797.1
1715558400000,0.591,0.596,0.537,0.548,52716238.4
1715644800000,0.548,0.553,0.513,0.528,77711530.6
1715731200000,0.528,0.578,0.522,0.57,35854291.8
1715817600000,0.57,0.583,0.522,0.538,31583395.6
1715904000000,0.537,0.57,0.532,0.555,18639812.0
1715990400000,0.554,0.572,0.542,0.56,19050598.9
1716076800000,0.56,0.571,0.526,0.531,13021075.5
1716163200000,0.531,0.574,0.51,0.573,32582559.5
1716249600000,0.573,0.59,0.558,0.582,41117204.4
1716336000000,0.582,0.587,0.546,0.576,25964441.9
1716422400000,0.576,0.598,0.516,0.556,49757984.2
1716508800000,0.556,0.581,0.546,0.561,22392647.4
1716595200000,0.561,0.609,0.557,0.574,33035625.5
1716681600000,0.575,0.587,0.555,0.562,24987842.3
1716768000000,0.561,0.645,0.561,0.633,76440074.7
1716854400000,0.633,0.638,0.571,0.593,50427325.8
1716940800000,0.593,0.626,0.576,0.58,44336766.4
1717027200000,0.58,0.603,0.56,0.565,33152573.2
1717113600000,0.564,0.602,0.557,0.588,34148606.6
1717200000000,0.588,0.609,0.579,0.597,20791911.8
1717286400000,0.597,0.678,0.593,0.632,101890716.8
1717372800000,0.633,0.668,0.618,0.667,54909569.6
1717459200000,0.667,0.7,0.632,0.64,56379950.3
1717545600000,0.641,0.653,0.613,0.622,44688339.9
1717632000000,0.622,0.698,0.612,0.693,89467226.0
