timestamp,open,high,low,close,volume
1726876800000,0.5213,0.5226,0.5034,0.5044,1131550.0
1726877100000,0.5044,0.5054,0.4941,0.502,658274.0
1726877400000,0.5021,0.5345,0.501,0.5324,1070132.0
1726877700000,0.5323,0.536,0.4943,0.5049,1007902.0
1726878000000,0.5054,0.5077,0.4992,0.5021,290890.0
1726878300000,0.5024,0.5043,0.4873,0.4883,382159.0
1726878600000,0.4885,0.499,0.4866,0.4924,564019.0
1726878900000,0.4918,0.4928,0.4863,0.4897,193007.0
1726879200000,0.4896,0.4942,0.4877,0.4913,224493.0
1726879500000,0.4911,0.4911,0.4776,0.4784,288730.0
1726879800000,0.478,0.4795,0.4707,0.4744,302593.0
1726880100000,0.4747,0.4781,0.4732,0.4744,118030.0
1726880400000,0.4744,0.4759,0.4663,0.4749,423785.0
1726880700000,0.4752,0.4842,0.4737,0.4836,222803.0
1726881000000,0.4839,0.486,0.4754,0.4776,231108.0
1726881300000,0.4776,0.4866,0.4776,0.4814,195601.0
1726881600000,0.4813,0.4849,0.4793,0.4823,120048.0
1726881900000,0.4823,0.4838,0.4763,0.4791,148445.0
1726882200000,0.4794,0.4844,0.4792,0.4799,68728.0
1726882500000,0.4796,0.48,0.4761,0.4792,85330.0
1726882800000,0.4791,0.4791,0.4701,0.4705,143707.0
1726883100000,0.4707,0.475,0.469,0.4734,108011.0
1726883400000,0.4734,0.4747,0.4701,0.4718,57180.0
1726883700000,0.4715,0.4742,0.4704,0.474,96551.0
1726884000000,0.474,0.4802,0.4728,0.4798,87737.0
1726884300000,0.4797,0.4823,0.4778,0.4813,130057.0
1726884600000,0.4814,0.4819,0.474,0.4757,94876.0
1726884900000,0.4758,0.4759,0.4577,0.462,243947.0
1726885200000,0.4622,0.4667,0.4602,0.4637,162821.0
1726885500000,0.464,0.4661,0.4601,0.4633,77689.0
1726885800000,0.4632,0.4666,0.4618,0.4659,127955.0
1726886100000,0.4659,0.4688,0.4647,0.4667,103061.0
1726886400000,0.4671,0.4671,0.4629,0.4641,66780.0
1726886700000,0.4644,0.4687,0.4638,0.4661,177966.0
1726887000000,0.4667,0.4685,0.4645,0.4665,62454.0
1726887300000,0.466,0.4717,0.4654,0.4713,46635.0
1726887600000,0.4712,0.4735,0.4703,0.4722,119316.0
1726887900000,0.472,0.473,0.4651,0.4657,99068.0
1726888200000,0.4658,0.4671,0.4649,0.4651,66459.0
1726888500000,0.4652,0.4664,0.4567,0.4567,158420.0
1726888800000,0.4572,0.4595,0.4541,0.4593,142142.0
1726889100000,0.459,0.4616,0.4566,0.4601,131539.0
1726889400000,0.4601,0.4617,0.4577,0.4586,58913.0
1726889700000,0.4585,0.4608,0.4576,0.4593,56338.0
1726890000000,0.4597,0.4642,0.4595,0.4613,83702.0
1726890300000,0.4612,0.4642,0.4612,0.4621,40615.0
1726890600000,0.4619,0.4622,0.4587,0.4614,66607.0
1726890900000,0.4611,0.4643,0.4606,0.4636,52279.0
1726891200000,0.4638,0.4643,0.4616,0.4634,45931.0
1726891500000,0.4635,0.4656,0.4617,0.4622,111417.0
1726891800000,0.4622,0.4623,0.4573,0.4584,171316.0
1726892100000,0.4584,0.4595,0.4547,0.4585,105123.0
1726892400000,0.4582,0.4588,0.4543,0.4553,104734.0
1726892700000,0.455,0.4565,0.4545,0.4551,69494.0
1726893000000,0.455,0.4551,0.444,0.4479,503166.0
1726893300000,0.4478,0.4513,0.4464,0.4505,94079.0
1726893600000,0.4504,0.4512,0.4493,0.4512,96260.0
1726893900000,0.4511,0.4549,0.4508,0.454,90912.0
1726894200000,0.4541,0.4632,0.4535,0.4621,229740.0
1726894500000,0.4622,0.4774,0.4612,0.4772,441567.0
1726894800000,0.477,0.4809,0.4687,0.4718,504453.0
1726895100000,0.4717,0.4856,0.471,0.4808,303535.0
1726895400000,0.4808,0.494,0.4784,0.4926,582703.0
1726895700000,0.4924,0.497,0.474,0.4756,673575.0
1726896000000,0.4757,0.4797,0.4702,0.4702,258202.0
1726896300000,0.4707,0.4736,0.468,0.4696,220564.0
1726896600000,0.4696,0.4734,0.4692,0.4721,115751.0
1726896900000,0.472,0.4749,0.4719,0.4736,82779.0
1726897200000,0.4735,0.4784,0.4735,0.4782,77704.0
1726897500000,0.478,0.4781,0.4696,0.4715,98809.0
1726897800000,0.4713,0.4713,0.4634,0.4655,194133.0
1726898100000,0.4655,0.4671,0.4624,0.4646,112778.0
1726898400000,0.4647,0.4687,0.4639,0.4641,122350.0
1726898700000,0.4643,0.4687,0.4636,0.4657,73441.0
1726899000000,0.4656,0.4674,0.4648,0.4658,36603.0
1726899300000,0.4658,0.4662,0.457,0.4591,219780.0
1726899600000,0.4594,0.4639,0.4584,0.4618,166930.0
1726899900000,0.4617,0.4621,0.4589,0.4607,131732.0
1726900200000,0.4611,0.4665,0.4611,0.4661,60839.0
1726900500000,0.466,0.466,0.4625,0.4634,39382.0
1726900800000,0.4638,0.4648,0.4626,0.4645,20292.0
1726901100000,0.4644,0.4644,0.4608,0.4614,56670.0
1726901400000,0.4615,0.4638,0.4605,0.4609,52734.0
1726901700000,0.4613,0.4614,0.4572,0.4581,80587.0
1726902000000,0.4586,0.4592,0.4543,0.4575,132566.0
1726902300000,0.4574,0.4597,0.4572,0.4576,96173.0
1726902600000,0.4577,0.4609,0.4572,0.4606,114672.0
1726902900000,0.4606,0.4626,0.4591,0.4603,127550.0
