timestamp,open,high,low,close,volume
1734825600000,3.93,3.93,3.885,3.895,27137.95
1734825900000,3.899,3.925,3.893,3.922,32118.15
1734826200000,3.923,3.955,3.922,3.931,21130.55
1734826500000,3.931,3.967,3.925,3.95,30858.31
1734826800000,3.95,3.966,3.933,3.966,13660.51
1734827100000,3.965,4.008,3.963,4.002,30738.64
1734827400000,4.002,4.012,3.973,3.983,41491.56
1734827700000,3.986,4.048,3.986,4.033,29700.22
1734828000000,4.035,4.074,4.035,4.068,52855.32
1734828300000,4.066,4.1,4.052,4.055,44665.15
1734828600000,4.058,4.07,4.03,4.046,34737.61
1734828900000,4.044,4.051,4.011,4.034,19921.33
1734829200000,4.035,4.035,3.985,4.019,29465.2
1734829500000,4.024,4.075,4.015,4.066,22032.19
1734829800000,4.065,4.074,4.036,4.059,17701.3
1734830100000,4.061,4.073,4.045,4.054,9368.55
1734830400000,4.055,4.078,4.033,4.043,24246.87
1734830700000,4.039,4.049,4.017,4.02,9612.36
1734831000000,4.019,4.021,3.967,3.971,36773.26
1734831300000,3.969,3.99,3.946,3.956,21007.88
1734831600000,3.957,3.971,3.936,3.959,34746.08
1734831900000,3.96,3.989,3.957,3.98,18049.15
1734832200000,3.98,4.001,3.975,3.993,23272.11
1734832500000,3.993,4.059,3.993,4.042,38979.82
1734832800000,4.042,4.086,4.026,4.067,40318.0
1734833100000,4.065,4.11,4.044,4.097,26967.05
1734833400000,4.097,4.098,4.026,4.034,29805.92
1734833700000,4.037,4.058,4.027,4.027,21698.4
1734834000000,4.028,4.031,3.994,4.009,20320.39
1734834300000,4.005,4.019,4.004,4.016,4602.47
1734834600000,4.02,4.032,4.001,4.004,16322.49
1734834900000,4.006,4.017,3.975,3.993,17553.75
1734835200000,3.99,4.02,3.99,4.01,7600.21
1734835500000,4.008,4.042,4.003,4.041,13394.79
1734835800000,4.042,4.091,4.027,4.05,41828.06
1734836100000,4.046,4.052,4.024,4.036,7142.25
1734836400000,4.036,4.038,3.992,3.992,14138.01
1734836700000,3.991,3.998,3.968,3.976,23647.26
1734837000000,3.972,4.001,3.971,3.994,6585.56
1734837300000,3.995,4.035,3.99,4.01,11487.5
1734837600000,4.01,4.054,4.006,4.048,17314.61
1734837900000,4.048,4.066,4.044,4.059,12873.63
1734838200000,4.055,4.059,4.019,4.033,17090.95
1734838500000,4.031,4.063,4.025,4.054,8579.86
1734838800000,4.051,4.051,4.027,4.04,8561.68
1734839100000,4.037,4.037,4.001,4.011,12368.92
1734839400000,4.012,4.048,4.003,4.048,13973.8
1734839700000,4.048,4.057,4.041,4.056,10372.92
1734840000000,4.055,4.071,4.046,4.046,18043.06
1734840300000,4.047,4.055,4.022,4.055,7246.39
1734840600000,4.055,4.055,4.02,4.026,18057.06
1734840900000,4.026,4.026,3.995,3.999,12605.31
1734841200000,3.997,4.002,3.985,3.986,14022.09
1734841500000,3.986,3.994,3.972,3.994,10813.84
1734841800000,3.994,4.007,3.936,3.939,35265.42
1734842100000,3.939,3.954,3.935,3.952,13330.82
1734842400000,3.951,3.956,3.929,3.93,17517.92
1734842700000,3.929,3.944,3.919,3.919,14849.87
1734843000000,3.922,3.93,3.912,3.914,13880.06
1734843300000,3.913,3.922,3.889,3.89,12839.44
1734843600000,3.891,3.92,3.889,3.91,13223.96
1734843900000,3.906,3.909,3.868,3.877,44778.03
1734844200000,3.877,3.894,3.857,3.865,39671.3
1734844500000,3.864,3.888,3.85,3.878,18830.14
1734844800000,3.875,3.884,3.852,3.881,11831.66
1734845100000,3.882,3.895,3.865,3.87,4601.76
1734845400000,3.872,3.885,3.864,3.871,7297.55
1734845700000,3.869,3.875,3.848,3.864,14678.83
1734846000000,3.867,3.881,3.839,3.842,22094.45
1734846300000,3.842,3.852,3.834,3.837,11883.91
1734846600000,3.838,3.895,3.838,3.887,19753.95
1734846900000,3.886,3.896,3.876,3.881,14224.04
1734847200000,3.882,3.885,3.852,3.854,16463.27
1734847500000,3.854,3.888,3.848,3.886,10884.87
1734847800000,3.886,3.947,3.886,3.943,35562.3
1734848100000,3.942,3.942,3.908,3.93,15181.89
1734848400000,3.929,3.964,3.907,3.964,12277.66
1734848700000,3.966,4.006,3.963,3.988,55942.9
1734849000000,3.986,3.987,3.958,3.969,13882.63
1734849300000,3.969,3.99,3.962,3.981,12789.07
1734849600000,3.988,3.997,3.967,3.987,16402.28
1734849900000,3.986,4.015,3.97,3.97,18590.83
1734850200000,3.975,3.999,3.974,3.993,11997.88
1734850500000,3.996,4.024,3.996,4.004,12782.04
1734850800000,4.004,4.027,3.991,4.008,13560.84
1734851100000,4.007,4.008,3.972,3.98,27106.68
1734851400000,3.979,3.99,3.964,3.982,14644.48
1734851700000,3.982,3.995,3.962,3.963,7339.48
1734852000000,3.962,3.962,3.949,3.956,8565.3
1734852300000,3.957,3.973,3.954,3.965,9523.01
1734852600000,3.964,3.969,3.944,3.945,8581.35
1734852900000,3.943,3.946,3.919,3.921,14636.72
1734853200000,3.922,3.938,3.92,3.927,4127.94
1734853500000,3.93,3.976,3.923,3.963,14266.48
1734853800000,3.963,3.977,3.953,3.964,12812.37
1734854100000,3.964,3.987,3.964,3.967,10626.46
1734854400000,3.967,4.015,3.96,4.01,18732.79
1734854700000,4.011,4.066,4.011,4.049,56033.51
1734855000000,4.048,4.079,4.046,4.052,32707.98
1734855300000,4.054,4.067,4.033,4.052,20949.9
1734855600000,4.054,4.055,4.022,4.026,19136.48
1734855900000,4.024,4.026,3.979,3.989,70487.06
1734856200000,3.989,4.025,3.989,4.025,14459.1
1734856500000,4.023,4.024,3.994,4.003,18542.0
1734856800000,4.001,4.009,3.974,4.008,22091.3
1734857100000,4.008,4.036,4.002,4.036,14212.74
1734857400000,4.029,4.06,4.029,4.034,38994.45
1734857700000,4.034,4.048,4.031,4.041,14263.14
1734858000000,4.04,4.05,4.022,4.026,18815.57
1734858300000,4.024,4.027,3.996,4.003,12680.27
1734858600000,4.002,4.019,3.972,3.977,30327.88
1734858900000,3.975,3.986,3.965,3.983,9977.01
1734859200000,3.981,3.997,3.976,3.991,11704.87
1734859500000,3.991,4.026,3.991,4.019,27671.77
1734859800000,4.019,4.044,4.018,4.031,17130.41
1734860100000,4.03,4.054,4.029,4.05,17621.15
1734860400000,4.051,4.079,4.051,4.075,29757.99
