timestamp,open,high,low,close,volume
1755907200000,1.117,1.119,1.1,1.112,157810.5
1755907500000,1.112,1.113,1.103,1.105,45960.3
1755907800000,1.103,1.104,1.096,1.101,61951.0
1755908100000,1.1,1.115,1.096,1.11,59792.3
1755908400000,1.109,1.112,1.101,1.101,36580.6
1755908700000,1.102,1.106,1.1,1.104,34493.5
1755909000000,1.103,1.118,1.101,1.116,84930.5
1755909300000,1.117,1.128,1.116,1.119,75051.2
1755909600000,1.122,1.124,1.103,1.103,39700.6
1755909900000,1.104,1.108,1.09,1.092,68981.9
1755910200000,1.093,1.094,1.082,1.082,118111.5
1755910500000,1.083,1.09,1.082,1.084,23309.6
1755910800000,1.085,1.09,1.08,1.09,19733.0
1755911100000,1.089,1.096,1.088,1.093,28581.4
1755911400000,1.095,1.096,1.089,1.09,14827.7
1755911700000,1.09,1.091,1.082,1.088,21046.3
1755912000000,1.089,1.091,1.083,1.085,16142.2
1755912300000,1.085,1.094,1.084,1.094,72007.1
1755912600000,1.094,1.096,1.082,1.085,33774.6
1755912900000,1.085,1.088,1.083,1.084,8855.6
1755913200000,1.084,1.086,1.078,1.081,29689.1
1755913500000,1.082,1.082,1.076,1.079,21685.9
1755913800000,1.078,1.088,1.078,1.084,14239.7
1755914100000,1.083,1.085,1.08,1.085,17033.3
1755914400000,1.085,1.085,1.077,1.077,30386.6
1755914700000,1.076,1.076,1.064,1.064,78127.0
1755915000000,1.066,1.068,1.063,1.064,56845.6
1755915300000,1.064,1.069,1.058,1.061,40963.2
1755915600000,1.062,1.065,1.059,1.064,16059.3
1755915900000,1.063,1.063,1.055,1.056,28822.9
1755916200000,1.057,1.057,1.05,1.05,29605.6
1755916500000,1.051,1.053,1.045,1.047,52107.4
1755916800000,1.046,1.053,1.045,1.05,19514.0
1755917100000,1.049,1.05,1.046,1.05,40897.1
1755917400000,1.049,1.085,1.049,1.083,311051.5
1755917700000,1.083,1.097,1.078,1.087,147601.1
1755918000000,1.086,1.09,1.078,1.078,46864.5
1755918300000,1.078,1.084,1.072,1.081,38046.9
1755918600000,1.082,1.092,1.076,1.086,60115.4
1755918900000,1.085,1.098,1.078,1.096,89034.9
1755919200000,1.095,1.102,1.091,1.102,53530.2
1755919500000,1.1,1.11,1.098,1.106,53594.6
1755919800000,1.108,1.108,1.088,1.094,52597.0
1755920100000,1.093,1.11,1.091,1.107,68459.6
1755920400000,1.105,1.109,1.102,1.108,22002.5
1755920700000,1.106,1.127,1.104,1.124,109220.6
1755921000000,1.124,1.144,1.117,1.137,206555.6
1755921300000,1.137,1.144,1.13,1.139,205596.3
1755921600000,1.139,1.142,1.116,1.127,141623.9
1755921900000,1.125,1.127,1.074,1.083,264525.7
1755922200000,1.081,1.093,1.078,1.09,92754.1
1755922500000,1.088,1.101,1.083,1.094,51430.6
1755922800000,1.094,1.103,1.092,1.103,48159.2
1755923100000,1.101,1.106,1.093,1.102,39280.2
1755923400000,1.1,1.11,1.097,1.109,66451.8
1755923700000,1.108,1.113,1.094,1.102,71534.3
1755924000000,1.101,1.102,1.092,1.096,27416.4
1755924300000,1.094,1.114,1.088,1.104,49318.3
1755924600000,1.103,1.109,1.099,1.104,21421.0
1755924900000,1.105,1.12,1.102,1.103,46876.1
1755925200000,1.103,1.108,1.099,1.105,20903.5
1755925500000,1.102,1.103,1.095,1.097,24545.7
1755925800000,1.097,1.103,1.097,1.099,20236.0
1755926100000,1.098,1.102,1.094,1.097,51023.6
1755926400000,1.098,1.107,1.093,1.102,67522.7
1755926700000,1.102,1.111,1.101,1.106,61873.6
1755927000000,1.105,1.107,1.095,1.098,71417.6
1755927300000,1.098,1.11,1.097,1.109,48068.6
1755927600000,1.108,1.108,1.098,1.099,22633.4
1755927900000,1.099,1.103,1.097,1.098,23192.4
1755928200000,1.1,1.1,1.094,1.099,16686.3
