timestamp,open,high,low,close,volume
1784419200000,0.1112,0.1118,0.109,0.1095,734254.7
1784419500000,0.1095,0.111,0.1075,0.1101,865824.8
1784419800000,0.1101,0.1101,0.1085,0.109,313702.1
1784420100000,0.1091,0.1106,0.1087,0.1101,283332.2
1784420400000,0.11,0.1116,0.1094,0.1094,469908.1
1784420700000,0.1095,0.1098,0.1082,0.1095,327926.5
1784421000000,0.1094,0.1105,0.1094,0.1096,231181.1
1784421300000,0.1097,0.111,0.1096,0.1107,134034.3
1784421600000,0.1107,0.1111,0.1087,0.1089,239914.7
1784421900000,0.1091,0.1098,0.1082,0.1087,263944.1
1784422200000,0.1087,0.1095,0.1086,0.109,137493.8
1784422500000,0.109,0.1107,0.1088,0.1105,261635.3
1784422800000,0.1105,0.1171,0.1105,0.112,2906529.3
1784423100000,0.1118,0.112,0.1095,0.1109,1138245.1
1784423400000,0.1108,0.1115,0.1102,0.1113,373902.0
1784423700000,0.1113,0.112,0.1096,0.1113,724654.0
1784424000000,0.1113,0.1153,0.1113,0.1149,1081065.9
1784424300000,0.1148,0.1192,0.1131,0.1138,1732105.5
1784424600000,0.1138,0.1163,0.1138,0.116,905253.2
1784424900000,0.1161,0.1164,0.114,0.1151,574652.2
1784425200000,0.1151,0.1154,0.1134,0.1138,460008.3
1784425500000,0.1139,0.1153,0.1128,0.1131,507681.7
1784425800000,0.1129,0.1129,0.1096,0.1107,1241430.5
1784426100000,0.1106,0.1107,0.1075,0.1088,940266.3
1784426400000,0.109,0.1111,0.1079,0.1102,755511.9
1784426700000,0.1103,0.1107,0.1085,0.1092,794344.6
1784427000000,0.1093,0.1108,0.1083,0.1105,502397.7
1784427300000,0.1105,0.113,0.1101,0.1109,868810.2
1784427600000,0.111,0.1117,0.1096,0.1106,367133.7
1784427900000,0.1106,0.1115,0.11,0.1108,535869.2
1784428200000,0.1108,0.1109,0.0944,0.1009,5755008.9
1784428500000,0.1008,0.1074,0.1007,0.1068,3323608.4
1784428800000,0.1068,0.1097,0.1048,0.1083,3228522.9
1784429100000,0.1084,0.1099,0.1077,0.1092,937204.0
1784429400000,0.1092,0.1093,0.1046,0.1064,1001495.2
1784429700000,0.1064,0.1069,0.1023,0.1064,1427407.7
1784430000000,0.1064,0.1064,0.1038,0.1042,729768.8
1784430300000,0.1043,0.1059,0.1034,0.104,723203.2
1784430600000,0.104,0.1064,0.104,0.1063,584550.9
1784430900000,0.1062,0.1064,0.1047,0.1058,367300.1
1784431200000,0.1059,0.1074,0.1051,0.1053,322779.2
1784431500000,0.1052,0.1067,0.1049,0.1062,572619.1
1784431800000,0.1063,0.1084,0.1061,0.1069,528602.2
1784432100000,0.1069,0.1093,0.1069,0.1078,552056.6
1784432400000,0.1079,0.1126,0.1076,0.1109,665421.0
1784432700000,0.1109,0.1142,0.1097,0.1128,1185394.8
1784433000000,0.1128,0.113,0.1107,0.1122,583964.3
1784433300000,0.1122,0.1135,0.1116,0.1132,895147.7
1784433600000,0.1131,0.1132,0.1108,0.1117,1127690.4
1784433900000,0.1118,0.1119,0.1094,0.1098,471076.8
1784434200000,0.1098,0.1102,0.1092,0.1097,370380.2
1784434500000,0.1097,0.1118,0.109,0.1108,505549.5
1784434800000,0.1107,0.1109,0.1095,0.1106,271107.6
1784435100000,0.1106,0.1119,0.1099,0.1111,363983.0
1784435400000,0.1111,0.1125,0.111,0.1115,445512.7
1784435700000,0.1116,0.1119,0.1108,0.111,243737.6
1784436000000,0.1111,0.1114,0.1103,0.1105,304349.7
1784436300000,0.1104,0.1104,0.1092,0.1098,344155.1
1784436600000,0.1099,0.1108,0.1098,0.1105,235914.1
1784436900000,0.1105,0.1122,0.1105,0.112,589953.2
1784437200000,0.112,0.1137,0.1117,0.1134,1270678.6
1784437500000,0.1134,0.1136,0.112,0.1136,313754.4
1784437800000,0.1136,0.1137,0.1122,0.113,343756.1
1784438100000,0.1129,0.1132,0.1121,0.1123,244143.6
1784438400000,0.1123,0.1133,0.1112,0.1123,276401.8
1784438700000,0.1123,0.1134,0.1122,0.1133,704941.1
1784439000000,0.1133,0.1168,0.1131,0.1148,955065.7
1784439300000,0.1148,0.1148,0.1136,0.1141,462451.7
1784439600000,0.1141,0.1146,0.111,0.1113,714130.9
1784439900000,0.1113,0.1123,0.1104,0.112,938808.6
1784440200000,0.112,0.1126,0.1115,0.1122,528361.0
1784440500000,0.1122,0.1138,0.1117,0.1131,644778.5
1784440800000,0.1131,0.1141,0.1127,0.1131,475267.8
1784441100000,0.1132,0.1146,0.1132,0.1141,479411.1
1784441400000,0.1141,0.1157,0.114,0.1147,458217.9
1784441700000,0.1148,0.1167,0.1148,0.1156,577944.5
1784442000000,0.1155,0.1167,0.1141,0.1151,748192.3
1784442300000,0.1152,0.1156,0.1145,0.1151,235700.8
1784442600000,0.1152,0.1153,0.1134,0.1137,443986.4
1784442900000,0.1136,0.1146,0.1134,0.1143,583516.3
1784443200000,0.1144,0.1144,0.1128,0.1131,391229.2
1784443500000,0.1132,0.1141,0.1128,0.1134,338942.8
1784443800000,0.1134,0.1135,0.1122,0.1125,367998.2
1784444100000,0.1126,0.1144,0.1125,0.114,468927.0
1784444400000,0.1139,0.1154,0.1136,0.1137,570046.0
1784444700000,0.1137,0.1144,0.1062,0.1095,3053727.6
1784445000000,0.1095,0.1114,0.108,0.1087,1220416.0
1784445300000,0.1086,0.1087,0.1055,0.108,1504022.0
1784445600000,0.108,0.1083,0.1044,0.1075,942763.9
1784445900000,0.1073,0.1076,0.1047,0.1058,1304693.4
1784446200000,0.1057,0.1068,0.1034,0.1038,1213019.3
1784446500000,0.1037,0.1065,0.1035,0.1053,1185972.2
1784446800000,0.1052,0.1096,0.105,0.1087,1173923.3
1784447100000,0.1087,0.1102,0.1079,0.1095,726838.1
1784447400000,0.1095,0.111,0.1082,0.1098,1135976.2
1784447700000,0.1098,0.1107,0.1078,0.1094,752100.2
1784448000000,0.1092,0.112,0.1092,0.1112,671421.0
1784448300000,0.1113,0.1123,0.1108,0.1119,344331.1
1784448600000,0.1119,0.1147,0.1119,0.1147,1019806.7
1784448900000,0.1146,0.1241,0.1142,0.1186,8285274.9
1784449200000,0.1185,0.1218,0.1173,0.1211,3413110.5
1784449500000,0.1211,0.1283,0.121,0.1277,5445399.7
1784449800000,0.1277,0.1354,0.1257,0.1319,5894483.7
1784450100000,0.1318,0.1331,0.1294,0.1306,3602208.0
1784450400000,0.1305,0.1322,0.1274,0.1284,1799551.6
1784450700000,0.1283,0.1356,0.1277,0.1345,2515529.4
1784451000000,0.1344,0.1346,0.1309,0.1314,1867049.8
1784451300000,0.1313,0.1333,0.1288,0.1294,4302839.3
1784451600000,0.1294,0.132,0.1293,0.1319,1605540.2
1784451900000,0.1319,0.1339,0.1309,0.1315,1982921.4
1784452200000,0.1315,0.1338,0.1315,0.1331,1449731.2
1784452500000,0.1332,0.1375,0.1318,0.1332,2754273.1
1784452800000,0.1332,0.1354,0.133,0.1336,1469626.5
1784453100000,0.1336,0.1346,0.1326,0.1331,1407181.2
1784453400000,0.133,0.1353,0.132,0.1343,1383680.0
1784453700000,0.1344,0.1375,0.1331,0.1366,2003608.8
1784454000000,0.1366,0.1393,0.1352,0.1382,2123000.2
1784454300000,0.1382,0.143,0.1377,0.1395,3740237.6
1784454600000,0.1395,0.1406,0.1386,0.1401,1313375.2
1784454900000,0.1401,0.1437,0.14,0.1412,2189822.3
1784455200000,0.1411,0.1423,0.1398,0.1401,2363579.6
1784455500000,0.1402,0.1413,0.1387,0.1396,2082458.5
1784455800000,0.1396,0.1434,0.1396,0.1421,2340305.2
1784456100000,0.1421,0.1428,0.1394,0.14,1917697.7
1784456400000,0.1399,0.1455,0.1396,0.1429,2540672.2
1784456700000,0.143,0.1439,0.142,0.1431,1937736.6
1784457000000,0.143,0.1466,0.143,0.1452,2807151.6
1784457300000,0.1452,0.1477,0.1447,0.1471,2046237.8
1784457600000,0.1471,0.1471,0.1444,0.145,1498573.5
1784457900000,0.1449,0.1479,0.1431,0.1467,1911332.4
1784458200000,0.1467,0.1495,0.1463,0.149,1957071.7
1784458500000,0.149,0.1509,0.1476,0.1485,3036019.5
1784458800000,0.1484,0.1583,0.1483,0.1564,5877699.0
1784459100000,0.1566,0.185,0.1566,0.1695,15597478.8
1784459400000,0.1695,0.1744,0.1657,0.1723,5062495.3
1784459700000,0.1723,0.1723,0.1636,0.1665,4287427.9
1784460000000,0.1665,0.1705,0.1636,0.1695,4357051.9
1784460300000,0.1694,0.1726,0.1677,0.1709,2619781.1
1784460600000,0.1709,0.1775,0.1706,0.1758,4198732.9
1784460900000,0.1758,0.179,0.1733,0.1775,3470754.1
1784461200000,0.1775,0.1776,0.1745,0.1767,2166444.5
1784461500000,0.1767,0.1872,0.1754,0.1788,8642982.1
1784461800000,0.1788,0.1826,0.1775,0.1816,4838829.9
1784462100000,0.1815,0.1917,0.1802,0.187,5224539.6
