timestamp,open,high,low,close,volume
1726963200000,2.0,2.005,1.998,2.0,17762.53
1726963500000,2.0,2.008,1.998,2.007,38952.0
1726963800000,2.006,2.018,2.004,2.014,120326.92
1726964100000,2.015,2.017,2.004,2.013,40143.43
1726964400000,2.012,2.015,2.0,2.003,31072.47
1726964700000,2.003,2.006,1.995,1.997,12085.18
1726965000000,1.998,1.998,1.983,1.986,190406.81
1726965300000,1.986,1.987,1.981,1.982,44419.69
1726965600000,1.983,1.985,1.97,1.974,201210.91
1726965900000,1.975,1.983,1.974,1.982,11717.97
1726966200000,1.983,1.986,1.982,1.986,16546.63
1726966500000,1.986,1.987,1.982,1.982,9102.55
1726966800000,1.982,1.983,1.976,1.978,31494.08
1726967100000,1.977,1.978,1.968,1.973,79487.33
1726967400000,1.973,1.973,1.964,1.966,50400.05
1726967700000,1.965,1.966,1.959,1.964,35528.19
1726968000000,1.964,1.967,1.959,1.96,30677.72
1726968300000,1.961,1.963,1.955,1.956,33797.67
1726968600000,1.957,1.958,1.946,1.95,98016.99
1726968900000,1.951,1.954,1.95,1.952,11992.55
1726969200000,1.953,1.953,1.948,1.948,35131.45
1726969500000,1.948,1.949,1.945,1.946,24759.8
1726969800000,1.945,1.951,1.944,1.95,28889.29
1726970100000,1.95,1.953,1.946,1.946,6272.71
1726970400000,1.947,1.955,1.946,1.948,24361.08
1726970700000,1.949,1.95,1.943,1.943,16006.23
1726971000000,1.944,1.944,1.936,1.938,32369.48
1726971300000,1.939,1.942,1.934,1.935,27820.92
1726971600000,1.935,1.94,1.933,1.938,12668.25
1726971900000,1.937,1.94,1.935,1.937,43217.24
1726972200000,1.937,1.939,1.933,1.934,11343.16
1726972500000,1.934,1.935,1.931,1.934,15154.17
1726972800000,1.934,1.934,1.928,1.93,15001.26
1726973100000,1.93,1.93,1.924,1.926,21900.61
1726973400000,1.926,1.929,1.924,1.928,7971.79
1726973700000,1.929,1.932,1.929,1.93,20505.61
1726974000000,1.93,1.935,1.93,1.935,12213.34
1726974300000,1.935,1.941,1.934,1.938,38599.39
1726974600000,1.938,1.944,1.935,1.943,24477.29
1726974900000,1.942,1.944,1.938,1.943,7010.53
1726975200000,1.942,1.946,1.94,1.942,15234.93
1726975500000,1.942,1.943,1.935,1.937,5643.6
1726975800000,1.938,1.941,1.936,1.94,2051.33
1726976100000,1.94,1.94,1.934,1.935,5838.78
1726976400000,1.935,1.939,1.934,1.936,2723.16
1726976700000,1.936,1.94,1.935,1.94,7688.2
1726977000000,1.939,1.941,1.938,1.94,4789.66
1726977300000,1.94,1.941,1.939,1.94,4547.88
