timestamp,open,high,low,close,volume
1727740800000,0.7177,0.7442,0.7162,0.7422,412892.6
1727741100000,0.7429,0.749,0.7342,0.7427,495884.8
1727741400000,0.7427,0.7434,0.7277,0.7296,311442.4
1727741700000,0.729,0.7393,0.7283,0.734,251449.9
1727742000000,0.7346,0.7775,0.7339,0.758,924584.9
1727742300000,0.757,0.788,0.7553,0.785,846376.4
1727742600000,0.7857,0.7934,0.7736,0.7924,714127.6
1727742900000,0.7924,0.8375,0.7909,0.8153,1591905.1
1727743200000,0.8168,0.8195,0.7768,0.7849,863161.4
1727743500000,0.7852,0.7886,0.7582,0.7685,634997.8
1727743800000,0.768,0.7793,0.76,0.7792,376413.2
1727744100000,0.7787,0.7792,0.7443,0.7553,574180.0
1727744400000,0.7544,0.7579,0.74,0.7461,330184.8
1727744700000,0.7467,0.7517,0.7408,0.7416,168782.9
1727745000000,0.7414,0.742,0.6985,0.7128,1028392.8
1727745300000,0.7128,0.7175,0.7,0.7127,281697.6
1727745600000,0.7119,0.7264,0.7119,0.7253,289429.9
1727745900000,0.7249,0.7259,0.7182,0.7186,108647.1
1727746200000,0.7186,0.7293,0.7182,0.7279,130706.4
1727746500000,0.728,0.729,0.7255,0.7258,98215.6
1727746800000,0.7255,0.733,0.7094,0.713,273076.0
1727747100000,0.7127,0.7219,0.7099,0.7158,132019.8
1727747400000,0.7158,0.744,0.7154,0.7421,338519.0
1727747700000,0.742,0.745,0.7277,0.7348,335049.6
1727748000000,0.7333,0.7424,0.7249,0.7335,173406.8
1727748300000,0.7335,0.7413,0.7331,0.7374,126981.0
1727748600000,0.7374,0.756,0.7353,0.7521,380626.0
1727748900000,0.7522,0.7533,0.7403,0.7428,221485.2
1727749200000,0.7428,0.7467,0.7342,0.7345,145369.2
1727749500000,0.7346,0.7442,0.7342,0.7381,124658.8
1727749800000,0.738,0.7469,0.735,0.7367,160393.9
1727750100000,0.7358,0.7367,0.7318,0.7323,68080.7
1727750400000,0.7318,0.7496,0.7317,0.7478,207150.5
1727750700000,0.7491,0.7496,0.7359,0.7369,107726.8
1727751000000,0.7371,0.7372,0.729,0.7309,145805.6
1727751300000,0.7303,0.7346,0.729,0.7309,70209.6
1727751600000,0.7314,0.7482,0.73,0.7463,150440.5
1727751900000,0.7473,0.7478,0.7368,0.7374,135594.8
1727752200000,0.7373,0.7413,0.7296,0.7329,201827.1
1727752500000,0.7331,0.734,0.7251,0.7253,107471.3
1727752800000,0.7251,0.7257,0.7051,0.7086,289454.4
1727753100000,0.7081,0.7106,0.6836,0.6905,659529.8
1727753400000,0.6909,0.7091,0.6904,0.6974,330514.7
1727753700000,0.6974,0.6989,0.67,0.6701,424823.4
1727754000000,0.6706,0.6812,0.6605,0.6797,446883.2
1727754300000,0.6784,0.713,0.6784,0.6992,347076.6
1727754600000,0.6989,0.699,0.6903,0.6978,143721.7
1727754900000,0.6982,0.71,0.6787,0.6827,397775.7
1727755200000,0.683,0.7089,0.6825,0.6991,250190.6
1727755500000,0.6991,0.7036,0.688,0.6935,244475.0
1727755800000,0.6937,0.6946,0.6706,0.6749,344144.0
1727756100000,0.6749,0.6827,0.6734,0.6813,197144.1
1727756400000,0.6813,0.6849,0.6731,0.6731,209585.9
1727756700000,0.6737,0.686,0.673,0.684,148663.6
1727757000000,0.6841,0.6925,0.6787,0.6905,146626.6
1727757300000,0.6903,0.7014,0.6856,0.7004,294770.2
1727757600000,0.7001,0.708,0.7,0.7074,258743.6
1727757900000,0.7068,0.7079,0.693,0.7001,194942.0
1727758200000,0.7001,0.7042,0.6984,0.7016,156262.9
1727758500000,0.7017,0.7041,0.6925,0.6954,161527.9
1727758800000,0.6948,0.6954,0.6689,0.67,534968.8
1727759100000,0.67,0.6797,0.6667,0.6739,231146.0
1727759400000,0.6754,0.677,0.6633,0.6738,181679.9
1727759700000,0.6738,0.6833,0.6732,0.6802,196562.3
1727760000000,0.6795,0.6896,0.679,0.6889,121396.8
1727760300000,0.6877,0.69,0.6839,0.684,129020.0
1727760600000,0.6847,0.6993,0.6792,0.6942,206440.0
