timestamp,open,high,low,close,volume
1734480000000,5.666,5.751,5.665,5.72,13732.47
1734480300000,5.72,5.83,5.677,5.711,31227.07
1734480600000,5.714,5.781,5.675,5.738,9987.28
1734480900000,5.734,5.734,5.654,5.683,7533.68
1734481200000,5.677,5.738,5.653,5.665,8616.61
1734481500000,5.665,5.706,5.65,5.664,20138.34
1734481800000,5.667,5.68,5.564,5.58,10474.89
1734482100000,5.587,5.62,5.576,5.6,4491.75
1734482400000,5.602,5.651,5.58,5.631,3581.43
1734482700000,5.631,5.66,5.615,5.642,4434.86
1734483000000,5.65,5.725,5.598,5.725,7253.28
1734483300000,5.725,5.763,5.687,5.707,6640.89
1734483600000,5.709,5.798,5.708,5.782,5711.52
1734483900000,5.785,5.878,5.782,5.863,15888.31
1734484200000,5.864,5.99,5.829,5.948,28029.05
1734484500000,5.948,6.022,5.904,5.979,9599.69
1734484800000,5.979,6.069,5.888,6.062,31929.0
1734485100000,6.062,6.19,6.055,6.147,42445.47
1734485400000,6.147,6.161,5.806,5.827,50721.99
1734485700000,5.836,5.891,5.797,5.844,9794.83
1734486000000,5.849,5.935,5.847,5.918,8508.26
1734486300000,5.919,6.05,5.918,6.036,17342.8
1734486600000,6.03,6.055,5.909,5.951,10700.03
1734486900000,5.949,6.117,5.909,6.079,10349.28
1734487200000,6.08,6.148,5.923,5.938,15928.03
1734487500000,5.946,6.15,5.946,6.019,9925.12
1734487800000,6.024,6.152,6.01,6.132,11726.96
1734488100000,6.139,6.25,6.121,6.236,24476.26
1734488400000,6.241,6.34,6.137,6.137,30418.13
1734488700000,6.136,6.201,6.077,6.089,17763.32
1734489000000,6.096,6.117,5.953,6.02,39019.7
1734489300000,6.02,6.075,6.008,6.035,8974.79
1734489600000,6.039,6.049,6.0,6.034,7475.91
1734489900000,6.037,6.062,5.964,5.986,28854.8
1734490200000,5.986,5.997,5.934,5.965,10964.93
1734490500000,5.965,6.059,5.964,6.043,3185.25
1734490800000,6.045,6.045,5.968,5.981,6169.35
1734491100000,5.976,5.987,5.849,5.867,15620.64
1734491400000,5.867,5.959,5.866,5.923,8703.9
1734491700000,5.921,6.01,5.914,6.01,7438.88
1734492000000,6.004,6.026,5.949,5.954,5554.09
1734492300000,5.957,6.015,5.92,6.003,3834.66
1734492600000,6.013,6.018,5.877,5.893,6241.73
1734492900000,5.898,5.939,5.874,5.899,1877.95
1734493200000,5.896,5.908,5.85,5.893,2847.15
1734493500000,5.899,5.938,5.89,5.927,3255.37
1734493800000,5.936,5.964,5.906,5.933,3564.64
1734494100000,5.93,5.945,5.892,5.899,4962.8
1734494400000,5.901,5.924,5.873,5.91,5639.79
1734494700000,5.907,6.0,5.895,5.969,7147.5
1734495000000,5.967,5.989,5.929,5.954,5210.7
1734495300000,5.946,5.988,5.882,5.895,4968.62
1734495600000,5.886,5.887,5.825,5.882,9804.84
1734495900000,5.88,5.893,5.824,5.848,8303.76
1734496200000,5.84,5.853,5.805,5.811,4878.99
1734496500000,5.816,5.873,5.805,5.818,5938.73
1734496800000,5.82,5.84,5.779,5.823,7177.93
1734497100000,5.818,5.834,5.766,5.781,1689.7
1734497400000,5.776,5.794,5.766,5.792,3980.09
1734497700000,5.792,5.829,5.789,5.802,3033.13
1734498000000,5.802,5.827,5.793,5.802,3117.76
1734498300000,5.802,5.814,5.78,5.785,2681.19
1734498600000,5.785,5.829,5.759,5.829,5398.95
1734498900000,5.83,5.85,5.815,5.815,2933.68
1734499200000,5.826,5.828,5.745,5.755,5070.49
1734499500000,5.755,5.774,5.731,5.763,3818.85
1734499800000,5.758,5.817,5.753,5.808,2821.8
1734500100000,5.807,5.886,5.802,5.877,4285.31
1734500400000,5.875,5.876,5.82,5.828,3494.46
1734500700000,5.824,5.866,5.809,5.841,3762.72
1734501000000,5.83,5.83,5.748,5.783,4835.13
1734501300000,5.783,5.783,5.7,5.706,11239.13
1734501600000,5.706,5.732,5.7,5.7,4291.39
1734501900000,5.708,5.719,5.671,5.719,5021.15
1734502200000,5.72,5.72,5.667,5.696,4053.9
1734502500000,5.694,5.758,5.692,5.738,2178.85
1734502800000,5.73,5.783,5.723,5.772,2082.82
1734503100000,5.768,5.806,5.758,5.787,2875.74
1734503400000,5.781,5.781,5.689,5.689,4409.71
1734503700000,5.692,5.696,5.648,5.661,2186.14
