timestamp,open,high,low,close,volume
1770163200000,0.8612,0.864,0.8549,0.8579,8523.6
1770163500000,0.8573,0.8578,0.8538,0.8568,13700.2
1770163800000,0.8568,0.8598,0.8568,0.859,8173.5
1770164100000,0.8591,0.8654,0.8591,0.8614,7666.5
1770164400000,0.8627,0.87,0.8627,0.87,23407.6
1770164700000,0.8688,0.8701,0.862,0.862,11122.6
1770165000000,0.8619,0.8652,0.8608,0.8652,1487.3
1770165300000,0.8651,0.8651,0.8612,0.8626,917.8
1770165600000,0.863,0.8632,0.8578,0.8632,7409.4
1770165900000,0.8629,0.8629,0.8597,0.8603,2666.5
1770166200000,0.8613,0.8644,0.86,0.8644,3362.2
1770166500000,0.8644,0.8661,0.8595,0.8595,6723.6
1770166800000,0.8588,0.8588,0.8564,0.8581,4138.2
1770167100000,0.8581,0.8684,0.8561,0.8666,7484.7
1770167400000,0.868,0.8805,0.867,0.8801,35275.9
1770167700000,0.8785,0.8831,0.8766,0.8777,14439.1
1770168000000,0.8761,0.8855,0.8744,0.8797,39426.9
1770168300000,0.8791,0.8866,0.8747,0.8825,13030.1
1770168600000,0.8819,0.89,0.8806,0.8849,31124.8
1770168900000,0.8849,0.8849,0.8733,0.8733,13911.0
1770169200000,0.8754,0.8804,0.8744,0.8744,18572.9
1770169500000,0.8741,0.875,0.8711,0.8717,5439.2
1770169800000,0.8713,0.8758,0.8695,0.8753,5691.2
1770170100000,0.874,0.8743,0.8719,0.872,2743.7
1770170400000,0.8715,0.8715,0.8644,0.8651,6947.6
1770170700000,0.8661,0.8677,0.8633,0.8633,9227.4
1770171000000,0.8634,0.865,0.8612,0.865,10346.2
1770171300000,0.865,0.866,0.863,0.863,2928.9
1770171600000,0.8625,0.8673,0.8613,0.8662,11824.8
1770171900000,0.8663,0.8683,0.8658,0.8678,2100.8
1770172200000,0.8674,0.8684,0.862,0.8679,1801.2
1770172500000,0.8679,0.8701,0.8677,0.8679,359.9
1770172800000,0.8683,0.8702,0.8676,0.8676,516.5
1770173100000,0.869,0.8712,0.8677,0.8704,1147.5
1770173400000,0.871,0.8718,0.859,0.8598,10447.9
1770173700000,0.8614,0.8615,0.8546,0.8551,15355.4
1770174000000,0.8556,0.8571,0.8531,0.8559,12599.2
1770174300000,0.8566,0.8603,0.8546,0.859,3361.3
1770174600000,0.8593,0.8637,0.8592,0.8625,22809.3
1770174900000,0.8622,0.8633,0.8579,0.8591,4218.0
1770175200000,0.8591,0.8598,0.8577,0.8589,1446.6
1770175500000,0.8588,0.8598,0.858,0.8581,830.5
1770175800000,0.8614,0.8614,0.8586,0.8586,1459.8
1770176100000,0.8581,0.863,0.8576,0.8623,2713.1
1770176400000,0.8624,0.8628,0.8609,0.8617,5062.8
1770176700000,0.8619,0.8638,0.8612,0.8612,848.5
1770177000000,0.8613,0.865,0.8608,0.865,5283.8
1770177300000,0.864,0.8649,0.8631,0.8649,2550.2
1770177600000,0.8637,0.8637,0.8584,0.8606,4140.5
1770177900000,0.8628,0.8654,0.8589,0.8608,3284.0
1770178200000,0.8602,0.8608,0.8584,0.8584,3320.4
1770178500000,0.86,0.86,0.856,0.8577,8394.7
1770178800000,0.8583,0.8607,0.8583,0.8594,2036.0
1770179100000,0.8596,0.8596,0.8571,0.8581,1289.9
1770179400000,0.8582,0.8584,0.8563,0.858,2416.8
1770179700000,0.8597,0.8597,0.8571,0.8571,654.2
1770180000000,0.8579,0.8591,0.8562,0.857,2048.4
1770180300000,0.8577,0.8577,0.8535,0.8538,2102.6
1770180600000,0.8551,0.8628,0.8543,0.859,27696.4
1770180900000,0.859,0.8607,0.859,0.8591,4351.1
1770181200000,0.861,0.861,0.855,0.856,9737.4
1770181500000,0.8563,0.8563,0.8534,0.8554,15283.5
1770181800000,0.8548,0.8553,0.85,0.8509,21836.8
1770182100000,0.8505,0.8573,0.85,0.8568,10346.8
1770182400000,0.8557,0.8566,0.8541,0.8566,4585.1
1770182700000,0.8585,0.8587,0.855,0.8575,8237.1
1770183000000,0.8595,0.8599,0.8562,0.8563,550.6
1770183300000,0.8555,0.8566,0.854,0.8566,3967.8
1770183600000,0.8576,0.8611,0.8555,0.8555,8278.5
1770183900000,0.8569,0.8586,0.8569,0.8579,4625.0
1770184200000,0.8586,0.8628,0.8548,0.855,11202.6
1770184500000,0.8555,0.857,0.854,0.8555,13652.8
1770184800000,0.854,0.8558,0.854,0.8542,7058.2
1770185100000,0.8542,0.8561,0.8542,0.8561,1354.1
1770185400000,0.8568,0.8586,0.8565,0.8586,564.9
1770185700000,0.8595,0.86,0.8561,0.8561,1785.5
1770186000000,0.8575,0.858,0.856,0.8565,2620.1
1770186300000,0.8584,0.8635,0.8584,0.8622,12472.1
1770186600000,0.863,0.8651,0.8616,0.8634,3458.6
1770186900000,0.8638,0.8638,0.8616,0.8616,1307.5
1770187200000,0.8637,0.8639,0.862,0.8639,1540.6
1770187500000,0.8632,0.8632,0.8566,0.8568,6769.6
1770187800000,0.8574,0.8574,0.8546,0.8562,1885.2
1770188100000,0.856,0.8563,0.855,0.8563,747.8
1770188400000,0.8547,0.8556,0.854,0.8541,6800.0
1770188700000,0.8544,0.8544,0.8507,0.8509,22856.3
1770189000000,0.8512,0.8546,0.8505,0.8546,8453.7
1770189300000,0.8541,0.8597,0.8532,0.8573,8731.9
1770189600000,0.8569,0.8573,0.8536,0.8552,13519.2
1770189900000,0.8561,0.8561,0.8492,0.8492,11557.9
1770190200000,0.8492,0.8506,0.839,0.843,47256.9
1770190500000,0.8438,0.8484,0.8426,0.8474,31322.8
1770190800000,0.8467,0.8501,0.8467,0.8492,2992.5
1770191100000,0.849,0.8491,0.8437,0.8452,11668.7
1770191400000,0.8451,0.8471,0.8451,0.8465,981.2
1770191700000,0.8446,0.8447,0.842,0.8421,8809.7
1770192000000,0.8429,0.8455,0.8386,0.8422,28772.4
1770192300000,0.8412,0.8415,0.8384,0.841,3326.7
1770192600000,0.8394,0.8394,0.835,0.836,12802.2
1770192900000,0.836,0.837,0.8319,0.8319,13242.1
1770193200000,0.8333,0.8353,0.8266,0.8277,31688.9
1770193500000,0.831,0.8331,0.8256,0.8268,17117.1
1770193800000,0.827,0.8285,0.8235,0.8251,18061.4
1770194100000,0.8245,0.8257,0.8212,0.8254,29886.6
1770194400000,0.8254,0.8287,0.8243,0.8243,16847.5
1770194700000,0.8249,0.8277,0.824,0.8241,4615.4
1770195000000,0.8248,0.8278,0.822,0.8222,3772.7
1770195300000,0.822,0.824,0.8195,0.8232,11388.3
1770195600000,0.8216,0.8241,0.821,0.821,5238.7
1770195900000,0.8226,0.8235,0.8218,0.8234,11845.0
1770196200000,0.8225,0.8273,0.8225,0.8254,3630.7
1770196500000,0.8244,0.8261,0.822,0.822,1906.4
1770196800000,0.822,0.8258,0.8194,0.8238,7091.9
1770197100000,0.8244,0.8284,0.8221,0.8265,8342.6
1770197400000,0.8265,0.8265,0.8227,0.8243,3898.0
1770197700000,0.8209,0.8214,0.818,0.821,6546.2
1770198000000,0.8217,0.824,0.8177,0.8191,11559.3
1770198300000,0.8203,0.822,0.8172,0.8173,8152.4
1770198600000,0.8174,0.8174,0.8125,0.8136,21903.4
1770198900000,0.8138,0.8149,0.8126,0.814,8106.3
1770199200000,0.8138,0.8147,0.8072,0.8095,22593.8
1770199500000,0.8104,0.8104,0.8011,0.8029,50944.0
1770199800000,0.8022,0.8108,0.8,0.8059,50817.9
1770200100000,0.8056,0.8071,0.7833,0.7902,100481.5
1770200400000,0.79,0.8032,0.7895,0.7986,61248.5
1770200700000,0.8004,0.8074,0.7956,0.7961,29688.6
1770201000000,0.7963,0.8064,0.7947,0.805,30130.4
1770201300000,0.8061,0.808,0.7986,0.8026,96981.2
1770201600000,0.8028,0.8119,0.8016,0.8063,36530.7
1770201900000,0.8064,0.8116,0.8009,0.8037,37847.5
1770202200000,0.8028,0.8111,0.8028,0.8101,9745.7
1770202500000,0.8102,0.8156,0.81,0.8127,12916.8
1770202800000,0.8138,0.8149,0.8083,0.8103,12221.4
1770203100000,0.8097,0.8179,0.8097,0.812,22493.5
1770203400000,0.8128,0.8176,0.8128,0.8144,19052.5
1770203700000,0.8168,0.8169,0.8141,0.8156,8323.9
1770204000000,0.8156,0.8219,0.8156,0.8166,14064.3
1770204300000,0.8145,0.816,0.8122,0.8146,5080.1
1770204600000,0.8165,0.8218,0.8133,0.814,21112.5
1770204900000,0.814,0.817,0.8113,0.8121,13034.0
1770205200000,0.8121,0.813,0.811,0.8127,5694.2
1770205500000,0.8139,0.8139,0.8123,0.8123,1734.4
1770205800000,0.811,0.811,0.8025,0.8056,38576.1
1770206100000,0.8063,0.8065,0.803,0.8052,6557.7
1770206400000,0.8056,0.8064,0.8009,0.8055,15471.3
1770206700000,0.8054,0.811,0.8052,0.811,5824.9
1770207000000,0.8108,0.8144,0.8105,0.8129,6183.2
1770207300000,0.8137,0.817,0.7967,0.8058,36098.6
1770207600000,0.8068,0.8113,0.7995,0.8064,61480.2
1770207900000,0.8064,0.8064,0.7772,0.779,143405.7
1770208200000,0.7792,0.7806,0.7662,0.7776,116656.5
1770208500000,0.7794,0.7839,0.7763,0.7804,36004.7
1770208800000,0.7813,0.7852,0.7796,0.7843,18135.9
1770209100000,0.7851,0.7909,0.785,0.7881,12656.7
1770209400000,0.7868,0.7901,0.7858,0.7883,9018.0
1770209700000,0.7892,0.79,0.785,0.7865,6730.7
1770210000000,0.7859,0.7859,0.78,0.7808,3690.4
1770210300000,0.7804,0.7829,0.7787,0.7801,7139.7
1770210600000,0.7794,0.7812,0.773,0.7754,22421.8
1770210900000,0.7753,0.7768,0.7692,0.7733,78529.1
1770211200000,0.7733,0.7773,0.7696,0.7762,51219.4
1770211500000,0.7766,0.783,0.7763,0.7814,15065.6
1770211800000,0.7817,0.787,0.7817,0.7836,10861.4
1770212100000,0.7827,0.7859,0.7817,0.7859,2226.3
1770212400000,0.7863,0.7882,0.7844,0.7844,15826.3
1770212700000,0.7855,0.7881,0.7797,0.7827,17520.0
1770213000000,0.7837,0.786,0.7817,0.7847,4226.3
1770213300000,0.784,0.7861,0.7814,0.783,8263.6
1770213600000,0.7838,0.7864,0.7831,0.7849,9322.0
1770213900000,0.7857,0.7864,0.7845,0.7845,5712.9
1770214200000,0.7846,0.7871,0.784,0.786,3453.0
1770214500000,0.786,0.7908,0.7853,0.7908,25204.6
1770214800000,0.7905,0.7914,0.7885,0.7893,17501.9
1770215100000,0.7893,0.7904,0.788,0.7897,5218.3
