timestamp,open,high,low,close,volume
1727481600000,46.46,47.13,46.45,46.92,1848.374
1727481900000,46.93,47.43,46.65,46.67,2845.497
1727482200000,46.66,46.83,46.65,46.78,921.587
1727482500000,46.8,47.16,46.75,46.81,1087.36
1727482800000,46.81,46.84,46.21,46.28,1795.327
1727483100000,46.25,46.61,46.25,46.49,1252.488
1727483400000,46.45,46.74,46.38,46.51,737.928
1727483700000,46.49,46.71,46.47,46.58,355.064
1727484000000,46.55,46.74,46.55,46.7,195.217
1727484300000,46.71,46.72,46.48,46.48,442.326
1727484600000,46.47,46.5,46.23,46.3,680.13
1727484900000,46.3,46.65,46.3,46.61,185.633
1727485200000,46.59,46.59,46.31,46.31,1090.283
1727485500000,46.31,46.31,46.12,46.3,598.176
1727485800000,46.29,46.4,46.24,46.25,204.228
1727486100000,46.24,46.24,46.11,46.22,273.788
1727486400000,46.2,46.2,45.87,46.07,2010.311
1727486700000,46.06,46.12,45.98,45.98,500.387
1727487000000,46.0,46.0,45.85,45.95,450.522
1727487300000,45.96,46.06,45.75,45.94,680.896
1727487600000,45.94,45.96,45.86,45.88,89.742
1727487900000,45.86,45.86,45.66,45.74,317.164
1727488200000,45.75,45.83,45.69,45.82,320.449
1727488500000,45.8,45.81,45.65,45.74,284.328
1727488800000,45.78,45.92,45.65,45.92,525.287
1727489100000,45.91,45.91,45.67,45.78,524.361
1727489400000,45.77,45.86,45.77,45.86,50.091
1727489700000,45.84,45.84,45.8,45.83,18.617
1727490000000,45.82,45.9,45.74,45.88,567.496
1727490300000,45.89,45.93,45.83,45.86,618.126
1727490600000,45.86,45.87,45.78,45.85,220.311
1727490900000,45.84,45.95,45.69,45.78,676.094
1727491200000,45.78,45.78,45.63,45.72,451.598
1727491500000,45.71,45.83,45.63,45.77,600.721
1727491800000,45.75,45.75,45.66,45.7,440.419
1727492100000,45.69,45.74,45.63,45.67,478.218
1727492400000,45.67,45.76,45.64,45.7,459.504
1727492700000,45.76,45.79,45.66,45.69,400.255
1727493000000,45.68,45.88,45.67,45.8,278.251
1727493300000,45.8,45.8,45.65,45.76,334.053
1727493600000,45.77,45.77,45.56,45.57,203.95
1727493900000,45.58,45.62,45.52,45.55,452.13
1727494200000,45.58,46.04,45.56,45.88,1479.012
1727494500000,45.92,45.97,45.84,45.96,118.549
1727494800000,45.91,45.94,45.7,45.7,115.38
1727495100000,45.73,45.97,45.73,45.95,614.828
1727495400000,45.93,45.93,45.73,45.75,207.632
1727495700000,45.79,45.82,45.72,45.78,65.03
1727496000000,45.81,45.82,45.73,45.82,74.21
1727496300000,45.79,45.9,45.68,45.71,407.581
1727496600000,45.69,45.72,45.6,45.72,307.136
1727496900000,45.74,45.95,45.74,45.95,394.784
1727497200000,45.97,46.32,45.97,46.28,734.45
1727497500000,46.3,46.42,46.17,46.17,1078.144
1727497800000,46.2,46.43,46.08,46.43,836.937
1727498100000,46.41,46.44,46.19,46.25,324.258
1727498400000,46.23,46.38,46.19,46.28,415.107
1727498700000,46.25,46.27,46.2,46.22,91.722
1727499000000,46.19,46.19,45.94,45.94,206.301
1727499300000,45.94,46.06,45.86,45.86,51.538
1727499600000,45.86,46.07,45.86,46.01,247.417
1727499900000,46.01,46.07,45.92,45.99,830.864
1727500200000,45.91,45.98,45.8,45.88,383.541
1727500500000,45.89,45.97,45.83,45.92,242.966
1727500800000,45.91,46.16,45.86,46.1,474.036
1727501100000,46.1,46.1,45.89,45.93,828.264
1727501400000,45.91,45.98,45.74,45.75,539.257
1727501700000,45.78,45.84,45.59,45.67,364.531
1727502000000,45.66,45.7,45.52,45.55,183.212
1727502300000,45.57,45.67,45.32,45.36,550.022
1727502600000,45.36,45.46,45.32,45.4,130.597
1727502900000,45.41,45.54,45.41,45.41,295.692
1727503200000,45.45,45.47,45.31,45.32,151.83
1727503500000,45.31,45.36,44.95,45.04,1590.676
1727503800000,45.05,45.15,44.9,45.04,443.511
1727504100000,45.08,45.34,45.08,45.15,235.57
1727504400000,45.2,45.33,45.18,45.33,362.635
1727504700000,45.32,45.36,45.27,45.28,98.499
1727505000000,45.29,45.36,45.1,45.1,251.401
1727505300000,45.07,45.07,44.78,44.84,227.477
1727505600000,44.84,44.99,44.69,44.79,861.925
1727505900000,44.8,44.9,44.73,44.83,551.122
1727506200000,44.85,44.85,44.7,44.79,482.74
1727506500000,44.84,44.86,44.79,44.79,137.408
1727506800000,44.8,44.99,44.8,44.94,247.38
1727507100000,44.95,45.04,44.93,44.94,131.528
1727507400000,44.93,44.93,44.82,44.85,246.727
1727507700000,44.84,44.95,44.79,44.86,143.964
1727508000000,44.9,44.92,44.82,44.82,63.656
1727508300000,44.8,44.85,44.75,44.77,57.752
1727508600000,44.77,44.78,44.64,44.76,523.556
1727508900000,44.76,44.95,44.76,44.87,74.521
1727509200000,44.88,44.97,44.83,44.87,251.971
1727509500000,44.84,44.86,44.53,44.53,359.088
1727509800000,44.53,44.7,44.51,44.65,167.785
1727510100000,44.63,44.67,44.55,44.58,118.836
1727510400000,44.55,44.62,44.48,44.54,205.595
