timestamp,open,high,low,close,volume
1725667200000,1.5,1.503,1.497,1.497,20126.0
1725667500000,1.497,1.5,1.495,1.498,19872.63
1725667800000,1.498,1.504,1.494,1.504,21493.52
1725668100000,1.504,1.512,1.501,1.505,89558.5
1725668400000,1.505,1.51,1.504,1.509,11930.95
1725668700000,1.51,1.517,1.509,1.511,47818.86
1725669000000,1.512,1.516,1.507,1.514,20564.96
1725669300000,1.514,1.524,1.512,1.524,34309.87
1725669600000,1.523,1.53,1.522,1.528,87931.76
1725669900000,1.528,1.531,1.525,1.531,24143.41
1725670200000,1.531,1.535,1.526,1.528,108882.62
1725670500000,1.528,1.53,1.518,1.519,45643.07
1725670800000,1.52,1.525,1.517,1.523,69977.43
1725671100000,1.522,1.522,1.511,1.511,12606.27
1725671400000,1.512,1.517,1.505,1.512,61441.2
1725671700000,1.512,1.514,1.508,1.51,23695.85
1725672000000,1.51,1.514,1.509,1.514,7412.23
1725672300000,1.514,1.514,1.509,1.51,35367.34
1725672600000,1.511,1.511,1.506,1.507,12223.82
1725672900000,1.507,1.51,1.506,1.507,19056.89
1725673200000,1.506,1.51,1.503,1.504,45440.69
1725673500000,1.504,1.505,1.499,1.5,16967.0
1725673800000,1.5,1.502,1.492,1.496,55680.09
1725674100000,1.497,1.501,1.497,1.5,17186.53
1725674400000,1.501,1.501,1.489,1.493,26233.56
1725674700000,1.493,1.499,1.491,1.499,36160.49
1725675000000,1.498,1.505,1.498,1.5,16675.67
1725675300000,1.5,1.502,1.497,1.499,37660.23
1725675600000,1.499,1.511,1.499,1.507,33146.37
1725675900000,1.506,1.51,1.5,1.501,14622.66
1725676200000,1.502,1.505,1.501,1.505,8352.8
1725676500000,1.505,1.511,1.505,1.508,26936.58
1725676800000,1.509,1.512,1.508,1.512,12972.48
1725677100000,1.512,1.512,1.504,1.506,8681.77
1725677400000,1.506,1.508,1.5,1.502,11998.79
1725677700000,1.502,1.504,1.495,1.497,64234.56
1725678000000,1.497,1.5,1.494,1.5,13993.51
1725678300000,1.5,1.501,1.494,1.499,14100.11
1725678600000,1.499,1.502,1.499,1.502,9874.32
1725678900000,1.503,1.504,1.5,1.503,23718.91
1725679200000,1.504,1.506,1.501,1.502,7408.54
1725679500000,1.502,1.507,1.501,1.501,9825.98
1725679800000,1.502,1.504,1.495,1.496,35749.28
1725680100000,1.496,1.498,1.495,1.497,2001.01
1725680400000,1.497,1.498,1.493,1.494,25768.17
1725680700000,1.494,1.495,1.492,1.494,26812.36
1725681000000,1.495,1.498,1.495,1.495,30074.52
1725681300000,1.496,1.498,1.495,1.498,7522.1
1725681600000,1.498,1.5,1.493,1.494,18473.59
1725681900000,1.494,1.497,1.493,1.497,4855.86
1725682200000,1.499,1.501,1.497,1.498,7886.71
1725682500000,1.499,1.501,1.493,1.493,10536.49
1725682800000,1.494,1.494,1.492,1.494,6471.5
1725683100000,1.494,1.497,1.493,1.497,5676.13
1725683400000,1.497,1.498,1.495,1.498,3655.08
1725683700000,1.497,1.499,1.495,1.499,2456.19
1725684000000,1.499,1.5,1.497,1.5,3486.99
1725684300000,1.5,1.5,1.497,1.499,8874.93
1725684600000,1.498,1.504,1.498,1.504,21198.28
1725684900000,1.505,1.508,1.503,1.507,12744.69
1725685200000,1.507,1.509,1.504,1.507,6473.6
1725685500000,1.508,1.526,1.506,1.518,71177.66
1725685800000,1.519,1.521,1.513,1.518,50222.22
1725686100000,1.519,1.52,1.505,1.507,45044.04
1725686400000,1.507,1.508,1.504,1.506,13647.12
1725686700000,1.507,1.51,1.502,1.503,22684.61
1725687000000,1.504,1.512,1.502,1.509,19530.98
