timestamp,open,high,low,close,volume
1726272000000,0.917,0.919,0.916,0.918,17663.7
1726272300000,0.918,0.919,0.916,0.918,6222.2
1726272600000,0.918,0.919,0.915,0.915,14771.8
1726272900000,0.916,0.916,0.914,0.916,18574.0
1726273200000,0.916,0.917,0.915,0.915,6168.3
1726273500000,0.915,0.915,0.913,0.913,10235.2
1726273800000,0.912,0.917,0.912,0.915,11050.3
1726274100000,0.914,0.916,0.913,0.916,23961.5
1726274400000,0.916,0.919,0.915,0.919,6174.5
1726274700000,0.919,0.923,0.919,0.921,65697.1
1726275000000,0.921,0.922,0.917,0.918,24312.7
1726275300000,0.918,0.921,0.918,0.919,36471.5
1726275600000,0.92,0.922,0.918,0.922,15949.4
1726275900000,0.922,0.922,0.919,0.921,11747.3
1726276200000,0.921,0.922,0.919,0.919,6941.5
1726276500000,0.92,0.92,0.919,0.92,12209.6
1726276800000,0.92,0.92,0.917,0.919,9710.5
1726277100000,0.918,0.921,0.918,0.92,5099.5
1726277400000,0.921,0.922,0.918,0.919,6743.8
1726277700000,0.918,0.919,0.918,0.918,3125.7
1726278000000,0.918,0.918,0.918,0.918,2294.0
1726278300000,0.917,0.917,0.915,0.916,15174.0
1726278600000,0.917,0.917,0.914,0.915,8740.4
1726278900000,0.915,0.917,0.915,0.917,11054.8
1726279200000,0.917,0.918,0.915,0.917,5663.8
1726279500000,0.917,0.921,0.916,0.92,12083.3
1726279800000,0.921,0.921,0.919,0.92,9023.4
1726280100000,0.92,0.921,0.919,0.919,1274.3
1726280400000,0.919,0.921,0.919,0.921,16411.2
1726280700000,0.921,0.923,0.92,0.922,2193.5
1726281000000,0.921,0.922,0.918,0.918,3754.9
1726281300000,0.919,0.92,0.918,0.918,10233.7
1726281600000,0.92,0.922,0.918,0.919,15071.4
1726281900000,0.919,0.922,0.919,0.919,46512.6
1726282200000,0.92,0.92,0.917,0.918,11663.1
1726282500000,0.918,0.918,0.916,0.916,2573.8
1726282800000,0.917,0.919,0.916,0.919,45511.1
1726283100000,0.92,0.921,0.919,0.919,8956.0
1726283400000,0.919,0.924,0.919,0.924,6099.0
1726283700000,0.924,0.926,0.921,0.921,10479.0
1726284000000,0.922,0.922,0.921,0.921,8505.9
1726284300000,0.921,0.921,0.918,0.918,15757.8
1726284600000,0.917,0.922,0.917,0.922,7901.0
1726284900000,0.922,0.924,0.921,0.922,16002.4
1726285200000,0.923,0.925,0.923,0.924,11495.3
1726285500000,0.924,0.926,0.923,0.924,4773.6
1726285800000,0.925,0.926,0.924,0.926,5692.6
1726286100000,0.926,0.927,0.923,0.923,7114.0
1726286400000,0.924,0.924,0.92,0.921,5723.6
1726286700000,0.92,0.92,0.918,0.92,7570.5
1726287000000,0.92,0.92,0.918,0.919,20102.2
1726287300000,0.919,0.919,0.917,0.917,11480.2
1726287600000,0.916,0.918,0.915,0.916,23753.0
1726287900000,0.916,0.917,0.915,0.915,9331.1
1726288200000,0.914,0.919,0.914,0.918,7673.0
1726288500000,0.919,0.92,0.916,0.919,7251.6
1726288800000,0.919,0.919,0.917,0.918,3646.0
1726289100000,0.918,0.919,0.917,0.919,4087.6
1726289400000,0.918,0.918,0.916,0.917,1291.3
1726289700000,0.917,0.918,0.915,0.917,15662.8
1726290000000,0.917,0.919,0.917,0.919,6518.4
1726290300000,0.919,0.919,0.918,0.918,4419.8
1726290600000,0.919,0.919,0.914,0.914,25078.5
1726290900000,0.914,0.914,0.91,0.91,57233.7
1726291200000,0.91,0.915,0.91,0.915,18345.2
1726291500000,0.915,0.916,0.913,0.913,6401.2
1726291800000,0.913,0.914,0.912,0.913,24203.6
1726292100000,0.913,0.917,0.913,0.916,9566.3
1726292400000,0.916,0.916,0.91,0.912,55078.9
1726292700000,0.912,0.912,0.909,0.911,53656.7
1726293000000,0.91,0.911,0.907,0.908,20152.0
1726293300000,0.908,0.909,0.904,0.905,31139.4
1726293600000,0.905,0.909,0.902,0.909,29123.6
1726293900000,0.909,0.909,0.907,0.907,8119.6
1726294200000,0.907,0.909,0.907,0.909,32349.7
1726294500000,0.908,0.91,0.905,0.905,7597.1
1726294800000,0.906,0.91,0.906,0.909,2190.9
1726295100000,0.909,0.91,0.908,0.909,3163.9
1726295400000,0.91,0.91,0.908,0.91,6585.8
1726295700000,0.909,0.91,0.905,0.905,18370.9
1726296000000,0.906,0.908,0.904,0.907,16572.9
1726296300000,0.907,0.912,0.907,0.911,15010.4
1726296600000,0.911,0.913,0.91,0.913,3514.6
1726296900000,0.913,0.913,0.909,0.91,4529.2
1726297200000,0.911,0.912,0.909,0.912,3108.8
1726297500000,0.911,0.911,0.908,0.909,7108.0
1726297800000,0.91,0.912,0.909,0.911,9274.2
1726298100000,0.911,0.912,0.909,0.91,14249.7
1726298400000,0.911,0.914,0.911,0.914,12339.6
1726298700000,0.913,0.916,0.913,0.915,8367.3
1726299000000,0.915,0.915,0.914,0.914,4762.3
1726299300000,0.914,0.916,0.913,0.914,9718.4
1726299600000,0.913,0.913,0.91,0.911,15993.2
1726299900000,0.911,0.915,0.911,0.915,10092.1
1726300200000,0.914,0.914,0.911,0.912,3469.5
1726300500000,0.912,0.913,0.911,0.912,4515.8
1726300800000,0.913,0.913,0.911,0.911,3123.9
1726301100000,0.912,0.913,0.911,0.911,2717.4
1726301400000,0.911,0.915,0.911,0.915,2657.7
1726301700000,0.913,0.916,0.913,0.914,12422.8
1726302000000,0.913,0.914,0.912,0.913,8468.1
1726302300000,0.912,0.913,0.908,0.909,53478.2
1726302600000,0.91,0.915,0.909,0.912,18484.4
1726302900000,0.913,0.913,0.91,0.911,4720.1
1726303200000,0.911,0.912,0.909,0.911,17179.9
1726303500000,0.912,0.912,0.91,0.911,3072.2
1726303800000,0.911,0.913,0.911,0.913,2905.3
