timestamp,open,high,low,close,volume
1725580800000,66.07,66.18,66.01,66.08,1539.552
1725581100000,66.07,66.17,66.02,66.13,1462.587
1725581400000,66.14,66.28,66.14,66.18,1766.397
1725581700000,66.18,66.2,66.03,66.14,1540.711
1725582000000,66.14,66.14,65.97,66.11,509.195
1725582300000,66.13,66.21,66.11,66.21,927.751
1725582600000,66.21,66.35,66.21,66.31,1186.066
1725582900000,66.31,66.31,66.08,66.19,1440.771
1725583200000,66.18,66.41,66.16,66.23,1301.553
1725583500000,66.23,66.36,66.07,66.08,1027.649
1725583800000,66.1,66.14,66.01,66.14,489.39
1725584100000,66.15,66.47,66.15,66.42,1262.273
1725584400000,66.43,66.48,66.24,66.3,747.62
1725584700000,66.28,66.32,66.14,66.3,1783.671
1725585000000,66.31,66.59,66.31,66.59,3762.131
1725585300000,66.59,66.62,66.43,66.53,2039.985
1725585600000,66.53,66.6,66.41,66.53,489.246
1725585900000,66.52,66.58,66.45,66.45,290.4
1725586200000,66.46,66.54,66.45,66.5,232.751
1725586500000,66.5,66.57,66.41,66.55,815.631
1725586800000,66.55,66.62,66.24,66.34,3077.713
1725587100000,66.35,66.39,66.24,66.25,892.767
1725587400000,66.24,66.32,66.16,66.32,1370.336
1725587700000,66.32,66.41,66.17,66.24,762.606
1725588000000,66.23,66.34,66.22,66.29,473.163
1725588300000,66.29,66.43,66.21,66.4,1189.583
1725588600000,66.39,66.43,66.31,66.33,295.489
1725588900000,66.34,66.38,66.27,66.32,831.619
1725589200000,66.31,66.39,66.16,66.19,714.414
1725589500000,66.19,66.37,66.18,66.36,901.863
1725589800000,66.38,66.54,66.37,66.51,728.95
1725590100000,66.51,66.57,66.46,66.47,317.978
1725590400000,66.48,66.53,66.35,66.46,356.813
1725590700000,66.46,66.5,66.28,66.32,458.16
1725591000000,66.31,66.4,66.31,66.36,391.369
1725591300000,66.35,66.5,66.33,66.48,760.269
1725591600000,66.47,66.55,66.47,66.51,301.863
1725591900000,66.51,66.56,66.45,66.54,475.743
1725592200000,66.55,66.57,66.47,66.57,598.723
