timestamp,open,high,low,close,volume
1726185600000,20.64,20.66,20.6,20.61,703.235
1726185900000,20.61,20.65,20.52,20.52,2952.245
1726186200000,20.53,20.59,20.49,20.58,821.91
1726186500000,20.58,20.58,20.52,20.53,1555.495
1726186800000,20.52,20.54,20.51,20.52,430.819
1726187100000,20.52,20.66,20.52,20.64,1445.033
1726187400000,20.64,20.75,20.61,20.67,5759.694
1726187700000,20.69,20.71,20.63,20.71,490.915
1726188000000,20.69,20.83,20.67,20.77,3256.402
1726188300000,20.76,20.92,20.73,20.9,3366.41
1726188600000,20.92,20.93,20.56,20.58,11080.195
1726188900000,20.57,20.57,20.46,20.48,3659.666
1726189200000,20.49,20.49,20.32,20.33,4863.882
1726189500000,20.34,20.34,20.26,20.33,6206.066
1726189800000,20.33,20.4,20.3,20.32,712.459
1726190100000,20.32,20.48,20.32,20.46,3929.695
1726190400000,20.46,20.57,20.41,20.51,7065.168
1726190700000,20.52,20.52,20.44,20.45,883.718
1726191000000,20.46,20.48,20.41,20.43,2372.363
1726191300000,20.43,20.47,20.4,20.41,1923.522
1726191600000,20.41,20.43,20.36,20.41,1942.215
1726191900000,20.41,20.46,20.37,20.44,381.052
1726192200000,20.44,20.46,20.42,20.46,265.823
1726192500000,20.47,20.5,20.43,20.45,97.337
1726192800000,20.45,20.47,20.41,20.44,97.453
1726193100000,20.43,20.43,20.38,20.41,170.309
1726193400000,20.41,20.45,20.39,20.39,178.839
1726193700000,20.39,20.51,20.39,20.48,2990.834
1726194000000,20.49,20.51,20.46,20.49,484.55
1726194300000,20.5,20.51,20.49,20.49,278.921
1726194600000,20.48,20.48,20.42,20.44,220.109
1726194900000,20.46,20.47,20.42,20.43,224.02
1726195200000,20.43,20.43,20.39,20.41,394.758
1726195500000,20.44,20.44,20.39,20.4,756.876
1726195800000,20.41,20.41,20.39,20.4,209.513
1726196100000,20.41,20.41,20.37,20.37,321.268
1726196400000,20.37,20.43,20.36,20.42,1633.572
1726196700000,20.43,20.47,20.43,20.44,360.562
1726197000000,20.44,20.45,20.42,20.43,31.961
1726197300000,20.42,20.42,20.36,20.37,1006.21
1726197600000,20.37,20.37,20.37,20.37,31.257
1726197900000,20.37,20.37,20.28,20.32,3957.475
1726198200000,20.32,20.33,20.23,20.28,1419.125
1726198500000,20.28,20.3,20.24,20.24,71.708
1726198800000,20.24,20.25,20.17,20.18,817.798
1726199100000,20.19,20.23,20.18,20.18,517.606
1726199400000,20.18,20.19,20.14,20.16,537.751
1726199700000,20.15,20.15,20.08,20.1,1157.641
1726200000000,20.1,20.19,20.09,20.17,355.272
1726200300000,20.17,20.17,20.08,20.1,360.044
1726200600000,20.1,20.15,20.1,20.14,1272.245
1726200900000,20.15,20.18,20.15,20.16,495.728
1726201200000,20.15,20.16,20.14,20.16,290.286
