timestamp,open,high,low,close,volume
1728432000000,2.775,2.819,2.775,2.817,29052.9
1728432300000,2.814,2.818,2.793,2.793,16674.2
1728432600000,2.791,2.792,2.773,2.785,12006.9
1728432900000,2.786,2.786,2.777,2.778,3312.1
1728433200000,2.778,2.782,2.77,2.78,1763.5
1728433500000,2.781,2.796,2.778,2.794,5349.3
1728433800000,2.794,2.795,2.782,2.785,2468.8
1728434100000,2.784,2.79,2.752,2.752,10425.8
1728434400000,2.754,2.761,2.734,2.758,14961.1
1728434700000,2.761,2.769,2.753,2.769,1848.1
1728435000000,2.77,2.771,2.754,2.758,2050.7
1728435300000,2.759,2.764,2.756,2.757,1043.5
1728435600000,2.759,2.765,2.75,2.762,6860.5
1728435900000,2.764,2.78,2.755,2.778,6434.4
1728436200000,2.781,2.813,2.779,2.798,24920.1
1728436500000,2.798,2.812,2.787,2.81,6254.5
1728436800000,2.812,2.83,2.809,2.816,17838.2
1728437100000,2.817,2.821,2.806,2.814,15685.5
1728437400000,2.819,2.828,2.81,2.826,9625.9
1728437700000,2.825,2.833,2.816,2.822,6584.3
1728438000000,2.822,2.825,2.81,2.818,7982.0
1728438300000,2.82,2.824,2.797,2.797,8633.1
1728438600000,2.797,2.82,2.796,2.815,3005.9
1728438900000,2.816,2.819,2.804,2.804,3101.7
1728439200000,2.804,2.805,2.795,2.799,1742.9
1728439500000,2.795,2.81,2.794,2.809,1827.5
1728439800000,2.809,2.849,2.809,2.83,42157.7
1728440100000,2.83,2.832,2.8,2.803,8768.4
1728440400000,2.803,2.814,2.802,2.803,9331.3
1728440700000,2.806,2.806,2.798,2.8,3416.5
1728441000000,2.799,2.8,2.787,2.79,7751.6
1728441300000,2.79,2.796,2.79,2.794,596.6
1728441600000,2.795,2.8,2.792,2.797,4205.5
1728441900000,2.799,2.804,2.792,2.796,2885.0
1728442200000,2.795,2.808,2.785,2.786,6741.3
1728442500000,2.786,2.79,2.777,2.781,11128.5
1728442800000,2.777,2.792,2.775,2.792,2795.6
1728443100000,2.785,2.785,2.762,2.766,8030.6
1728443400000,2.763,2.775,2.761,2.771,6172.1
1728443700000,2.768,2.771,2.762,2.771,11891.5
1728444000000,2.773,2.795,2.773,2.788,27015.2
1728444300000,2.786,2.793,2.786,2.787,5883.4
1728444600000,2.788,2.797,2.785,2.788,2479.1
1728444900000,2.786,2.802,2.785,2.802,3247.4
1728445200000,2.8,2.805,2.793,2.799,5317.6
1728445500000,2.797,2.803,2.786,2.803,8345.8
1728445800000,2.801,2.802,2.786,2.788,6269.7
1728446100000,2.785,2.786,2.775,2.781,11438.8
1728446400000,2.782,2.785,2.768,2.778,13874.4
1728446700000,2.775,2.796,2.775,2.791,4490.0
1728447000000,2.794,2.803,2.793,2.801,6205.9
1728447300000,2.802,2.824,2.798,2.815,18870.8
1728447600000,2.816,2.816,2.801,2.807,8173.8
1728447900000,2.808,2.816,2.806,2.81,10931.0
1728448200000,2.808,2.828,2.807,2.815,5563.6
1728448500000,2.817,2.826,2.814,2.814,26477.0
1728448800000,2.813,2.828,2.811,2.825,4537.5
1728449100000,2.815,2.815,2.794,2.8,14570.5
1728449400000,2.799,2.81,2.791,2.803,15149.6
1728449700000,2.803,2.804,2.798,2.802,4716.6
